image_id,foreground_targets,image_auroc,image_auprc,sign_confusion,shallow_confusion,deep_confusion,fixed_average_confusion,anchor_confusion,context_only_confusion,Top20_fixed_average_confusion,Top20_anchor_confusion,Deep_Wrong_fixed_average_confusion,Deep_Wrong_anchor_confusion,Top20_Deep_Wrong_fixed_average_confusion,Top20_Deep_Wrong_anchor_confusion,all_targets,all_image_auroc,Top20_targets,Top20_image_auroc,Bottom80_targets,Bottom80_image_auroc,hard_disagreement_targets,hard_disagreement_image_auroc,adjudication_targets,adjudication_image_auroc,Deep_Win_targets,Deep_Win_image_auroc,Shallow_Win_targets,Shallow_Win_image_auroc,Deep_Correct_targets,Deep_Correct_image_auroc,Deep_Wrong_targets,Deep_Wrong_image_auroc,Top20_Deep_Correct_targets,Top20_Deep_Correct_image_auroc,Top20_Deep_Wrong_targets,Top20_Deep_Wrong_image_auroc,Shallow_Correct_targets,Shallow_Correct_image_auroc,Shallow_Wrong_targets,Shallow_Wrong_image_auroc,Top20_Shallow_Correct_targets,Top20_Shallow_Correct_image_auroc,Top20_Shallow_Wrong_targets,Top20_Shallow_Wrong_image_auroc,Both_Wrong_targets,Both_Wrong_image_auroc,Both_Correct_targets,Both_Correct_image_auroc,Corrected_by_CH_targets,Corrected_by_CH_image_auroc,Still_Wrong_targets,Still_Wrong_image_auroc,Harmed_by_CH_targets,Harmed_by_CH_image_auroc,Stable_Correct_targets,Stable_Correct_image_auroc,Q1_targets,Q1_image_auroc,Q2_targets,Q2_image_auroc,Q3_targets,Q3_image_auroc,Q4_targets,Q4_image_auroc,Q5_targets,Q5_image_auroc,boundary_targets,boundary_image_auroc,interior_targets,interior_image_auroc,class0_targets,class0_image_auroc,class1_targets,class1_image_auroc,class2_targets,class2_image_auroc,class3_targets,class3_image_auroc,Strength1_targets,Strength1_image_auroc,Strength2_targets,Strength2_image_auroc,Strength3_targets,Strength3_image_auroc,Strength4_targets,Strength4_image_auroc,Strength5_targets,Strength5_image_auroc,DW__all_targets,DW__all_image_auroc,DW__all_fixed_correct,DW__all_anchor_correct,DW__Top20_targets,DW__Top20_image_auroc,DW__Top20_fixed_correct,DW__Top20_anchor_correct,DW__Bottom80_targets,DW__Bottom80_image_auroc,DW__Bottom80_fixed_correct,DW__Bottom80_anchor_correct,DW__hard_disagreement_targets,DW__hard_disagreement_image_auroc,DW__hard_disagreement_fixed_correct,DW__hard_disagreement_anchor_correct,DW__Q1_targets,DW__Q1_image_auroc,DW__Q1_fixed_correct,DW__Q1_anchor_correct,DW__Q2_targets,DW__Q2_image_auroc,DW__Q2_fixed_correct,DW__Q2_anchor_correct,DW__Q3_targets,DW__Q3_image_auroc,DW__Q3_fixed_correct,DW__Q3_anchor_correct,DW__Q4_targets,DW__Q4_image_auroc,DW__Q4_fixed_correct,DW__Q4_anchor_correct,DW__Q5_targets,DW__Q5_image_auroc,DW__Q5_fixed_correct,DW__Q5_anchor_correct,DW__boundary_targets,DW__boundary_image_auroc,DW__boundary_fixed_correct,DW__boundary_anchor_correct,DW__interior_targets,DW__interior_image_auroc,DW__interior_fixed_correct,DW__interior_anchor_correct,DW__class0_targets,DW__class0_image_auroc,DW__class0_fixed_correct,DW__class0_anchor_correct,DW__class1_targets,DW__class1_image_auroc,DW__class1_fixed_correct,DW__class1_anchor_correct,DW__class2_targets,DW__class2_image_auroc,DW__class2_fixed_correct,DW__class2_anchor_correct,DW__class3_targets,DW__class3_image_auroc,DW__class3_fixed_correct,DW__class3_anchor_correct
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+0,630,1.0,1.0,"[[1,0],[0,36]]","[[0,0,0,0],[4,591,34,0],[0,1,0,0],[0,0,0,0]]","[[0,0,0,0],[0,626,3,0],[0,1,0,0],[0,0,0,0]]","[[0,0,0,0],[0,626,3,0],[0,1,0,0],[0,0,0,0]]","[[0,0,0,0],[0,626,3,0],[0,1,0,0],[0,0,0,0]]","[[0,0,0,0],[0,629,0,0],[0,1,0,0],[0,0,0,0]]","[[0,0,0,0],[0,27,0,0],[0,0,0,0],[0,0,0,0]]","[[0,0,0,0],[0,27,0,0],[0,0,0,0],[0,0,0,0]]","[[0,0,0,0],[0,0,3,0],[0,1,0,0],[0,0,0,0]]","[[0,0,0,0],[0,0,3,0],[0,1,0,0],[0,0,0,0]]","[[0,0,0,0],[0,0,0,0],[0,0,0,0],[0,0,0,0]]","[[0,0,0,0],[0,0,0,0],[0,0,0,0],[0,0,0,0]]",630,1.0,27,nan,603,1.0,37,1.0,37,1.0,36,nan,1,nan,626,nan,4,nan,27,nan,0,nan,591,nan,39,nan,9,nan,18,nan,3,nan,590,nan,22,1.0,1,nan,0,nan,607,nan,260,nan,128,nan,77,nan,126,1.0,39,nan,5,nan,625,1.0,0,nan,629,1.0,1,nan,0,nan,292,nan,229,nan,79,nan,11,nan,19,1.0,4,nan,0,0,0,nan,0,0,4,nan,0,0,1,nan,0,0,1,nan,0,0,0,nan,0,0,2,nan,0,0,1,nan,0,0,0,nan,0,0,1,nan,0,0,3,nan,0,0,0,nan,0,0,3,nan,0,0,1,nan,0,0,0,nan,0,0
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+1,187,1.0,1.0,"[[22,0],[1,8]]","[[0,0,0,0],[24,144,10,4],[0,0,5,0],[0,0,0,0]]","[[0,0,0,0],[15,131,20,16],[0,0,5,0],[0,0,0,0]]","[[0,0,0,0],[19,135,19,9],[0,0,5,0],[0,0,0,0]]","[[0,0,0,0],[18,147,10,7],[0,0,5,0],[0,0,0,0]]","[[0,0,0,0],[0,182,0,0],[0,5,0,0],[0,0,0,0]]","[[0,0,0,0],[4,11,13,9],[0,0,0,0],[0,0,0,0]]","[[0,0,0,0],[3,22,5,7],[0,0,0,0],[0,0,0,0]]","[[0,0,0,0],[17,6,19,9],[0,0,0,0],[0,0,0,0]]","[[0,0,0,0],[16,18,10,7],[0,0,0,0],[0,0,0,0]]","[[0,0,0,0],[2,4,13,9],[0,0,0,0],[0,0,0,0]]","[[0,0,0,0],[1,15,5,7],[0,0,0,0],[0,0,0,0]]",187,1.0,37,1.0,150,1.0,35,1.0,31,1.0,9,nan,22,nan,136,nan,51,nan,9,nan,28,nan,149,nan,38,nan,18,nan,19,nan,29,nan,127,nan,9,1.0,23,1.0,9,nan,146,1.0,68,nan,34,nan,27,nan,24,1.0,34,1.0,9,nan,178,1.0,0,nan,182,1.0,5,nan,0,nan,63,nan,33,nan,31,nan,27,1.0,33,1.0,51,nan,6,18,28,nan,4,15,23,nan,2,3,26,nan,6,18,5,nan,0,0,10,nan,0,0,4,nan,0,0,6,nan,0,1,26,nan,6,17,5,nan,0,0,46,nan,6,18,0,nan,0,0,51,nan,6,18,0,nan,0,0,0,nan,0,0
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+10,750,0.7281468531468531,0.8196544010625045,"[[40,4],[47,31]]","[[0,0,0,0],[45,327,93,0],[10,69,206,0],[0,0,0,0]]","[[0,0,0,0],[0,347,118,0],[0,65,220,0],[0,0,0,0]]","[[0,0,0,0],[0,348,117,0],[0,63,222,0],[0,0,0,0]]","[[0,0,0,0],[0,348,117,0],[0,63,222,0],[0,0,0,0]]","[[0,0,0,0],[0,339,126,0],[0,33,252,0],[0,0,0,0]]","[[0,0,0,0],[0,47,35,0],[0,18,18,0],[0,0,0,0]]","[[0,0,0,0],[0,47,35,0],[0,18,18,0],[0,0,0,0]]","[[0,0,0,0],[0,2,116,0],[0,63,2,0],[0,0,0,0]]","[[0,0,0,0],[0,2,116,0],[0,63,2,0],[0,0,0,0]]","[[0,0,0,0],[0,0,35,0],[0,18,0,0],[0,0,0,0]]","[[0,0,0,0],[0,0,35,0],[0,18,0,0],[0,0,0,0]]",750,0.7281468531468531,118,0.7688787185354691,632,0.67625,131,0.7281468531468531,122,0.7281468531468531,78,nan,44,nan,567,nan,183,nan,65,nan,53,nan,533,nan,217,nan,38,nan,80,nan,139,nan,489,nan,75,nan,95,nan,56,0.35714285714285715,524,0.7534722222222222,130,nan,173,nan,176,nan,134,0.4666666666666667,137,0.7546296296296297,156,0.3680555555555556,594,0.7992424242424242,0,nan,465,0.7998856489422527,285,0.6218181818181818,0,nan,67,1.0,135,0.609375,185,0.45,294,0.5576923076923077,69,0.7647058823529411,183,nan,4,4,53,nan,0,0,130,nan,4,4,53,nan,4,4,14,nan,0,0,37,nan,0,0,38,nan,0,0,37,nan,3,3,57,nan,1,1,73,nan,0,0,110,nan,4,4,0,nan,0,0,118,nan,2,2,65,nan,2,2,0,nan,0,0
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+100,459,0.5730593607305936,0.7481931908242416,"[[46,8],[129,17]]","[[0,0,0,0],[46,116,13,7],[42,103,132,0],[0,0,0,0]]","[[0,0,0,0],[37,110,16,19],[0,47,230,0],[0,0,0,0]]","[[0,0,0,0],[38,112,17,15],[3,40,234,0],[0,0,0,0]]","[[0,0,0,0],[34,121,14,13],[0,54,223,0],[0,0,0,0]]","[[0,0,0,0],[0,182,0,0],[0,124,153,0],[0,0,0,0]]","[[0,0,0,0],[4,20,3,13],[3,0,112,0],[0,0,0,0]]","[[0,0,0,0],[3,24,1,12],[0,10,105,0],[0,0,0,0]]","[[0,0,0,0],[35,7,15,15],[0,32,15,0],[0,0,0,0]]","[[0,0,0,0],[32,15,12,13],[0,32,15,0],[0,0,0,0]]","[[0,0,0,0],[4,1,3,13],[0,0,0,0],[0,0,0,0]]","[[0,0,0,0],[3,5,1,12],[0,0,0,0],[0,0,0,0]]",459,0.5730593607305936,155,0.9649217485159202,304,0.3907962016070124,203,0.5730593607305936,200,0.5730593607305936,146,nan,54,nan,340,nan,119,nan,134,nan,21,nan,248,nan,211,nan,42,nan,113,nan,65,nan,194,nan,156,0.47572815533980584,49,1.0,14,nan,240,0.40185830429732866,34,nan,67,nan,83,0.6785714285714286,112,0.42613636363636365,163,0.8619548872180451,66,0.4489795918367347,393,0.6011363636363637,0,nan,182,0.8807881773399014,277,0.1623931623931624,0,nan,37,0.5104166666666666,45,0.375,74,0.2608695652173913,175,0.42907801418439717,128,0.9345238095238095,119,nan,22,30,21,nan,1,5,98,nan,21,25,57,nan,22,30,5,nan,0,0,22,nan,0,0,25,nan,3,3,41,nan,14,16,26,nan,5,11,23,nan,7,9,96,nan,15,21,0,nan,0,0,72,nan,7,15,47,nan,15,15,0,nan,0,0
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+101,747,0.23888036809815952,0.7221473184924617,"[[22,10],[149,14]]","[[0,0,0,0],[42,235,21,0],[85,164,199,1],[0,0,0,0]]","[[0,0,0,0],[0,280,18,0],[1,159,285,4],[0,0,0,0]]","[[0,0,0,0],[0,277,21,0],[4,161,283,1],[0,0,0,0]]","[[0,0,0,0],[0,277,21,0],[5,167,277,0],[0,0,0,0]]","[[0,0,0,0],[0,298,0,0],[0,265,184,0],[0,0,0,0]]","[[0,0,0,0],[0,47,1,0],[4,39,113,1],[0,0,0,0]]","[[0,0,0,0],[0,47,1,0],[5,43,109,0],[0,0,0,0]]","[[0,0,0,0],[0,1,17,0],[3,153,7,1],[0,0,0,0]]","[[0,0,0,0],[0,1,17,0],[3,156,5,0],[0,0,0,0]]","[[0,0,0,0],[0,0,1,0],[3,37,2,1],[0,0,0,0]]","[[0,0,0,0],[0,0,1,0],[3,39,1,0],[0,0,0,0]]",747,0.23888036809815952,205,0.134765625,542,0.3628571428571429,230,0.23888036809815952,195,0.23888036809815952,163,nan,32,nan,565,nan,182,nan,161,nan,44,nan,434,nan,313,nan,45,nan,160,nan,150,nan,402,nan,162,0.346031746031746,140,nan,26,0.25,419,0.14482758620689656,76,nan,115,nan,147,0.3333333333333333,198,0.6714285714285714,211,0.0821917808219178,180,0.2683982683982684,567,0.23742454728370221,0,nan,298,0.8112244897959183,449,0.14348370927318296,0,nan,50,0.5625,88,0.6574074074074074,152,0.3177083333333333,288,0.425531914893617,169,0.11781609195402298,182,nan,8,6,44,nan,2,1,138,nan,6,5,67,nan,8,6,11,nan,0,0,28,nan,1,1,41,nan,0,0,59,nan,2,2,43,nan,5,3,85,nan,1,1,97,nan,7,5,0,nan,0,0,18,nan,1,1,164,nan,7,5,0,nan,0,0
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+102,784,0.43410852713178294,0.5668880519381171,"[[47,10],[74,12]]","[[0,0,0,0],[37,224,8,0],[151,195,169,0],[0,0,0,0]]","[[0,0,0,0],[18,249,2,0],[22,318,173,2],[0,0,0,0]]","[[0,0,0,0],[22,245,2,0],[38,302,173,2],[0,0,0,0]]","[[0,0,0,0],[23,244,2,0],[40,307,168,0],[0,0,0,0]]","[[0,0,0,0],[10,240,19,0],[31,381,103,0],[0,0,0,0]]","[[0,0,0,0],[8,24,0,0],[14,126,50,0],[0,0,0,0]]","[[0,0,0,0],[9,23,0,0],[15,130,45,0],[0,0,0,0]]","[[0,0,0,0],[18,0,2,0],[38,298,4,2],[0,0,0,0]]","[[0,0,0,0],[18,0,2,0],[37,303,2,0],[0,0,0,0]]","[[0,0,0,0],[7,0,0,0],[14,125,2,0],[0,0,0,0]]","[[0,0,0,0],[7,0,0,0],[12,129,0,0],[0,0,0,0]]",784,0.43410852713178294,222,0.38721804511278196,562,0.5471264367816092,250,0.43410852713178294,143,0.43410852713178294,86,nan,57,nan,422,nan,362,nan,74,nan,148,nan,393,nan,391,nan,59,nan,163,nan,305,nan,336,nan,131,nan,261,0.49230769230769234,49,nan,343,0.3181818181818182,68,nan,110,nan,144,0.5,248,0.5588235294117647,214,0.3984375,262,0.4479638009049774,522,0.42083333333333334,0,nan,269,0.92,515,0.25782227784730916,0,nan,47,0.3,89,0.39285714285714285,136,0.7642857142857142,278,0.4644268774703557,234,0.3942307692307692,362,nan,4,2,148,nan,2,0,214,nan,2,2,164,nan,4,2,13,nan,0,0,28,nan,1,1,53,nan,1,1,129,nan,0,0,139,nan,2,0,126,nan,0,0,236,nan,4,2,0,nan,0,0,20,nan,0,0,342,nan,4,2,0,nan,0,0
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+103,784,0.3931547619047619,0.45460352458568687,"[[39,17],[55,5]]","[[0,0,0,0],[85,358,6,0],[139,111,85,0],[0,0,0,0]]","[[0,0,0,0],[50,377,15,7],[62,158,70,45],[0,0,0,0]]","[[0,0,0,0],[50,382,11,6],[75,156,70,34],[0,0,0,0]]","[[0,0,0,0],[50,385,11,3],[92,162,68,13],[0,0,0,0]]","[[0,0,0,0],[65,377,7,0],[54,235,46,0],[0,0,0,0]]","[[0,0,0,0],[5,47,7,5],[10,65,18,32],[0,0,0,0]]","[[0,0,0,0],[3,52,7,2],[24,72,17,12],[0,0,0,0]]","[[0,0,0,0],[48,7,11,6],[74,155,2,34],[0,0,0,0]]","[[0,0,0,0],[47,11,11,3],[91,160,1,13],[0,0,0,0]]","[[0,0,0,0],[3,1,7,5],[9,65,2,32],[0,0,0,0]]","[[0,0,0,0],[3,4,7,2],[23,72,1,12],[0,0,0,0]]",784,0.3931547619047619,189,0.4358974358974359,595,0.2887700534759358,213,0.3931547619047619,116,0.3931547619047619,60,nan,56,nan,447,nan,337,nan,65,nan,124,nan,443,nan,341,nan,66,nan,123,nan,281,nan,387,nan,51,nan,281,0.18095238095238095,49,nan,403,0.44191919191919193,99,nan,124,nan,159,nan,195,0.45,207,0.41183035714285715,245,0.5733333333333334,539,0.2678396871945259,0,nan,449,0.7915742793791575,335,0.06346749226006192,0,nan,64,0.6666666666666666,82,0.125,115,0.04,311,0.505,212,0.535483870967742,337,nan,9,12,124,nan,3,5,213,nan,6,7,153,nan,9,12,66,nan,0,0,44,nan,1,1,29,nan,1,1,60,nan,4,4,138,nan,3,6,139,nan,2,4,198,nan,7,8,0,nan,0,0,72,nan,7,11,265,nan,2,1,0,nan,0,0
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+104,784,0.4584082464341364,0.5634495965109669,"[[87,16],[152,10]]","[[0,0,0,0],[169,188,36,4],[194,116,74,3],[0,0,0,0]]","[[0,0,0,0],[86,191,86,34],[104,78,130,75],[0,0,0,0]]","[[0,0,0,0],[103,193,75,26],[133,81,125,48],[0,0,0,0]]","[[0,0,0,0],[114,211,58,14],[154,95,100,38],[0,0,0,0]]","[[0,0,0,0],[201,196,0,0],[279,108,0,0],[0,0,0,0]]","[[0,0,0,0],[20,74,43,15],[14,20,62,37],[0,0,0,0]]","[[0,0,0,0],[29,89,26,8],[32,33,40,28],[0,0,0,0]]","[[0,0,0,0],[95,12,73,26],[128,75,6,48],[0,0,0,0]]","[[0,0,0,0],[106,30,56,14],[132,82,5,38],[0,0,0,0]]","[[0,0,0,0],[19,3,43,15],[13,20,4,37],[0,0,0,0]]","[[0,0,0,0],[28,18,26,8],[16,27,3,28],[0,0,0,0]]",784,0.4584082464341364,285,0.4492124718739955,499,0.5190476190476191,399,0.4584082464341364,265,0.4584082464341364,162,nan,103,nan,321,nan,463,nan,131,nan,154,nan,262,nan,522,nan,90,nan,195,nan,360,nan,159,nan,92,0.6282051282051282,434,0.5326860841423948,41,0.45714285714285713,217,0.46060606060606063,57,nan,102,nan,150,0.3359375,194,0.5258620689655172,281,0.472195240407965,157,0.5,627,0.4227067977067977,0,nan,397,0.7363987363987364,387,0.08438133874239351,0,nan,54,0.4166666666666667,93,0.3923076923076923,112,0.4784688995215311,180,0.46875,345,0.5575167376749848,463,nan,18,35,154,nan,7,21,309,nan,11,14,237,nan,18,35,32,nan,0,0,76,nan,0,0,85,nan,1,1,117,nan,12,13,153,nan,5,21,92,nan,0,6,371,nan,18,29,0,nan,0,0,206,nan,12,30,257,nan,6,5,0,nan,0,0
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+105,784,0.8815259994773974,0.7622699222731746,"[[214,1],[66,23]]","[[8,2,0,0],[203,441,69,8],[38,7,8,0],[0,0,0,0]]","[[0,0,8,2],[45,318,173,185],[1,12,13,27],[0,0,0,0]]","[[4,0,6,0],[52,350,170,149],[10,11,14,18],[0,0,0,0]]","[[5,0,5,0],[87,432,141,61],[22,15,12,4],[0,0,0,0]]","[[10,0,0,0],[83,638,0,0],[25,28,0,0],[0,0,0,0]]","[[3,0,6,0],[11,62,105,114],[10,11,6,18],[0,0,0,0]]","[[4,0,5,0],[47,123,80,42],[22,15,4,4],[0,0,0,0]]","[[4,0,6,0],[49,41,164,149],[10,11,1,18],[0,0,0,0]]","[[5,0,5,0],[85,122,135,61],[20,15,1,4],[0,0,0,0]]","[[3,0,6,0],[8,5,103,114],[10,11,1,18],[0,0,0,0]]","[[4,0,5,0],[45,65,78,42],[20,15,1,4],[0,0,0,0]]",784,0.8815259994773974,346,0.9706630743900614,438,0.724624060150376,451,0.8815259994773974,304,0.8815259994773974,89,nan,215,nan,331,nan,453,nan,67,nan,279,nan,457,nan,327,nan,147,nan,199,nan,238,nan,242,nan,167,0.8975694444444444,141,0.9230769230769231,38,nan,438,0.8268535262206148,59,nan,101,1.0,107,1.0,153,0.6632653061224489,364,0.9725638599810785,81,0.7192982456140351,703,0.8929800835997049,10,nan,721,0.9085576259489303,53,nan,0,nan,71,0.7058823529411765,65,0.76,93,0.7538461538461538,172,0.6634615384615384,383,0.9061002178649238,453,nan,46,128,279,nan,9,70,174,nan,37,58,362,nan,46,128,19,nan,0,0,30,nan,4,4,36,nan,11,12,72,nan,25,31,296,nan,6,81,66,nan,5,12,387,nan,41,116,10,nan,4,5,403,nan,41,122,40,nan,1,1,0,nan,0,0
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+106,784,0.7703189300411523,0.7909366692370816,"[[44,10],[43,29]]","[[121,19,13,0],[128,400,68,8],[8,6,13,0],[0,0,0,0]]","[[111,28,13,1],[74,430,94,6],[6,10,11,0],[0,0,0,0]]","[[116,22,14,1],[81,433,83,7],[6,9,12,0],[0,0,0,0]]","[[116,24,13,0],[82,440,76,6],[8,9,10,0],[0,0,0,0]]","[[97,56,0,0],[137,467,0,0],[9,18,0,0],[0,0,0,0]]","[[6,2,4,0],[12,61,37,1],[2,4,2,0],[0,0,0,0]]","[[6,2,4,0],[12,66,32,1],[4,4,0,0],[0,0,0,0]]","[[5,22,14,1],[79,7,81,7],[6,9,1,0],[0,0,0,0]]","[[5,24,13,0],[81,13,74,6],[6,9,1,0],[0,0,0,0]]","[[2,2,4,0],[10,2,36,1],[2,4,0,0],[0,0,0,0]]","[[2,2,4,0],[11,6,31,1],[2,4,0,0],[0,0,0,0]]",784,0.7703189300411523,131,0.8244631185807656,653,0.6955266955266955,165,0.7703189300411523,126,0.7703189300411523,72,nan,54,nan,552,nan,232,nan,68,nan,63,nan,534,nan,250,nan,38,nan,93,nan,178,nan,480,nan,82,1.0,152,0.6770833333333334,64,0.6136363636363636,486,0.7597402597402597,94,nan,189,nan,205,0.5,159,0.6645962732919255,137,0.8771712158808933,206,0.6416666666666667,578,0.8343137254901961,153,0.75,604,0.8931868131868131,27,0.06666666666666667,0,nan,76,0.05555555555555555,109,0.72,188,0.5529411764705883,281,0.58203125,130,0.8514285714285714,232,nan,13,19,63,nan,4,8,169,nan,9,11,93,nan,13,19,23,nan,0,0,37,nan,0,0,49,nan,3,3,63,nan,8,10,60,nan,2,6,100,nan,4,6,132,nan,9,13,42,nan,5,5,174,nan,7,13,16,nan,1,1,0,nan,0,0
