group,targets,accuracy,balanced_accuracy,macro_f1,deep_win_recall,shallow_win_recall,image_balanced_accuracy,shallow_win_count,deep_win_count,tn,fp,fn,tp,exact_zero_ties
all,497629,0.5059351444550056,0.5939727493091467,0.49033270372997595,0.261652845295968,0.9262926533223255,0.6630673588887843,182899,314730,169418,13481,232380,82350,0
Top20,323902,0.45125068693617204,0.5807062356839748,0.439037323177504,0.22299499911589085,0.9384174722520587,0.6447797433996857,103341,220561,96977,6364,171377,49184,0
Bottom80,173727,0.6078905409061344,0.6313699171019416,0.5867707916142386,0.35219658273954274,0.9105432514643405,0.6666612122848322,79558,94169,72441,7117,61003,33166,0
hard_disagreement,497629,0.5059351444550056,0.5939727493091467,0.49033270372997595,0.261652845295968,0.9262926533223255,0.6630673588887843,182899,314730,169418,13481,232380,82350,0
adjudication,497629,0.5059351444550056,0.5939727493091467,0.49033270372997595,0.261652845295968,0.9262926533223255,0.6630673588887843,182899,314730,169418,13481,232380,82350,0
Deep_Win,314730,0.261652845295968,nan,0.20738893925657298,0.261652845295968,nan,nan,0,314730,0,0,232380,82350,0
Shallow_Win,182899,0.9262926533223255,nan,0.4808680818694528,nan,0.9262926533223255,nan,182899,0,169418,13481,0,0,0
Deep_Correct,314730,0.261652845295968,nan,0.20738893925657298,0.261652845295968,nan,nan,0,314730,0,0,232380,82350,0
Deep_Wrong,182899,0.9262926533223255,nan,0.4808680818694528,nan,0.9262926533223255,nan,182899,0,169418,13481,0,0,0
Top20_Deep_Correct,220561,0.22299499911589085,nan,0.18233516839978497,0.22299499911589085,nan,nan,0,220561,0,0,171377,49184,0
Top20_Deep_Wrong,103341,0.9384174722520587,nan,0.4841152567417806,nan,0.9384174722520587,nan,103341,0,96977,6364,0,0,0
Shallow_Correct,182899,0.9262926533223255,nan,0.4808680818694528,nan,0.9262926533223255,nan,182899,0,169418,13481,0,0,0
Shallow_Wrong,314730,0.261652845295968,nan,0.20738893925657298,0.261652845295968,nan,nan,0,314730,0,0,232380,82350,0
Top20_Shallow_Correct,103341,0.9384174722520587,nan,0.4841152567417806,nan,0.9384174722520587,nan,103341,0,96977,6364,0,0,0
Top20_Shallow_Wrong,220561,0.22299499911589085,nan,0.18233516839978497,0.22299499911589085,nan,nan,0,220561,0,0,171377,49184,0
Both_Wrong,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,0
Both_Correct,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,0
Corrected_by_CH,194430,0.3237463354420614,0.6388700721937961,0.2828951784101679,0.293919064206769,0.9838210801808233,0.7160925077364116,8406,186024,8270,136,131348,54676,0
Still_Wrong,82721,0.24705939241546887,0.5116526011063576,0.2457709354611205,0.12246689694876223,0.9008383052639529,0.5422974281699701,13241,69480,11928,1313,60971,8509,0
Harmed_by_CH,37080,0.7521035598705501,0.4331165680871971,0.4437316792119847,0.04008016032064128,0.8261529758537529,0.419343382115457,33587,3493,27748,5839,3353,140,0
Stable_Correct,183398,0.7660770564564499,0.6464249627296689,0.6599762969314165,0.3413596971273752,0.9514902283319625,0.6643375430337666,127665,55733,121472,6193,36708,19025,0
Q1,726,0.6887052341597796,0.6825852946542601,0.6787182881266987,0.5344827586206896,0.8306878306878307,0.6859126984126985,378,348,314,64,162,186,0
Q2,8527,0.6893397443415035,0.6813001485761316,0.670084707140373,0.4650426309378806,0.8975576662143826,0.6795065819099606,4422,4105,3969,453,2196,1909,0
Q3,31591,0.6704124592447216,0.6531673663416231,0.6394543802487822,0.4056481796529432,0.900686553030303,0.6704583282437819,16896,14695,15218,1678,8734,5961,0
Q4,83990,0.6064888677223479,0.615808542274261,0.5746503240826039,0.3226402030925456,0.9089768814559764,0.656086732785034,40660,43330,36959,3701,29350,13980,0
Q5,372795,0.4647916415187972,0.5880892818242383,0.4539016263086977,0.23910216767359624,0.9370763959748803,0.6506757105203003,120543,252252,112958,7585,191938,60314,0
boundary,51796,0.5115839060931346,0.5046105794262863,0.43156067830623396,0.13903322311447017,0.8701879357381025,0.5092770811339491,26392,25404,22966,3426,21872,3532,0
interior,445833,0.5052788824515009,0.6040865096969221,0.4936253475301637,0.27241934703414145,0.9357536723597027,0.671483327877607,156507,289326,146452,10055,210508,78818,0
class0,132225,0.8079410096426546,0.7368613581592712,0.7565946691525005,0.5262316789187709,0.9474910373997716,0.7269058439237589,88423,43802,83780,4643,20752,23050,0
class1,204051,0.5949395004190129,0.6521464398750566,0.5828853527712112,0.35612196283944736,0.9481709169106659,0.6461795922728407,82309,121742,78043,4266,78387,43355,0
class2,86599,0.2626358272035474,0.4122524914782611,0.2559121136406147,0.20692050768203074,0.6175844752744915,0.4037729283009913,11749,74850,7256,4493,59362,15488,0
class3,74754,0.010648259624903015,0.40857627310213857,0.010645794454491648,0.006147761515281963,0.8110047846889952,0.4109225710711955,418,74336,339,79,73879,457,0
Strength1,36852,0.5058612829697167,0.5370753355587371,0.47651074512031355,0.480022450626162,0.5941282204913122,0.5351676424763024,8345,28507,4958,3387,14823,13684,0
Strength2,47962,0.5197239481255994,0.5977005204629922,0.5111797737214634,0.43802532780455006,0.7573757131214344,0.6022538379656742,12270,35692,9293,2977,20058,15634,0
Strength3,65927,0.5194533347490407,0.6156211740244868,0.5191410795967021,0.3847125845969331,0.8465297634520406,0.6302728820867555,19235,46692,16283,2952,28729,17963,0
Strength4,101249,0.5219014508785272,0.6155089408874721,0.514298110778471,0.30489822558856117,0.9261196561863831,0.660379724864387,35368,65881,32755,2613,45794,20087,0
Strength5,245639,0.4930446712452013,0.5470926635540359,0.4120988516094123,0.10859826903840299,0.9855870580696687,0.6765039459941513,107681,137958,106129,1552,122976,14982,0
DW__all,182899,0.9262926533223255,nan,0.4808680818694528,nan,0.9262926533223255,nan,182899,0,169418,13481,0,0,0
DW__Top20,103341,0.9384174722520587,nan,0.4841152567417806,nan,0.9384174722520587,nan,103341,0,96977,6364,0,0,0
DW__Bottom80,79558,0.9105432514643405,nan,0.47658866176751163,nan,0.9105432514643405,nan,79558,0,72441,7117,0,0,0
DW__hard_disagreement,182899,0.9262926533223255,nan,0.4808680818694528,nan,0.9262926533223255,nan,182899,0,169418,13481,0,0,0
DW__Q1,378,0.8306878306878307,nan,0.45375722543352603,nan,0.8306878306878307,nan,378,0,314,64,0,0,0
DW__Q2,4422,0.8975576662143826,nan,0.47300679299249193,nan,0.8975576662143826,nan,4422,0,3969,453,0,0,0
DW__Q3,16896,0.900686553030303,nan,0.4738743227252912,nan,0.900686553030303,nan,16896,0,15218,1678,0,0,0
DW__Q4,40660,0.9089768814559764,nan,0.4761591878277226,nan,0.9089768814559764,nan,40660,0,36959,3701,0,0,0
DW__Q5,120543,0.9370763959748803,nan,0.48375809953704696,nan,0.9370763959748803,nan,120543,0,112958,7585,0,0,0
DW__boundary,26392,0.8701879357381025,nan,0.4652943798371085,nan,0.8701879357381025,nan,26392,0,22966,3426,0,0,0
DW__interior,156507,0.9357536723597027,nan,0.48340534527774387,nan,0.9357536723597027,nan,156507,0,146452,10055,0,0,0
DW__class0,88423,0.9474910373997716,nan,0.4865188179067728,nan,0.9474910373997716,nan,88423,0,83780,4643,0,0,0
DW__class1,82309,0.9481709169106659,nan,0.48669801436838955,nan,0.9481709169106659,nan,82309,0,78043,4266,0,0,0
DW__class2,11749,0.6175844752744915,nan,0.38179426466719285,nan,0.6175844752744915,nan,11749,0,7256,4493,0,0,0
