group,targets,SS_pixel_mean,SS_image_mean,SS_std,SD_pixel_mean,SD_image_mean,SD_std,Delta_pixel_mean,Delta_image_mean,Delta_std,wD_pixel_mean,wD_image_mean,wD_std,JS_ctx_shallow_pixel_mean,JS_ctx_shallow_image_mean,JS_ctx_shallow_std,JS_ctx_deep_pixel_mean,JS_ctx_deep_image_mean,JS_ctx_deep_std,consensus_closer_deep_fraction,consensus_js_exact_ties
all,2479143,0.8616025669069378,0.8599012484748002,0.09989810262255627,0.7373169799999403,0.7343468867815894,0.17471710200810636,-0.12428558690376834,-0.125554361683778,0.15835079191112547,0.45530986476125734,0.4547760899214835,0.06509654791801583,0.05243967957666237,0.05330894992439899,0.06081253831992978,0.15551314405116087,0.1573260039472448,0.11369080193745564,0.06561259273870043,0
Top20,485451,0.8280799437857099,0.8098801151028586,0.10793462603482158,0.559615300092259,0.6125105590384103,0.1922669707792194,-0.2684646436796993,-0.19736955603798007,0.2470844249542614,0.39413033217582727,0.42013485529938266,0.10514068106747795,0.06273988754768942,0.07495226842116157,0.07014711856171345,0.2724997164984154,0.2373881386233143,0.13606958174036668,0.11210606219783253,0
Bottom80,1993692,0.8697651070168562,0.8632162038093398,0.09608682780590744,0.7805861801636886,0.7657623991398791,0.1392717031980845,-0.08917892685250041,-0.09745380466837937,0.1001049078409276,0.4702066819592647,0.4670522218623984,0.0380048612834514,0.04993164610923456,0.05304788041762965,0.058037762550839575,0.12702767659626202,0.13595037883927436,0.08614402673899953,0.05429173613577223,0
hard_disagreement,587701,0.830055253573072,0.8121127167545928,0.10649527217545476,0.6079212323091283,0.6477009736306407,0.19778217803874193,-0.2221340212534023,-0.16441174309585743,0.24654475112164997,0.4136180621690968,0.4344496712462773,0.10290739946541329,0.06237277781363001,0.07490495512053547,0.0688462085377543,0.23572612399042625,0.2098256170925906,0.14199494444822408,0.15121975290156048,0
adjudication,497629,0.8323994324945069,0.8152266445927654,0.10604987681240717,0.6188090433171058,0.6577256125411985,0.19388224150008512,-0.213590389170993,-0.1575010320291317,0.24748489018698305,0.4180871176890324,0.43821492343296375,0.10136855529652836,0.06114434181079727,0.07280814003463743,0.06849088109176088,0.22847569285191824,0.2028874453613014,0.13858263826624426,0.159677189231335,0
Deep_Win,314730,0.8146487158684441,0.7858797373592844,0.11371562680643997,0.6446418129198147,0.7271385962044457,0.18479434687426782,-0.1700069029558259,-0.05874114116066694,0.2502140869344464,0.43553638354881746,0.4767193833335874,0.09755601337542409,0.07287737749602805,0.0919675207531625,0.07441469928958695,0.21199120812805172,0.1568413450222744,0.1310311169676997,0.21496838560035586,0
Shallow_Win,182899,0.8629446134070365,0.8546660193081494,0.08290004649884565,0.5743563804974045,0.5805809850965207,0.20096719776323646,-0.2885882328798134,-0.2740850341572031,0.22364715909676772,0.38806066897116,0.39324480308602716,0.10077259074248028,0.04095430074325349,0.04456206583112399,0.05088955756921554,0.2568419599017245,0.2506273243785767,0.14641177819403714,0.06453288426946019,0
Deep_Correct,1902567,0.8730290838184822,0.8648218038260123,0.0929749975730267,0.7774616359736894,0.7596635624981682,0.14982442155922432,-0.09556744784485154,-0.1051582413265726,0.13373425839008252,0.4675090573186003,0.4636428023964382,0.051508629446320196,0.048188605659132785,0.051696632082179624,0.055694212883394906,0.1311769268972238,0.14153603453406272,0.09530831880007984,0.06577008851725064,0
Deep_Wrong,576576,0.8238977127318661,0.8101132556612198,0.11195202670087895,0.6048489312396591,0.5835530770078312,0.18525188434152232,-0.2190487814781283,-0.22656017859601651,0.1926115776412746,0.41505536026185696,0.4095294163290594,0.08575713795149403,0.06646723700196698,0.07674032740918117,0.07354914091635285,0.23581701320616302,0.24968661868320058,0.13114895490479478,0.06509289321789322,0
Top20_Deep_Correct,288998,0.8228915022221722,0.7974675914398565,0.11300864807105684,0.6056662468390521,0.6995928138710749,0.17966287522384358,-0.21722525538536308,-0.09787477757214501,0.24674453332425303,0.4178354213960875,0.46317015368832665,0.0975732638402484,0.06695648978786066,0.08304509846652698,0.07372035395858306,0.24201993569062347,0.17875562665656355,0.12524484643584255,0.14829168367947182,0
