population,group,score,auroc,auprc,positive,negative,prevalence,image_auroc,eligible_images,images_with_targets,targets,zero_excluded
residual_utility,all,S_D_sym,0.42978774619532867,0.3443575731139321,177865,257316,0.40871499445058496,0.5001787415191201,2868,3194,435181,4
residual_utility,all,Delta_sym,0.44822527534496426,0.392902854158421,177865,257316,0.40871499445058496,0.4852564405363291,2868,3194,435181,4
residual_utility,all,q,0.9165537649168968,0.9178838152288648,177865,257316,0.40871499445058496,0.906699538208305,2868,3194,435181,4
residual_utility,all,deep_confidence_advantage,0.6875283280265928,0.6331446554658192,177865,257316,0.40871499445058496,0.6652550668546756,2868,3194,435181,4
residual_utility,all,deep_entropy_advantage,0.6603976651660707,0.617004278511774,177865,257316,0.40871499445058496,0.6333397781073871,2868,3194,435181,4
residual_utility,Top20,S_D_sym,0.5124950613315153,0.7829996844925818,122719,29814,0.8045406567759108,0.5247515256290863,2541,2986,152533,3
residual_utility,Top20,Delta_sym,0.5973755042982279,0.8572104132573876,122719,29814,0.8045406567759108,0.588145706123017,2541,2986,152533,3
residual_utility,Top20,q,0.9450967833781909,0.9865568791210277,122719,29814,0.8045406567759108,0.9404075728788256,2541,2986,152533,3
residual_utility,Top20,deep_confidence_advantage,0.466244862985458,0.808077331224292,122719,29814,0.8045406567759108,0.45953379502617625,2541,2986,152533,3
residual_utility,Top20,deep_entropy_advantage,0.4919845644112039,0.8226690136966666,122719,29814,0.8045406567759108,0.46628775924469457,2541,2986,152533,3
residual_utility,Bottom80,S_D_sym,0.5412691094805977,0.19569918641287834,55146,227502,0.19510486541564065,0.5931086050491008,2714,3153,282648,1
residual_utility,Bottom80,Delta_sym,0.5223954970646023,0.2228115780780056,55146,227502,0.19510486541564065,0.5571934450785248,2714,3153,282648,1
residual_utility,Bottom80,q,0.7978379620735436,0.6272730636514893,55146,227502,0.19510486541564065,0.8270162428812339,2714,3153,282648,1
residual_utility,Bottom80,deep_confidence_advantage,0.5263454061257145,0.2765562574957022,55146,227502,0.19510486541564065,0.5776138284152234,2714,3153,282648,1
residual_utility,Bottom80,deep_entropy_advantage,0.4468240501941783,0.1909179768357016,55146,227502,0.19510486541564065,0.505337138074508,2714,3153,282648,1
residual_utility,class0,S_D_sym,0.37870604028610383,0.18734796101777895,26908,83761,0.24313945187902664,0.4942864510735616,1474,1830,110669,0
residual_utility,class0,Delta_sym,0.41239612264075126,0.22243332503700813,26908,83761,0.24313945187902664,0.5153616237593398,1474,1830,110669,0
residual_utility,class0,q,0.893756921284635,0.843399697610185,26908,83761,0.24313945187902664,0.8765405162317609,1474,1830,110669,0
residual_utility,class0,deep_confidence_advantage,0.6267000968659285,0.3807379407335285,26908,83761,0.24313945187902664,0.6244965876547252,1474,1830,110669,0
residual_utility,class0,deep_entropy_advantage,0.5988930750601825,0.369059499762034,26908,83761,0.24313945187902664,0.5906073334029921,1474,1830,110669,0
residual_utility,class1,S_D_sym,0.48863119430296825,0.34316543788725923,55209,91637,0.37596529697778625,0.5643367141012243,1999,2427,146846,3
residual_utility,class1,Delta_sym,0.46509962858493853,0.3745569243678151,55209,91637,0.37596529697778625,0.543588313546269,1999,2427,146846,3
residual_utility,class1,q,0.8986057978259014,0.8848770140515275,55209,91637,0.37596529697778625,0.8927389902477109,1999,2427,146846,3
residual_utility,class1,deep_confidence_advantage,0.6448800549833309,0.5239634705778975,55209,91637,0.37596529697778625,0.6564631523775365,1999,2427,146846,3
