metric,estimate,ci_low,ci_high,resamples,valid_resamples,seed
CandidatePrecision,0.5355341971008201,0.5227989364868163,0.5484003402262462,10000,10000,42
CandidateRate,0.11372955016679713,0.11100319823188509,0.11641144899532888,10000,10000,42
ThirdRescue_count_equivalent,108541.0,104859.93570522501,112235.98057234196,10000,10000,42
ThirdRescue_to_gap,3.471534574297955,3.3538007965593617,3.5897134450310864,10000,10000,42
Hard_NetRepair_count_equivalent,43535.0,39434.33945630073,47553.694052665174,10000,10000,42
Hard_accuracy_delta_UR,0.024428975845979896,0.022127955118413745,0.026684002375093035,10000,10000,42
Hard_accuracy_delta_foreground,0.017560503770859527,0.01591023039577021,0.019182932693643653,10000,10000,42
RawCorrect_hard_HarmRate,0.04826270305586078,0.045995263770598434,0.05048079895525158,10000,10000,42
RawCorrect_gradient_HarmRate,0.04671546936714875,0.04453191135815478,0.04887550677607289,10000,10000,42
Candidate_gradient_BenefitRate,0.6840110914850156,0.6739547573058637,0.6937948093335924,10000,10000,42
Candidate_gradient_HarmRate,0.31598890851498435,0.3062051906664076,0.32604524269413626,10000,10000,42
Candidate_gradient_Mean_dM,0.240581827573399,0.2255514757735564,0.2554107119636885,10000,10000,42
BW_prevalence_candidate,0.6300930540068483,0.6196258162311135,0.640517498473464,10000,10000,42
BW_prevalence_UR,0.18067453937899283,0.17507418362350946,0.18631040194444945,10000,10000,42
DeepWin_intrusion,0.08803575845376488,0.08143115719155573,0.0949862513335667,10000,10000,42
ShallowWin_intrusion,0.058958123073094525,0.05417980937323927,0.06390955481379464,10000,10000,42
rescue:all:M_alt:image_AUROC,0.6249065412425366,0.6148871238798932,0.6349258350391135,10000,10000,42
rescue:all:C_ctx:image_AUROC,0.6221243902434093,0.612100086379645,0.6324436917215015,10000,10000,42
rescue:all:E_ctx:image_AUROC,0.5627992883659084,0.5518678698494961,0.5741842282415887,10000,10000,42
rescue:all:q:image_AUROC,0.5298054058424216,0.5207060740526972,0.5386895744483515,10000,10000,42
rescue:all:Delta_sym:image_AUROC,0.46649510726785665,0.45836672657270205,0.47479999138197604,10000,10000,42
rescue:all:D_hier:image_AUROC,0.5655400975850438,0.556617545378847,0.5744597934513532,10000,10000,42
rescue:Top20:M_alt:image_AUROC,0.6134818318749969,0.5986973850914652,0.6280474595944163,10000,10000,42
rescue:Bottom80:M_alt:image_AUROC,0.6270830013540303,0.6163092150026056,0.6378427749135718,10000,10000,42
rescue:Q1:M_alt:image_AUROC,0.6269119426993035,0.6062429895878444,0.6472961314339387,10000,10000,42
rescue:Q2:M_alt:image_AUROC,0.616682007961281,0.6023664964490973,0.6310884024788509,10000,10000,42
rescue:Q3:M_alt:image_AUROC,0.6236197773967519,0.6106862521036862,0.6365580302159054,10000,10000,42
rescue:Q4:M_alt:image_AUROC,0.6113147112010001,0.5988877690935235,0.6236499119304474,10000,10000,42
rescue:Q5:M_alt:image_AUROC,0.6066297077973518,0.5902358340198024,0.6232335777648292,10000,10000,42
rescue:class0:M_alt:image_AUROC,0.6193541446052802,0.5991968351059577,0.639644032427754,10000,10000,42
rescue:class1:M_alt:image_AUROC,0.6273763929977654,0.6088595594097551,0.6457471220679284,10000,10000,42
rescue:class2:M_alt:image_AUROC,0.5334247479180967,0.5056703065707832,0.5614270790548725,10000,10000,42
