task,group,score,auroc,auprc,positive,negative,prevalence,image_auroc,eligible_images,images_with_targets,targets,zero_excluded
bothwrong,all,M_alt,0.675445679229583,0.4071802916459271,321981,1460124,0.18067453937899283,0.7591124727808813,3187,3416,1782105,0
bothwrong,Top20,M_alt,0.6931465900172494,0.4881988741007649,69981,206412,0.25319382184063993,0.758262772171107,2864,3185,276393,0
bothwrong,Bottom80,M_alt,0.6685228222650968,0.3871126317803751,252000,1253712,0.16736268290350345,0.7528862357138506,3145,3414,1505712,0
bothwrong,Q1,M_alt,0.6657774015974597,0.2915659592030531,35578,436236,0.07540683404901084,0.7158050014688723,2553,3401,471814,0
bothwrong,Q2,M_alt,0.6736792732835735,0.3748352577215525,58780,352462,0.14293287164248789,0.7404762649860039,2911,3410,411242,0
bothwrong,Q3,M_alt,0.6651692114443386,0.43238845631307066,76199,263182,0.22452347067160508,0.7430515880328998,2976,3392,339381,0
bothwrong,Q4,M_alt,0.6583112204876483,0.5032036041890248,93132,197662,0.3202679560100965,0.7407115168172272,2968,3297,290794,0
bothwrong,Q5,M_alt,0.6904104507692135,0.4535931163914358,58292,210582,0.2168004344042191,0.7613969023686283,2680,3171,268874,0
bothwrong,class0,M_alt,0.7222720121924127,0.47804938459170215,99426,614818,0.1392045295445254,0.7688159098014445,1740,2012,714244,0
bothwrong,class1,M_alt,0.700935901758317,0.4289011130798243,113117,635458,0.15110977523962194,0.7274701438830626,2291,2655,748575,0
bothwrong,class2,M_alt,0.5651269759603501,0.3680146560093279,72191,146495,0.33011258150956163,0.5287045992009459,834,930,218686,0
bothwrong,class3,M_alt,0.6030517546091975,0.45642971991613335,37247,63353,0.37024850894632205,0.5814249369181,325,383,100600,0
bothwrong,boundary,M_alt,0.550628608294496,0.4243135638397754,61307,97756,0.3854259004293896,0.5674143453662046,2066,2135,159063,0
bothwrong,interior,M_alt,0.6955269013175389,0.4279324116903772,260674,1362368,0.1606082898655734,0.7837699828953741,3174,3416,1623042,0
