group,count,beneficial,harmful,zero,benefit_rate,harm_rate,zero_rate,mean_dm,median_dm
all,202678,138634,64044,0,0.6840110914850156,0.31598890851498435,0.0,0.24058182757339877,0.4007272629930202
Top20,52574,40792,11782,0,0.7758968311332598,0.22410316886674023,0.0,0.3148916343062185,0.38753249254207045
Bottom80,150104,97842,52262,0,0.6518280658743272,0.3481719341256729,0.0,0.21455478113112358,0.4088101755153728
Q1,22693,12544,10149,0,0.5527695765213942,0.44723042347860575,0.0,0.13632192734941048,0.6808350302122904
Q2,36032,22515,13517,0,0.6248612344582594,0.3751387655417407,0.0,0.22725033711755024,0.5811041277414413
Q3,44966,29587,15379,0,0.6579860338922742,0.34201396610772583,0.0,0.22963368956937047,0.4615967159631935
Q4,55080,39066,16014,0,0.7092592592592593,0.29074074074074074,0.0,0.22697919643047193,0.3278599387066593
Q5,43907,34922,8985,0,0.7953629261848908,0.2046370738151092,0.0,0.33368445532591284,0.3947153448720422
class0,66220,47029,19191,0,0.710193295077016,0.289806704922984,0.0,0.27367009578497875,0.4500787256573481
class1,77382,51986,25396,0,0.6718099816494792,0.3281900183505208,0.0,0.2702368790781594,0.4088128739507424
class2,41358,23911,17447,0,0.5781469123265148,0.42185308767348517,0.0,0.05517902023384547,0.2497021246262181
class3,17718,15708,2010,0,0.8865560447003048,0.11344395529969523,0.0,0.4201741624552709,0.4390860381790318
boundary,31846,17908,13938,0,0.562331218991396,0.4376687810086039,0.0,0.049109142186301906,0.18901947814352493
interior,170832,120726,50106,0,0.7066942961506041,0.2933057038493959,0.0,0.2762756035570404,0.4337913523141192
ThirdRescue,108541,108541,0,0,1.0,0.0,0.0,0.711898559973174,0.6826857623948148
AlternativeFailure,94137,30093,64044,0,0.3196723923643201,0.6803276076356799,0.0,-0.30285156685603937,-0.3682608221192259
BothWrong,127706,126882,824,0,0.9935476798271029,0.006452320172897123,0.0,0.6696507610620488,0.6404438032022636
DeepWin_intrusion,9966,9668,298,0,0.970098334336745,0.029901665663255066,0.0,0.40046138889210997,0.3893248634417573
ShallowWin_intrusion,8529,469,8060,0,0.05498886153124634,0.9450111384687536,0.0,-0.40996860704030264,-0.3808907726535865
RawCorrect,65006,2084,62922,0,0.032058579208073104,0.9679414207919269,0.0,-0.626846362566032,-0.6115209132130361
RawWrong,137672,136550,1122,0,0.991850194665582,0.008149805334418036,0.0,0.6501642911695099,0.6169150228022695
StableCorrect_intrusion,56477,1615,54862,0,0.028595711528586858,0.9714042884714131,0.0,-0.6595986400750877,-0.660845534056743
