task,group,score,auroc,auprc,positive,negative,prevalence,image_auroc,eligible_images,images_with_targets,targets,zero_excluded
gradient,all,M_alt,0.6231372728103015,0.783603404686378,138634,64044,0.6840110914850156,0.6270231197768888,2135,3167,202678,0
gradient,Top20,M_alt,0.6061132787161179,0.8427906146942766,40792,11782,0.7758968311332598,0.6096936097571103,1619,2886,52574,0
gradient,Bottom80,M_alt,0.6286224104526686,0.7629519025515696,97842,52262,0.6518280658743272,0.629649224101823,2058,3121,150104,0
gradient,Q1,M_alt,0.6404936464221367,0.6888382370007732,12544,10149,0.5527695765213942,0.6338989615522576,1088,2500,22693,0
gradient,Q2,M_alt,0.6407999050257914,0.7514790322688126,22515,13517,0.6248612344582594,0.6339355621465987,1623,2891,36032,0
gradient,Q3,M_alt,0.6330290385814732,0.7701041433822184,29587,15379,0.6579860338922742,0.6290940552692752,1750,2964,44966,0
gradient,Q4,M_alt,0.6196641242041253,0.8020996107709927,39066,16014,0.7092592592592593,0.6109426060706389,1828,2984,55080,0
gradient,Q5,M_alt,0.6019779464319832,0.8567803976599259,34922,8985,0.7953629261848908,0.5951411012315548,1315,2691,43907,0
gradient,class0,M_alt,0.7061227388913688,0.8611288029971101,47029,19191,0.710193295077016,0.6663002559867981,839,1767,66220,0
gradient,class1,M_alt,0.6590224971033523,0.7945912713841344,51986,25396,0.6718099816494792,0.6273377582216533,1240,2330,77382,0
gradient,class2,M_alt,0.48282676748748476,0.5556611861166659,23911,17447,0.5781469123265148,0.5296847118278396,640,871,41358,0
gradient,class3,M_alt,0.48990264807867967,0.8876703358641154,15708,2010,0.8865560447003048,0.540692246114872,204,357,17718,0
gradient,boundary,M_alt,0.53242902540441,0.5915041830192882,17908,13938,0.562331218991396,0.5541595684340999,1514,1832,31846,0
gradient,interior,M_alt,0.6394320244219938,0.812414256888162,120726,50106,0.7066942961506041,0.6471911959639346,2046,3162,170832,0
