task,group,score,auroc,auprc,positive,negative,prevalence,image_auroc,eligible_images,images_with_targets,targets,zero_excluded
rescue,all,M_alt,0.6401249302785418,0.6795636903978031,108541,94137,0.5355341971008201,0.6249065412425375,2167,3167,202678,0
rescue,Top20,M_alt,0.6510426844011276,0.685997130541916,28054,24520,0.5336097690873816,0.6134818318749976,1615,2886,52574,0
rescue,Bottom80,M_alt,0.6363416513185887,0.6773603958643956,80487,69617,0.5362082289612535,0.6270830013540294,2101,3121,150104,0
rescue,Q1,M_alt,0.649231157164424,0.6309859292766762,10741,11952,0.47331776318688584,0.6269119426993042,1107,2500,22693,0
rescue,Q2,M_alt,0.6454327947367524,0.6784228154564503,18860,17172,0.5234236234458259,0.6166820079612814,1685,2891,36032,0
rescue,Q3,M_alt,0.636149653608788,0.6860028074046568,24660,20306,0.5484143575145666,0.6236197773967511,1816,2964,44966,0
rescue,Q4,M_alt,0.6258369820950781,0.694011020900742,31289,23791,0.5680646332607117,0.6113147112009999,1833,2984,55080,0
rescue,Q5,M_alt,0.6563264559633489,0.6846941047752721,22991,20916,0.5236294896030246,0.6066297077973526,1390,2691,43907,0
rescue,class0,M_alt,0.6934197562611447,0.8247684300822526,43879,22341,0.662624584717608,0.6193541446052793,800,1767,66220,0
rescue,class1,M_alt,0.6703466277537778,0.7470974846458694,46035,31347,0.5949057920446615,0.6273763929977657,1068,2330,77382,0
rescue,class2,M_alt,0.5107654452183235,0.33284211938811614,13719,27639,0.33171333236616857,0.5334247479180966,438,871,41358,0
rescue,class3,M_alt,0.46387056579549263,0.24317766358617612,4908,12810,0.2770064341347782,0.5453799134915732,134,357,17718,0
rescue,boundary,M_alt,0.5130498929736277,0.39806564665327593,12330,19516,0.3871757834578911,0.5515386335058032,1553,1832,31846,0
rescue,interior,M_alt,0.6598006241845452,0.7219092114289025,96211,74621,0.5631907370984359,0.6479535950824086,2051,3162,170832,0
