task,group,score,auroc,auprc,positive,negative,prevalence,image_auroc,eligible_images,images_with_targets,targets,zero_excluded
rescue,all,M_alt,0.6401249302785418,0.6795636903978031,108541,94137,0.5355341971008201,0.6249065412425375,2167,3167,202678,0
rescue,all,C_ctx,0.6441849793682387,0.6802732540087408,108541,94137,0.5355341971008201,0.6221243902434097,2167,3167,202678,0
rescue,all,E_ctx,0.5971464694225311,0.6318989132854163,108541,94137,0.5355341971008201,0.5627992883659093,2167,3167,202678,0
rescue,all,q,0.5150549731758822,0.5364218668043578,108541,94137,0.5355341971008201,0.5298054058424213,2167,3167,202678,0
rescue,all,Delta_sym,0.4736268826194224,0.5199629260248377,108541,94137,0.5355341971008201,0.4664951072678572,2167,3167,202678,0
rescue,all,D_hier,0.5445584279127782,0.5664405253751545,108541,94137,0.5355341971008201,0.5655400975850432,2167,3167,202678,0
bothwrong,all,M_alt,0.675445679229583,0.4071802916459271,321981,1460124,0.18067453937899283,0.7591124727808813,3187,3416,1782105,0
bothwrong,all,C_ctx,0.22411671978098846,0.11149932335078283,321981,1460124,0.18067453937899283,0.2780255847127058,3187,3416,1782105,0
bothwrong,all,E_ctx,0.23193442401871345,0.1122822863921417,321981,1460124,0.18067453937899283,0.2935839304176785,3187,3416,1782105,0
bothwrong,all,q,0.6451966656760446,0.24023832814723353,321981,1460124,0.18067453937899283,0.6049187270780886,3187,3416,1782105,0
bothwrong,all,Delta_sym,0.2651298424660213,0.11651630961032458,321981,1460124,0.18067453937899283,0.28401998932494993,3187,3416,1782105,0
bothwrong,all,D_hier,0.6287945187278687,0.25828331756067574,321981,1460124,0.18067453937899283,0.6290823966735537,3187,3416,1782105,0
gradient,all,M_alt,0.6231372728103015,0.783603404686378,138634,64044,0.6840110914850156,0.6270231197768888,2135,3167,202678,0
gradient,all,C_ctx,0.5497853252757139,0.7468675643044523,138634,64044,0.6840110914850156,0.5932510411472344,2135,3167,202678,0
gradient,all,E_ctx,0.4639618961489345,0.6860511821620773,138634,64044,0.6840110914850156,0.5163463226766924,2135,3167,202678,0
gradient,all,q,0.5996571235243116,0.7511484809045281,138634,64044,0.6840110914850156,0.57998617840942,2135,3167,202678,0
gradient,all,Delta_sym,0.4505055997484966,0.6543525092296213,138634,64044,0.6840110914850156,0.46391915347947554,2135,3167,202678,0
gradient,all,D_hier,0.5902532488387162,0.7414624551094793,138634,64044,0.6840110914850156,0.5727423768604393,2135,3167,202678,0
