group,targets,deep_win_count,shallow_win_count,both_wrong_count,T_SS_mean,T_SD_mean,T_DS_mean,T_DD_mean,B_S_mean,B_D_mean,B_family_mean,old_mean,old_median,dsrc_mean,sym_mean,sym_median,wD_sym_mean,bias_shrink,old_auroc,old_image_auroc,old_balanced_accuracy,old_deep_win_recall,old_shallow_win_recall,dsrc_auroc,dsrc_image_auroc,dsrc_balanced_accuracy,dsrc_deep_win_recall,dsrc_shallow_win_recall,sym_auroc,sym_image_auroc,sym_balanced_accuracy,sym_deep_win_recall,sym_shallow_win_recall,ctx_S_auroc,ctx_S_image_auroc,ctx_S_balanced_accuracy,ctx_S_deep_win_recall,ctx_S_shallow_win_recall,ctx_D_auroc,ctx_D_image_auroc,ctx_D_balanced_accuracy,ctx_D_deep_win_recall,ctx_D_shallow_win_recall,ctx_sym_auroc,ctx_sym_image_auroc,ctx_sym_balanced_accuracy,ctx_sym_deep_win_recall,ctx_sym_shallow_win_recall,shallow_accuracy,shallow_miou,deep_accuracy,deep_miou,fixed_average_accuracy,fixed_average_miou,anchor_old_accuracy,anchor_old_miou,anchor_sym_accuracy,anchor_sym_miou,ctx_S_accuracy,ctx_S_miou,ctx_D_accuracy,ctx_D_miou,ctx_sym_accuracy,ctx_sym_miou,anchor_sym_minus_fixed_average_accuracy,anchor_sym_minus_fixed_average_miou,anchor_sym_minus_anchor_old_accuracy,anchor_sym_minus_anchor_old_miou,pair_support,hard_pair_prevalence
all,2479143,314730,182899,393677,0.8616025669069378,0.7415000648320003,0.7373169799999403,0.8025479516477118,0.12010250207781879,0.06523097164589665,0.09266673686295016,-0.12428558690376834,-0.08037638664245605,0.06104788681359389,-0.03161885002188026,-0.016857147216796875,0.4861555839413656,0.7455952193208514,0.638179880685981,0.7348502223175151,0.5939727493091467,0.261652845295968,0.9262926533223255,0.8248006396068805,0.7925693954480826,0.7248869201739061,0.8800495662949195,0.5697242740528926,0.7882824527758562,0.7848415501407355,0.7156265907137409,0.6403139198678233,0.7909392615596587,0.6262645496541137,0.7232612368659924,0.5752177506654478,0.21496838560035586,0.9354671157305398,0.8082925064828245,0.7781719203390879,0.7250208727829404,0.8157627172497061,0.6342790283161746,0.7486580469851927,0.7641105378735852,0.6654801489453452,0.489222508181616,0.8417377897090744,0.7142532721993043,0.4363486817386499,0.767429309241137,0.5662856277940953,0.7740868517870894,0.573520035544036,0.7792918762653062,0.56908695657968,0.7853834974424629,0.5931706913402506,0.7813946190276236,0.489692042270629,0.8144475732138081,0.643650105847837,0.8212043435977675,0.6472309551401759,0.011296645655373583,0.01965065579621461,0.006091621177156781,0.024083734760570574,DEFINED,
hard_disagreement,587701,314730,182899,90072,0.830055253573072,0.5512665215368305,0.6079212323091283,0.7138344483823588,0.2787887320467808,0.10591321607157922,0.19235097406422566,-0.2221340212534023,-0.20204925537109375,0.16256792683728907,-0.029783047227614823,-0.02111506462097168,0.48321032132159825,0.8659230777942375,0.638179880685981,0.7348502223175151,0.5939727493091467,0.261652845295968,0.9262926533223255,0.8248006396068805,0.7925693954480826,0.7248869201739061,0.8800495662949195,0.5697242740528926,0.7882824527758562,0.7848415501407355,0.7156265907137409,0.6403139198678233,0.7909392615596587,0.6262645496541137,0.7232612368659924,0.5752177506654478,0.21496838560035586,0.9354671157305398,0.8082925064828245,0.7781719203390879,0.7250208727829404,0.8157627172497061,0.6342790283161746,0.7486580469851927,0.7641105378735852,0.6654801489453452,0.489222508181616,0.8417377897090744,0.31121097292670935,0.1344965977371325,0.535527419555182,0.3728211319963243,0.5636114282602889,0.4010113567284591,0.5855681715702372,0.4153503503595657,0.6112649119194965,0.45165507444734787,0.5898424539008782,0.3529509312367702,0.6879893006818093,0.5370470949920456,0.7028914362915837,0.5555948749750073,0.04765348365920763,0.05064371771888876,0.025696740349259284,0.03630472408778218,DEFINED,
adjudication,497629,314730,182899,0,0.8323994324945069,0.5572573922451637,0.6188090433171058,0.7373200359489843,0.27514204026554545,0.11851099263262706,0.19682651645857485,-0.213590389170993,-0.19400638341903687,0.18006264369600747,-0.016763872753977116,-0.00905996561050415,0.4891592031980583,0.9215139218848665,0.638179880685981,0.7348502223175151,0.5939727493091467,0.261652845295968,0.9262926533223255,0.8248006396068805,0.7925693954480826,0.7248869201739061,0.8800495662949195,0.5697242740528926,0.7882824527758562,0.7848415501407355,0.7156265907137409,0.6403139198678233,0.7909392615596587,0.6262645496541137,0.7232612368659924,0.5752177506654478,0.21496838560035586,0.9354671157305398,0.8082925064828245,0.7781719203390879,0.7250208727829404,0.8157627172497061,0.6342790283161746,0.7486580469851927,0.7641105378735852,0.6654801489453452,0.489222508181616,0.8417377897090744,0.3675408788474948,0.16509279802896334,0.6324591211525051,0.4896929693529265,0.6629858790384001,0.5242301404953706,0.6884586710179672,0.5379808036883497,0.7190175813708606,0.5929665368783452,0.6352041380225028,0.40208138893996076,0.7486802417061706,0.6245120893386261,0.7641134258654539,0.6450972155028123,0.056031702332460465,0.06873639638297457,0.030558910352893376,0.054985733189995556,DEFINED,
Deep_Win,314730,314730,0,0,0.8146487158684441,0.510121521289045,0.6446418129198147,0.8118842198207505,0.3045271945986903,0.167242406905481,0.23588480076418844,-0.1700069029558259,-0.14231762290000916,0.30176269851592535,0.06587789778654793,0.06175357103347778,0.5221766931105994,0.6124987117220024,nan,nan,nan,0.261652845295968,nan,nan,nan,nan,0.8800495662949195,nan,nan,nan,nan,0.6403139198678233,nan,nan,nan,nan,0.21496838560035586,nan,nan,nan,nan,0.8157627172497061,nan,nan,nan,nan,0.489222508181616,nan,0.0,0.0,1.0,1.0,0.9169573920503289,0.8418903450585404,0.8206558002097035,0.6866011547502373,0.9201792012200934,0.8478858877948626,0.5841165443395927,0.3830534483936971,0.897385060210339,0.8109859609531072,0.8570616083627236,0.7472429655019376,0.0032218091697645557,0.00599554273632219,0.09952340101038992,0.16128473304462532,DEFINED,
Shallow_Win,182899,0,182899,0,0.8629446134070365,0.6383681291328408,0.5743563804974045,0.6090110479831617,0.22457648428508248,0.034654667479972756,0.1296155758875178,-0.2885882328798134,-0.26828283071517944,-0.029357081143782555,-0.1589726570678304,-0.14640122652053833,0.43234317577213427,0.4491367510975255,nan,nan,nan,nan,0.9262926533223255,nan,nan,nan,nan,0.5697242740528926,nan,nan,nan,nan,0.7909392615596587,nan,nan,nan,nan,0.9354671157305398,nan,nan,nan,nan,0.6342790283161746,nan,nan,nan,nan,0.8417377897090744,1.0,1.0,0.0,0.0,0.2259553086676253,0.09803527926794998,0.46097572977435636,0.1951911163966964,0.37286152466661926,0.15516535081453697,0.7231149432200286,0.328537977258725,0.4927911032865133,0.2163809646833989,0.6041695143221122,0.2687289979769063,0.14690621599899395,0.05713007154658699,-0.0881142051077371,-0.04002576558215942,DEFINED,
Both_Wrong,393677,0,0,393677,0.8057568533812105,0.6161818495179329,0.6190155120615197,0.6108693357394751,0.18957500386140047,-0.008146176328419583,0.09071441376264382,-0.18674134131292489,-0.16191715002059937,-0.005312513782726048,-0.09602692750080477,-0.07963746786117554,0.45745577543747423,0.485775770467189,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0033377616675599538,0.0011611051866417762,0.003916916660104603,0.001337213774646431,0.003650200545116936,0.0012675339358879222,0.3375584552818681,0.15081537027900313,0.33554157342186613,0.2029525210011548,0.336057224577509,0.1864786505890526,0.00031243887755698233,0.00010642874924614602,-0.00026671611498766713,-6.967983875850884e-05,DEFINED,
Both_Correct,1587837,0,0,0,0.8846008340705015,0.8303123270269932,0.8037882569742997,0.8705138479809935,0.05428850704339441,0.06672559100511251,0.06050704902393908,-0.08081257709484573,-0.058315932750701904,0.040201520954200806,-0.020305528040580424,-0.012689948081970215,0.49232987416466795,0.7487331024714153,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9372523754012534,0.7222843613749116,0.9537956351942927,0.8698144590026572,0.9593805913327376,0.8972536750545844,0.0,0.0,0.0,0.0,DEFINED,
Top20,485451,220561,103341,93112,0.8280799437857099,0.5401004279853361,0.559615300092259,0.7258339160046583,0.2879795158095512,0.16621861590916864,0.22709906586638154,-0.2684646436796993,-0.27209436893463135,0.18573348801089584,-0.04136557784615044,-0.036733031272888184,0.47762534839601994,0.8459179736357285,0.6589776204103654,0.7527279180860383,0.5807062356839748,0.22299499911589085,0.9384174722520587,0.8273460829221834,0.7798441920222281,0.7207774708116881,0.8993113016353752,0.5422436399880008,0.797646208980202,0.7814364625311788,0.709901800562908,0.6257044536432098,0.7940991474826061,0.6559554188255137,0.7478481630557898,0.5644392770911877,0.1802811920511786,0.9485973621311967,0.818469834574632,0.7715959658616396,0.733475158670422,0.8359229419525664,0.6310273753882777,0.7739537874243247,0.7687462622789756,0.6555808719192466,0.45741540888915083,0.8537463349493425,0.35385239704934174,0.19023837272164,0.595318580042064,0.42933731790908336,0.5998010097826557,0.43534413120489013,0.6129454878041244,0.44990195380035414,0.6429443960358512,0.4838272800336223,0.5680140735110237,0.35320897254495737,0.6975492892176554,0.5475828299416996,0.7103332777149496,0.5665648341498143,0.04314338625319547,0.04848314882873217,0.029998908231726795,0.03392532623326816,DEFINED,
Bottom80,1993692,94169,79558,300565,0.8697651070168562,0.7905395629625289,0.7805861801636886,0.8212273190309164,0.07922554405567533,0.04064113886568303,0.059933341460327895,-0.08917892685250041,-0.0658196210861206,0.030687756067805966,-0.02924558536062878,-0.016015291213989258,0.4882326406661373,0.672057254853798,0.7150707266862639,0.7299917045491902,0.6313699171019416,0.35219658273954274,0.9105432514643405,0.8057441491340934,0.7894372906819855,0.720177504376581,0.8349350635559473,0.6054199451972146,0.7922176591923603,0.7795786701591906,0.7306833602802635,0.6745319585001434,0.7868347620603836,0.6911697930132679,0.7145806652567144,0.6073119270181901,0.29621212925697415,0.9184117247794062,0.7753164410635164,0.7662998494322103,0.7035232579326673,0.7685437882955113,0.6385027275698233,0.7524976999477828,0.7542158082555324,0.6949299826373941,0.5637205449776466,0.8261394202971417,0.8020085349191349,0.5269703915405549,0.8093371493691102,0.5455089451008219,0.8165243176980196,0.5519698544190739,0.819796137016149,0.5556285672994121,0.8200664897085408,0.5580062166843265,0.8333513902849587,0.5277038768223345,0.842911543006643,0.621686536204128,0.8482007250869241,0.6121712224074949,0.003542172010521205,0.006036362265252615,0.0002703526923918398,0.00237764938491436,DEFINED,
Top20_Both_Wrong,93112,0,0,93112,0.8154799418802529,0.5383297520558608,0.49844155142946994,0.580119591904744,0.2771501898048128,0.08167804046607217,0.17941411512001912,-0.3170383904202563,-0.3160913586616516,0.041789839838786126,-0.13762427531217974,-0.14488863945007324,0.434325299333451,0.5659066058567377,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.004714752126471346,0.0017862752989687986,0.005960563622304322,0.00205020681323873,0.00541283615430879,0.0019607648434196955,0.38620156370822234,0.17720893157041312,0.32673554429074664,0.1883828378524973,0.3617578829796374,0.19777196380201414,0.0006980840278374431,0.0001744895444508968,-0.0005477274679955325,-8.944196981903454e-05,DEFINED,
