metric,observed,ci95_low,ci95_high,resamples,finite_resamples,seed,resampling_images,aggregation
all__mean_B_S,0.12010250207781879,0.11715943318461731,0.12304392229404369,10000,10000,42,3418,pooled_target_mean
all__mean_B_D,0.06523097164589665,0.06248989748783891,0.0680616794120561,10000,10000,42,3418,pooled_target_mean
all__mean_B_family,0.09266673686295016,0.09035649397052148,0.09505339649823633,10000,10000,42,3418,pooled_target_mean
hard_disagreement__mean_B_S,0.2787887320467808,0.2740004285794319,0.28365940061161704,10000,10000,42,3418,pooled_target_mean
hard_disagreement__mean_B_D,0.10591321607157922,0.09887559386328958,0.11317752657609813,10000,10000,42,3418,pooled_target_mean
hard_disagreement__mean_B_family,0.19235097406422566,0.18654344775956233,0.19834000766817955,10000,10000,42,3418,pooled_target_mean
adjudication__mean_B_S,0.27514204026554545,0.2698769079294799,0.280507370339584,10000,10000,42,3418,pooled_target_mean
adjudication__mean_B_D,0.11851099263262706,0.11031744134164312,0.1269539890611238,10000,10000,42,3418,pooled_target_mean
adjudication__mean_B_family,0.19682651645857485,0.19017667818350095,0.2037094990092777,10000,10000,42,3418,pooled_target_mean
Deep_Win__mean_B_S,0.3045271945986903,0.2975133567496997,0.31146534648391105,10000,10000,42,3418,pooled_target_mean
Deep_Win__mean_B_D,0.167242406905481,0.15619149666297272,0.17825141055897428,10000,10000,42,3418,pooled_target_mean
Deep_Win__mean_B_family,0.23588480076418844,0.22690676534764812,0.24480142468825042,10000,10000,42,3418,pooled_target_mean
Shallow_Win__mean_B_S,0.22457648428508248,0.2214093628925387,0.22771069492818524,10000,10000,42,3418,pooled_target_mean
Shallow_Win__mean_B_D,0.034654667479972756,0.03025837914058462,0.03903679032557894,10000,10000,42,3418,pooled_target_mean
Shallow_Win__mean_B_family,0.1296155758875178,0.1261669757201922,0.1330768848063433,10000,10000,42,3418,pooled_target_mean
Both_Wrong__mean_B_S,0.18957500386140047,0.1860455512200802,0.1931831674416804,10000,10000,42,3418,pooled_target_mean
Both_Wrong__mean_B_D,-0.008146176328419583,-0.012374319491206286,-0.00383382019954476,10000,10000,42,3418,pooled_target_mean
Both_Wrong__mean_B_family,0.09071441376264382,0.08829276260196076,0.09334896943847816,10000,10000,42,3418,pooled_target_mean
Both_Correct__mean_B_S,0.05428850704339441,0.05268966126577455,0.05586810666355307,10000,10000,42,3418,pooled_target_mean
Both_Correct__mean_B_D,0.06672559100511251,0.06436103605057011,0.069033053589994,10000,10000,42,3418,pooled_target_mean
Both_Correct__mean_B_family,0.06050704902393908,0.05942904749057999,0.0615645802743011,10000,10000,42,3418,pooled_target_mean
Top20__mean_B_S,0.2879795158095512,0.28290745255594796,0.2930529025302638,10000,10000,42,3418,pooled_target_mean
Top20__mean_B_D,0.16621861590916864,0.15792556591212187,0.17470107119340325,10000,10000,42,3418,pooled_target_mean
Top20__mean_B_family,0.22709906586638154,0.2205370769806635,0.2338370455682929,10000,10000,42,3418,pooled_target_mean
Bottom80__mean_B_S,0.07922554405567533,0.07738993636246792,0.08102060194261151,10000,10000,42,3418,pooled_target_mean
Bottom80__mean_B_D,0.04064113886568303,0.03867592803436025,0.04258654651303823,10000,10000,42,3418,pooled_target_mean
Bottom80__mean_B_family,0.059933341460327895,0.05912748012711243,0.06072306601320735,10000,10000,42,3418,pooled_target_mean
Top20_Both_Wrong__mean_B_S,0.2771501898048128,0.2722232584809585,0.28242948360701225,10000,10000,42,3418,pooled_target_mean
Top20_Both_Wrong__mean_B_D,0.08167804046607217,0.07283971850999543,0.09148649688004751,10000,10000,42,3418,pooled_target_mean
Top20_Both_Wrong__mean_B_family,0.17941411512001912,0.17303057784805215,0.1865748877857738,10000,10000,42,3418,pooled_target_mean
Deep_Correct__mean_B_S,0.09568395967884866,0.09275195298513089,0.09868451718869248,10000,10000,42,3418,pooled_target_mean
Deep_Correct__mean_B_D,0.08335347189883292,0.07982912377902737,0.08691346940543067,10000,10000,42,3418,pooled_target_mean
Deep_Correct__mean_B_family,0.0895187157905805,0.08666271327386313,0.09246258991544828,10000,10000,42,3418,pooled_target_mean
