group,targets,M_s_S,M_d_S,margin_S,M_s_D,M_d_D,margin_D
all,587701,0.3769651447883153,0.3600044348611925,-0.016960709926672736,0.24051590494488742,0.6064486376652964,0.3659327327034777
hard_disagreement,587701,0.3769651447883153,0.3600044348611925,-0.016960709926672736,0.24051590494488742,0.6064486376652964,0.3659327327034777
adjudication,497629,0.3849767314523988,0.37879514402671494,-0.006181587423060003,0.25168675578559674,0.6385586511575516,0.38687189536281263
Deep_Win,314730,0.3140073120675519,0.4393429562673993,0.125335644202049,0.14215493934236578,0.7540681627827424,0.6119132234103949
Shallow_Win,182899,0.5070998997747673,0.27460532917529096,-0.2324945705961258,0.4401675489511041,0.43979152507268343,-0.00037602385170236555
Both_Wrong,90072,0.33270280066293534,0.25618968875441384,-0.07651311192008134,0.1787992856513063,0.4290475151839774,0.25024822947270486
Both_Correct,0,nan,nan,nan,nan,nan,nan
Top20,382606,0.36783576557699205,0.3511159197971692,-0.016719845787100937,0.19696172622733973,0.6557993208280528,0.45883759457593276
Bottom80,205095,0.39399605857230574,0.37658601507809525,-0.017410043479343485,0.3217664966336462,0.5143846308286133,0.1926181341926777
Top20_Both_Wrong,58704,0.33253141992191615,0.24672759480237033,-0.08580382514791195,0.15876042267558038,0.4669469618423337,0.30818653907640114
Deep_Correct,314730,0.3140073120675519,0.4393429562673993,0.125335644202049,0.14215493934236578,0.7540681627827424,0.6119132234103949
Top20_Deep_Correct,220561,0.3175136669057806,0.41604094082964954,0.09852727392656294,0.11702713760858209,0.784500770046628,0.6674736323953404
Deep_Wrong,272971,0.44955424286908524,0.2685287365556015,-0.18102550631505315,0.35392409374179845,0.43624633361023674,0.08232223986655345
Top20_Deep_Wrong,162045,0.4363296555768135,0.26274585244584775,-0.173583803151817,0.305761459636836,0.48062254683874023,0.17486108720152205
Shallow_Correct,182899,0.5070998997747673,0.27460532917529096,-0.2324945705961258,0.4401675489511041,0.43979152507268343,-0.00037602385170236555
Top20_Shallow_Correct,103341,0.49529339335644695,0.2718452011719361,-0.22344819220109313,0.38926702735703944,0.4883911144123949,0.09912408710608167
Shallow_Wrong,404802,0.3181672224651373,0.3985897457807178,0.08042252331472008,0.15030862820936472,0.6817482143375372,0.531439586091519
Top20_Shallow_Wrong,279265,0.3206705328684298,0.380449761608532,0.05977922873626708,0.1257998472806609,0.7177481202092876,0.5919482728759055
class0,152759,0.42136257209573613,0.37190938214431163,-0.049453189985562855,0.32953992250130737,0.5277988193308139,0.19825889680835887
class1,229638,0.38245820126617136,0.38199941943496,-0.00045878181892487465,0.2623617773377083,0.5888004384801431,0.32643866114083464
class2,116575,0.30870794176401856,0.3962606507943196,0.08755270904675845,0.1805584841462757,0.63327919015664,0.4527207059975284
