group,gt_class,targets,deep_win_count,shallow_win_count,hard_pair_fraction,class_evidence_status,T_SS_mean,T_SD_mean,T_DS_mean,T_DD_mean,B_S_mean,B_D_mean,B_family_mean,old_mean,dsrc_mean,sym_mean,wD_sym_mean,old_pooled_auroc,old_image_auroc,sym_pooled_auroc,sym_image_auroc,M_s_S,M_d_S,margin_S,M_s_D,M_d_D,margin_D,GT_same_fraction,GT_shallow_candidate_fraction,GT_deep_candidate_fraction,GT_other_fraction,GT_background_fraction,GT_ignore_fraction,mass_gt_targets,pair_support
class2,2,323515,74850,11749,1.0,PASS,0.7900357550580858,0.6615687921182231,0.653672252298705,0.7569303347648987,0.1284669629372178,0.10325808246465079,0.11586252270267881,-0.13636350276212136,0.09536154264119234,-0.020500980067094297,0.4903607547758053,0.31992072379218106,0.27545820587409536,0.5371673713131145,0.45143658967003714,0.30870794176401856,0.3962606507943196,0.08755270904675845,0.1805584841462757,0.63327919015664,0.4527207059975284,0.815572768207236,0.1277285005678184,0.6056795511077214,0.2378048906845358,0.02878705809080988,0.0,116575,NOT_LOW_SUPPORT
class2_pair0_1,2,21986,0,0,0.18859961398241476,PASS,0.7982241677097115,0.4956883855585446,0.6865593867967281,0.6886028011476799,0.3025357821205831,0.002043414347563039,0.15228959822356783,-0.1116647809123056,0.19291441566326495,0.04062481703914286,0.5155560962030986,nan,nan,nan,nan,0.3227002497340199,0.38638768667763695,0.06368743696920239,0.10967508754141624,0.528953681171186,0.4192785935888456,0.7721431587984041,0.01698980974055502,0.18151833507182213,0.7727341202780622,0.028757735490631205,0.0,21986,LOW_SUPPORT
class2_pair0_2,2,30821,30821,0,0.26438773321895775,PASS,0.7583337762548343,0.4360731777251565,0.6376419364995083,0.8048423792678446,0.3222605985387203,0.1672004427686989,0.24473052067776244,-0.12069183977369803,0.36876920150713005,0.12403868091022871,0.546577180308164,nan,nan,nan,nan,0.2520098020457238,0.42079311044485607,0.16878330847129078,0.049549147142312414,0.72957874354582,0.6800295963916201,0.8615653790976344,0.010504235642293785,0.8615653790976344,0.09544403741960457,0.03248634814251775,0.0,30821,LOW_SUPPORT
class2_pair0_3,2,2368,0,0,0.020313103152476947,PASS,0.8551965937949717,0.53133191974799,0.4407504541434448,0.4826428008586722,0.32386467415789094,0.041892346715227374,0.1828785104019492,-0.41444613929284185,-0.048689118946738844,-0.23156762809643672,0.3903052773565759,nan,nan,nan,nan,0.38144525896279596,0.08800547242454076,-0.2934397865288161,0.18502255441349252,0.2737622862602399,0.08873973185207532,0.8214816825898565,0.011747324639440488,0.0014418087257827457,0.9643271586706711,0.022483708152887284,0.0,2368,LOW_SUPPORT
class2_pair1_0,2,2367,0,0,0.020304524983915932,PASS,0.8538554635136552,0.6257157787762466,0.7222730249644937,0.5792902940888167,0.2281396847562947,-0.14298273089771085,0.042578476922996544,-0.1315824385554568,-0.04642548477241748,-0.08900396186538925,0.46348105206689,nan,nan,nan,nan,0.34466962001031093,0.4083461412364388,0.06367652121983251,0.3205855060930442,0.38093849564625093,0.0603529894240531,0.8183525874864516,0.13834116973016722,0.023537064735460154,0.8188250782019386,0.01929668834913769,0.0,2367,LOW_SUPPORT
class2_pair1_2,2,43655,43655,0,0.37447994853098865,PASS,0.804726563141308,0.5541488027481921,0.6275817961657857,0.7754632671797259,0.2505777603813824,0.14788147101394022,0.19922961568882916,-0.17714476699122392,0.22131446439633323,0.022084848657668545,0.505007141319771,nan,nan,nan,nan,0.3457025660434658,0.406001393619787,0.060298827578283885,0.25874927170644385,0.6877229400974971,0.42897366842709617,0.8395780701911526,0.12301591069860718,0.8395780701911526,0.01111604134268336,0.026289978401381073,0.0,43655,LOW_SUPPORT
class2_pair1_3,2,3025,0,0,0.025948959897061977,PASS,0.8462644228265305,0.559547254827397,0.3728411844323489,0.44878339368080306,0.2867171679055395,0.07594220933465919,0.18132968876418495,-0.4734232385296467,-0.11076386125619747,-0.2920935493609137,0.3563809279272379,nan,nan,nan,nan,0.3961964310200746,0.08860689297195308,-0.30758953820821666,0.3358230858053512,0.28428307945371395,-0.051540006406697605,0.8189874443196314,0.14344046140936287,0.0003917047784717615,0.8345095242252034,0.021658310345104657,0.0,3025,LOW_SUPPORT
class2_pair2_0,2,644,0,644,0.005524340553291872,PASS,0.7934360164940727,0.6363423185550278,0.7656192803605003,0.6360711455113769,0.1570936978696296,-0.12954813480284644,0.013772781533391579,-0.027816736133572478,-0.00027117304365087,-0.014043955097657553,0.4937232662431942,nan,nan,nan,nan,0.25126561517277674,0.4067739725390576,0.1555083571291118,0.31600170217562906,0.38069868593054434,0.06469698396065961,0.8679886479885173,0.8679886479885173,0.030911262198467016,0.08394195826909279,0.01715813093581555,0.0,644,LOW_SUPPORT
class2_pair2_1,2,10522,0,10522,0.09025948959897062,PASS,0.7394444225655153,0.6018431851864456,0.7227020745148475,0.7471996159822945,0.1376012373751752,0.02449754147736026,0.0810493894170625,-0.016742348036505927,0.1453564307919543,0.06430704156820187,0.5242623814389271,nan,nan,nan,nan,0.26505398479883513,0.4761828619436582,0.2111288771476555,0.30631452507282714,0.616327216144353,0.3100126909008513,0.6661304804711374,0.6661304804711374,0.2833660162580914,0.016017708952795886,0.034485794124355464,0.0,10522,LOW_SUPPORT
class2_pair2_3,2,583,0,583,0.005001072271070127,PASS,0.7923922276517334,0.5442857735919707,0.38436130733320273,0.4630305013247154,0.24810645405976278,0.07866919393400386,0.16338782439305483,-0.40803092033131044,-0.08125527215862764,-0.24464309650056357,0.3784436837196555,nan,nan,nan,nan,0.2157053663099814,0.09044932869564914,-0.12525603774532446,0.2667124015515739,0.2988369620499388,0.03212456085669647,0.7977438469259244,0.7977438469259244,0.00018792002227023167,0.1695869684883906,0.03248126479424856,0.0,583,LOW_SUPPORT
