group,branch,targets,mean_max_confidence,entropy_nats,entropy_normalized,predicted_frequency_class0,mean_probability_class0,predicted_frequency_class1,mean_probability_class1,predicted_frequency_class2,mean_probability_class2,predicted_frequency_class3,mean_probability_class3
all,shallow,2479143,0.7407311674319065,0.6779264071809392,0.4890205328638066,0.4586762441698603,0.4268008405807198,0.4395938435176995,0.40537706932418555,0.08681588758696049,0.11948146748639075,0.014914024725479732,0.04834062076281734
all,deep,2479143,0.9433203161926297,0.14671137080711003,0.10582988355271974,0.36360790805532395,0.3638644989289435,0.4431575750168506,0.436967754811878,0.1180250594661139,0.12224872016642137,0.07520945746171157,0.07691902761305673
class0,shallow,965133,0.7848718288048465,0.589987924036363,0.4255863260958177,0.8387413962635202,0.721702875300794,0.14158773972084676,0.19084562712439537,0.01610140778524825,0.05169945683840485,0.003569456230384828,0.035752038649407285
class0,deep,965133,0.9520571668720935,0.12447106775146212,0.0897868960895943,0.792508390035363,0.783372719812691,0.16482805996686467,0.16735005012874904,0.01403951579730462,0.017791547860944206,0.028624034200467708,0.031485683930201555
class1,shallow,1044692,0.741528280928311,0.6814425840009616,0.4915569182943741,0.19353072484521755,0.22751365750427602,0.755598779353149,0.6390089587061801,0.04363774203305855,0.09060248810829898,0.007232753768574853,0.0428748936813626
class1,deep,1044692,0.9423880711487291,0.15069527918916767,0.108703665985795,0.09717888143108208,0.10351172904013847,0.7933448327353899,0.7755598223026815,0.05820184322269147,0.06781254401629726,0.051274442610836496,0.05311590615475916
class2,shallow,323515,0.6836461061845671,0.7809640546007711,0.5633464843425351,0.21805480425946247,0.22966282559773296,0.3235676861969306,0.3109020419139684,0.4546775265443643,0.4227205055044724,0.0036999829992426935,0.03671462590967181
class2,deep,323515,0.9216807883634189,0.19611723189274596,0.14146867894226772,0.056909262321685236,0.06353454806365291,0.273059981762824,0.27612146176311364,0.6497256695980094,0.6384160125354296,0.020305086317481416,0.02192797904522739
class3,shallow,145803,0.5694968757081239,1.0062103639807527,0.7258273511030554,0.37655603794160614,0.340047792318526,0.40546490812946234,0.3610850939531138,0.048051137493741555,0.10223845206668196,0.16992791643518995,0.1966286608028452
class3,deep,145803,0.9401818202648824,0.1557602658532931,0.11235728155704626,0.11403743407200126,0.11879733425239648,0.1538377125299205,0.15253402229959062,0.05522520112754881,0.058438237683673185,0.6768996522705294,0.6702304061759004
