group,context,targets,different_from_both,correct_third_class,wrong_third_class,rescue_rate,rescue_precision,intrusion_rate,harm_rate,equals_shallow,equals_deep,accuracy,miou
all,ctx_S,2479143,309629,132889,176740,0.05360279741830141,0.4291878344728691,0.12489356200912977,0.07129076459082836,0.7758249524129911,0.7707865177603712,0.7813946190276236,0.489692042270629
all,ctx_D,2479143,249593,132095,117498,0.05328252545335223,0.5292416053334829,0.10067712915309847,0.04739460369974624,0.7345134992213035,0.8495246139492558,0.8144475732138081,0.643650105847837
all,ctx_sym,2479143,241241,132298,108943,0.0533644085879677,0.5484059508955774,0.09730822304320486,0.04394381445523715,0.7541602077814793,0.8378173425252194,0.8212043435977675,0.6472309551401759
hard_disagreement,ctx_S,587701,82944,30555,52389,0.05199072317385882,0.3683810763888889,0.14113299109581232,0.08914226792195351,0.4400605069584704,0.4188065019457173,0.5898424539008782,0.3529509312367702
hard_disagreement,ctx_D,587701,55658,31767,23891,0.05405299633657251,0.5707535304897768,0.0947046202065336,0.04065162386996109,0.2100677044959937,0.6952276752974726,0.6879893006818093,0.5370470949920456
hard_disagreement,ctx_sym,587701,58637,32845,25792,0.05588726240043832,0.5601412077698381,0.09977352429211453,0.04388626189167621,0.2736646696194153,0.6265618060884701,0.7028914362915837,0.5555948749750073
adjudication,ctx_S,497629,48534,0,48534,0.0,0.0,0.09753048958159592,0.09753048958159592,0.45460975947945154,0.4478597509389525,0.6352041380225028,0.40208138893996076
adjudication,ctx_D,497629,20840,0,20840,0.0,0.0,0.04187858826555526,0.04187858826555526,0.22350184575255863,0.7346195659818862,0.7486802417061706,0.6245120893386261
adjudication,ctx_sym,497629,22523,0,22523,0.0,0.0,0.04526062588796071,0.04526062588796071,0.2862473851001449,0.6684919890118944,0.7641134258654539,0.6450972155028123
Deep_Win,ctx_S,314730,36921,0,36921,0.0,0.0,0.11731007530264036,0.11731007530264036,0.298573380357767,0.5841165443395927,0.5841165443395927,0.3830534483936971
Deep_Win,ctx_D,314730,11206,0,11206,0.0,0.0,0.03560512185047501,0.03560512185047501,0.06700981793918596,0.897385060210339,0.897385060210339,0.8109859609531072
