group,score,targets,winner_targets,mean_score,auroc,auprc,positive,negative,prevalence,image_auroc,image_auprc,auc_images,accuracy,balanced_accuracy,macro_f1,deep_win_recall,shallow_win_recall,zero_ties
all,ctx_S,2479143,497629,-0.10307346436947146,0.6262645496541137,0.7520615270359333,314730,182899,0.6324591211525051,0.7232612368659924,0.8102697698042417,3180,0.4797811220809077,0.5752177506654478,0.45628882281616145,0.21496838560035586,0.9354671157305398,0
all,ctx_D,2479143,497629,0.014302088048382105,0.8082925064828245,0.8690977661757394,314730,182899,0.6324591211525051,0.7781719203390879,0.814830348748427,3180,0.7490600427225905,0.7250208727829404,0.7272441429938306,0.8157627172497061,0.6342790283161746,0
all,ctx_sym,2479143,497629,-0.055341220738609066,0.7486580469851927,0.8217553219695092,314730,182899,0.6324591211525051,0.7641105378735852,0.8182407456863446,3180,0.6187862845613901,0.6654801489453452,0.6187862839456221,0.489222508181616,0.8417377897090744,0
hard_disagreement,ctx_S,587701,497629,-0.17335334616530257,0.6262645496541137,0.7520615270359333,314730,182899,0.6324591211525051,0.7232612368659924,0.8102697698042417,3180,0.4797811220809077,0.5752177506654478,0.45628882281616145,0.21496838560035586,0.9354671157305398,0
hard_disagreement,ctx_D,587701,497629,0.07857448491843141,0.8082925064828245,0.8690977661757394,314730,182899,0.6324591211525051,0.7781719203390879,0.814830348748427,3180,0.7490600427225905,0.7250208727829404,0.7272441429938306,0.8157627172497061,0.6342790283161746,0
hard_disagreement,ctx_sym,587701,497629,-0.0615137187539675,0.7486580469851927,0.8217553219695092,314730,182899,0.6324591211525051,0.7641105378735852,0.8182407456863446,3180,0.6187862845613901,0.6654801489453452,0.6187862839456221,0.489222508181616,0.8417377897090744,0
adjudication,ctx_S,497629,497629,-0.16733135101940516,0.6262645496541137,0.7520615270359333,314730,182899,0.6324591211525051,0.7232612368659924,0.8102697698042417,3180,0.4797811220809077,0.5752177506654478,0.45628882281616145,0.21496838560035586,0.9354671157305398,0
adjudication,ctx_D,497629,497629,0.09047741624299374,0.8082925064828245,0.8690977661757394,314730,182899,0.6324591211525051,0.7781719203390879,0.814830348748427,3180,0.7490600427225905,0.7250208727829404,0.7272441429938306,0.8157627172497061,0.6342790283161746,0
adjudication,ctx_sym,497629,497629,-0.05322829978493836,0.7486580469851927,0.8217553219695092,314730,182899,0.6324591211525051,0.7641105378735852,0.8182407456863446,3180,0.6187862845613901,0.6654801489453452,0.6187862839456221,0.489222508181616,0.8417377897090744,0
Deep_Win,ctx_S,314730,314730,-0.13911383055124601,nan,1.0,314730,0,1.0,nan,1.0,0,0.21496838560035586,nan,0.17693331624767578,0.21496838560035586,nan,0
Deep_Win,ctx_D,314730,314730,0.17305624613835954,nan,1.0,314730,0,1.0,nan,1.0,0,0.8157627172497061,nan,0.4492672470361783,0.8157627172497061,nan,0
Deep_Win,ctx_sym,314730,314730,-0.00242080587478087,nan,1.0,314730,0,1.0,nan,1.0,0,0.489222508181616,nan,0.3285086718028261,0.489222508181616,nan,0
Shallow_Win,ctx_S,182899,182899,-0.21588765923838793,nan,nan,0,182899,0.0,nan,nan,0,0.9354671157305398,nan,0.4833288605771268,nan,0.9354671157305398,0
Shallow_Win,ctx_D,182899,182899,-0.05162306070312666,nan,nan,0,182899,0.0,nan,nan,0,0.6342790283161746,nan,0.38810938482743856,nan,0.6342790283161746,0
Shallow_Win,ctx_sym,182899,182899,-0.14065711327404365,nan,nan,0,182899,0.0,nan,nan,0,0.8417377897090744,nan,0.4570345433602888,nan,0.8417377897090744,0
Both_Wrong,ctx_S,393677,0,-0.1477286699849883,nan,nan,0,0,nan,nan,nan,0,nan,nan,nan,nan,nan,0
Both_Wrong,ctx_D,393677,0,-0.04172790453010851,nan,nan,0,0,nan,nan,nan,0,nan,nan,nan,nan,nan,0
Both_Wrong,ctx_sym,393677,0,-0.10396561544530919,nan,nan,0,0,nan,nan,nan,0,nan,nan,nan,nan,nan,0
Both_Correct,ctx_S,1587837,0,-0.07186351318630865,nan,nan,0,0,nan,nan,nan,0,nan,nan,nan,nan,nan,0
Both_Correct,ctx_D,1587837,0,0.004320375186272242,nan,nan,0,0,nan,nan,nan,0,nan,nan,nan,nan,nan,0
Both_Correct,ctx_sym,1587837,0,-0.04394782513585174,nan,nan,0,0,nan,nan,nan,0,nan,nan,nan,nan,nan,0
Top20,ctx_S,485451,323902,-0.20975982889890785,0.6559554188255137,0.8015540340233503,220561,103341,0.6809497934560453,0.7478481630557898,0.8454084999647916,2915,0.42541262480626857,0.5644392770911877,0.406197410300161,0.1802811920511786,0.9485973621311967,0
Top20,ctx_D,485451,323902,0.08424612797764233,0.818469834574632,0.8919862768388204,220561,103341,0.6809497934560453,0.7715959658616396,0.8307547214111154,2915,0.7705509691202894,0.733475158670422,0.7346352801358571,0.8359229419525664,0.6310273753882777,0
Top20,ctx_sym,485451,323902,-0.08056451479236282,0.7739537874243247,0.8564094640188028,220561,103341,0.6809497934560453,0.7687462622789756,0.8400733147155001,2915,0.5838648727084118,0.6555808719192466,0.5832280665966249,0.45741540888915083,0.8537463349493425,0
Bottom80,ctx_S,1993692,173727,-0.0770960303690444,0.6911697930132679,0.7220914122910175,94169,79558,0.5420516097094867,0.7145806652567144,0.7886759997584243,3121,0.5811474324658804,0.6073119270181901,0.5507744322513214,0.29621212925697415,0.9184117247794062,0
Bottom80,ctx_D,1993692,173727,-0.0027288295295082123,0.7753164410635164,0.7983275398295759,94169,79558,0.5420516097094867,0.7662998494322103,0.8050135524861853,3121,0.7089916938645116,0.7035232579326673,0.7044331867422314,0.7685437882955113,0.6385027275698233,0
Bottom80,ctx_sym,1993692,173727,-0.04919951313197333,0.7524976999477828,0.7744958266890872,94169,79558,0.5420516097094867,0.7542158082555324,0.802106930808221,3121,0.6838948465120562,0.6949299826373941,0.6822123069032353,0.5637205449776466,0.8261394202971417,0
Top20_Both_Wrong,ctx_S,93112,0,-0.2447889116509087,nan,nan,0,0,nan,nan,nan,0,nan,nan,nan,nan,nan,0
Top20_Both_Wrong,ctx_D,93112,0,-0.020115881846519107,nan,nan,0,0,nan,nan,nan,0,nan,nan,nan,nan,nan,0
Top20_Both_Wrong,ctx_sym,93112,0,-0.14510205458735023,nan,nan,0,0,nan,nan,nan,0,nan,nan,nan,nan,nan,0
Deep_Correct,ctx_S,1902567,314730,-0.08298832108230744,nan,1.0,314730,0,1.0,nan,1.0,0,0.21496838560035586,nan,0.17693331624767578,0.21496838560035586,nan,0
Deep_Correct,ctx_D,1902567,314730,0.03223331631515255,nan,1.0,314730,0,1.0,nan,1.0,0,0.8157627172497061,nan,0.4492672470361783,0.8157627172497061,nan,0
Deep_Correct,ctx_sym,1902567,314730,-0.037078264814435026,nan,1.0,314730,0,1.0,nan,1.0,0,0.489222508181616,nan,0.3285086718028261,0.489222508181616,nan,0
Top20_Deep_Correct,ctx_S,288998,220561,-0.17506344572740554,nan,1.0,220561,0,1.0,nan,1.0,0,0.1802811920511786,nan,0.1527442725219342,0.1802811920511786,nan,0
Top20_Deep_Correct,ctx_D,288998,220561,0.1674789646051604,nan,1.0,220561,0,1.0,nan,1.0,0,0.8359229419525664,nan,0.4553148298607424,0.8359229419525664,nan,0
Top20_Deep_Correct,ctx_sym,288998,220561,-0.02680818875046893,nan,1.0,220561,0,1.0,nan,1.0,0,0.45741540888915083,nan,0.31385383062320926,0.45741540888915083,nan,0
