group,targets,deep_win_count,shallow_win_count,both_wrong_count,T_SS_mean,T_SD_mean,T_DS_mean,T_DD_mean,B_S_mean,B_D_mean,B_family_mean,old_mean,old_median,dsrc_mean,sym_mean,sym_median,wD_sym_mean,bias_shrink,old_auroc,old_image_auroc,old_balanced_accuracy,old_deep_win_recall,old_shallow_win_recall,dsrc_auroc,dsrc_image_auroc,dsrc_balanced_accuracy,dsrc_deep_win_recall,dsrc_shallow_win_recall,sym_auroc,sym_image_auroc,sym_balanced_accuracy,sym_deep_win_recall,sym_shallow_win_recall,ctx_S_auroc,ctx_S_image_auroc,ctx_S_balanced_accuracy,ctx_S_deep_win_recall,ctx_S_shallow_win_recall,ctx_D_auroc,ctx_D_image_auroc,ctx_D_balanced_accuracy,ctx_D_deep_win_recall,ctx_D_shallow_win_recall,ctx_sym_auroc,ctx_sym_image_auroc,ctx_sym_balanced_accuracy,ctx_sym_deep_win_recall,ctx_sym_shallow_win_recall,shallow_accuracy,shallow_miou,deep_accuracy,deep_miou,fixed_average_accuracy,fixed_average_miou,anchor_old_accuracy,anchor_old_miou,anchor_sym_accuracy,anchor_sym_miou,ctx_S_accuracy,ctx_S_miou,ctx_D_accuracy,ctx_D_miou,ctx_sym_accuracy,ctx_sym_miou,anchor_sym_minus_fixed_average_accuracy,anchor_sym_minus_fixed_average_miou,anchor_sym_minus_anchor_old_accuracy,anchor_sym_minus_anchor_old_miou,pair_support,hard_pair_prevalence,ctx_sym_Both_Wrong_rescue
pair0_1,201473,101044,71666,28763,0.8374747881161513,0.5779410145422408,0.6969355481328905,0.7318199268267174,0.25953377357648766,0.034884378696286106,0.1472090761331141,-0.14053923998340878,-0.13678312301635742,0.15387891227782705,0.006669836031903812,0.0044838786125183105,0.5009798065716488,0.9525411155055175,0.7275982993540516,0.5525290276403323,0.6215009134347457,0.30556985075808557,0.9374319761114057,0.7906115949310591,0.6128405727814864,0.6934856497297508,0.8727386089228455,0.5142326905366561,0.7898405096968543,0.596759127959692,0.7287213209826304,0.695449507145402,0.7619931348198588,0.7012988602517195,0.5371929646103715,0.5931840736839067,0.24428961640473457,0.9420785309630787,0.7762994619569678,0.5820608976646894,0.6974323282467942,0.7969102569177784,0.59795439957581,0.7554956230028025,0.5630608318903139,0.6934119017561036,0.561606824749614,0.8252169787625931,0.35571019441811064,0.08892754860452766,0.5015262591017159,0.12538156477542897,0.5340070381639227,0.1731405663580703,0.5694758106545293,0.2026704586263148,0.5646513428598373,0.19426512813762617,0.6724871322708253,0.3167039454976623,0.6517647525971222,0.38398706068234845,0.6770187568557573,0.3810525154873233,0.030644304695914615,0.021124561779555878,-0.004824467794692033,-0.008405330488688634,DEFINED,0.34281547929984807,0.26061259256683933
pair0_2,44977,30821,3438,10718,0.7738609144541454,0.4565422798103167,0.6054733146702536,0.7378291508670856,0.31731863463097504,0.13235583619761893,0.22483723541371717,-0.16838759980907111,-0.16617614030838013,0.2812868710195228,0.056449635617981136,0.06059008836746216,0.5181796126657198,0.6647637217370836,0.778376111540791,0.5532313793199317,0.6150345945651502,0.27108140553518706,0.9589877835951134,0.8752098263955362,0.6855652103411525,0.7816545088862392,0.9248564290581097,0.6384525887143688,0.8603328978400473,0.636399719114982,0.7815899059024581,0.7347912137828104,0.8283885980221058,0.7587469354045094,0.533859098929962,0.5943680099274273,0.23032996982576814,0.9584060500290866,0.864511693078722,0.6709605725821386,0.7863582251918738,0.8842347749910775,0.6884816753926701,0.8335174407482911,0.6034583434052172,0.736274888239339,0.6168197008533143,0.8557300756253636,0.07643906885741601,0.019109767214354003,0.6852613558040777,0.1713153389510194,0.649709851701981,0.20335033196294933,0.6374146786135135,0.22442298315657938,0.6817039820352625,0.2395330201774953,0.6142472819441047,0.2868981193013371,0.7236809925072815,0.3474324922931575,0.7190119394357116,0.3528973660269269,0.03199413033328147,0.03618268821454598,0.04428930342174897,0.015110037020915928,DEFINED,0.07653041257374073,0.46575853704049264
pair0_3,63094,32874,13319,16901,0.8929906827777442,0.5049525572290192,0.41617427582113287,0.6925884261440086,0.38803812557628353,0.2764141502999964,0.33222613795546924,-0.47681640692974653,-0.5157522559165955,0.1876358688817037,-0.14459026895006943,-0.12172675132751465,0.43449063219979556,0.6967590380358628,0.5302749597997076,0.4455922408127411,0.5018794843990051,0.005110421609782807,0.9986485471882274,0.9288866885707575,0.651765382810159,0.8485452510289591,0.9241345744357243,0.7729559276221939,0.8785564873734062,0.595886881133587,0.6940044881611485,0.4267506235931131,0.9612583527291839,0.5443252584774663,0.45438020414012453,0.5019959743820792,0.005718805134756951,0.9982731436294016,0.9130895174806072,0.6169654780965529,0.842436327210174,0.8785058100626635,0.8063668443576845,0.8153857772538953,0.5489924722375419,0.5839641698143628,0.20329135487011013,0.9646369847586155,0.2110977272006847,0.052774431800171176,0.5210321108187783,0.13025802770469458,0.548499064887311,0.18705330557450767,0.5203030399087076,0.2151994782403392,0.6112150125210004,0.25291513035761337,0.3308238501283799,0.16544250925790932,0.7186261768155451,0.42931827966469926,0.7196405363426,0.4376097476109505,0.06271594763368937,0.0658618247831057,0.09091197261229278,0.03771565211727418,DEFINED,0.10735731264707735,0.3963079107745104
pair1_0,66979,39164,22806,5009,0.8223021284363579,0.6080544071256471,0.7549691881388406,0.7192614572175113,0.21424772131977676,-0.035707730924888804,0.08926999519811141,-0.06733294031242316,-0.05664104223251343,0.11120705011839452,0.02193705480075836,0.021421611309051514,0.5039702300207287,0.6742003031358199,0.7462331513155334,0.5772073798686972,0.6727429484235966,0.4919824328464917,0.8535034640007015,0.7740903061076383,0.6347148401749055,0.6983520775383271,0.8197068736594832,0.5769972814171709,0.7787520558252051,0.618997069331785,0.7174538600412571,0.7225513226432438,0.7123563974392704,0.7220370013515751,0.5588273084508159,0.6391361049459083,0.39850372791338984,0.8797684819784267,0.7550319076396413,0.6047280912478233,0.6938819640134157,0.7245174139515882,0.6632465140752434,0.7515647087936881,0.5882373354573047,0.6938515791226675,0.5976917577366969,0.790011400508638,0.3404947819465803,0.08512369548664507,0.5847205840636618,0.14618014601591545,0.6043983935263292,0.18594196400324942,0.6274056047417848,0.20483312213264437,0.6298392033323877,0.20501632870602954,0.6998312904044551,0.2841834102502268,0.7000253810895952,0.3611581086261372,0.7089087624479314,0.3382618591828243,0.025440809806058562,0.019074364702780122,0.0024335985906029922,0.000183206573385164,DEFINED,0.11396781696815217,0.1547215012976642
pair1_2,76360,43655,27055,5650,0.8214951617074394,0.5866717811772183,0.5931394181850929,0.7032862476079059,0.23482338052092733,0.11014682942398396,0.17248510498067607,-0.22835574351727275,-0.22496247291564941,0.11661446640788026,-0.055870638580503985,-0.053753674030303955,0.473561291223428,0.7553350957006741,0.6738840581066058,0.5146483730772059,0.5638156479753454,0.1599358607261482,0.9676954352245426,0.7502797660314371,0.5876078260065155,0.6754237990412256,0.8106517008361013,0.54019589724635,0.7418573422710678,0.5607928717860189,0.6821361001202262,0.5563623868972626,0.8079098133431898,0.6539779140981707,0.4999063431367719,0.5491794321247684,0.12981330889932424,0.9685455553502126,0.7274813356630818,0.565691799597,0.6641119219067891,0.7390905967243157,0.5891332470892626,0.7072664736677415,0.5329021155184231,0.6414771989195283,0.429618600389417,0.8533357974496396,0.3543085385018334,0.08857713462545835,0.5716998428496595,0.14292496071241487,0.604413305395495,0.20182981083628776,0.6349135673127292,0.23561664789327283,0.6388947092718701,0.22949437959719768,0.6264143530644316,0.29811991525456705,0.687847040335254,0.3447104873009754,0.6944473546359351,0.3507146046013142,0.034481403876375105,0.02766456876090992,0.003981141959140899,-0.006122268296075151,DEFINED,0.1299300154330178,0.27893805309734515
pair1_3,86266,39959,32448,13859,0.8788027248982471,0.5130293203159078,0.3860497468554726,0.6608131297357496,0.36577340463647545,0.27476338288388286,0.3202683937786186,-0.49275297798603096,-0.5250758528709412,0.1477838094222223,-0.17248458417731327,-0.1542583853006363,0.4197190636285063,0.6499573044046096,0.5892478920423759,0.47368727804647137,0.5015790512660833,0.004729848094296654,0.9984282544378699,0.9209862731649546,0.5991941325997787,0.8255926860596707,0.9310793563402487,0.7201060157790927,0.8887439703821417,0.5628376754077219,0.7146939649444921,0.4733351685477615,0.9560527613412229,0.5988425252963923,0.47738094160343225,0.5014817298030038,0.004905027653344678,0.9980584319526628,0.9052430418478004,0.5827078672788127,0.8206098785926432,0.8937160589604345,0.7475036982248521,0.8291971777081123,0.5280348279840917,0.5982996561552021,0.23721814860231738,0.9593811637080868,0.37613891915702596,0.09403472978925649,0.4632068254005054,0.11580170635012635,0.5339299376347576,0.1827768178234192,0.579753321123038,0.23588204918112365,0.6655692856977257,0.28211566300862156,0.43976769526812415,0.2126028392634356,0.743004196323001,0.4553452215221643,0.7740129367305775,0.48806906366522396,0.13163934806296806,0.09933884518520236,0.08581596457468765,0.04623361382749791,DEFINED,0.1467855252926233,0.5179305866224114
pair2_0,5604,3972,644,988,0.6773621198361597,0.47111194742262513,0.7924661364334553,0.7708420490634645,0.20625017240888133,-0.02162408736999081,0.09231304252542805,0.11510401667440728,0.10800331830978394,0.29973010168404857,0.20741705916061476,0.21147367358207703,0.5786930674169848,-0.8019965517568879,0.807097665021611,0.4958592132505177,0.7237635498176678,0.831067472306143,0.6164596273291926,0.9093217741582381,0.6756383712905452,0.7635169791021623,0.9587109768378651,0.5683229813664596,0.8871318953169078,0.5920289855072465,0.7455574111951362,0.9290030211480362,0.562111801242236,0.7672906776003453,0.4434092477570738,0.7052621455780526,0.756797583081571,0.6537267080745341,0.885551734814509,0.5420289855072463,0.7608343810399505,0.9191842900302115,0.6024844720496895,0.8464933885021235,0.5364734299516909,0.744135970426526,0.8640483383685801,0.6242236024844721,0.11491791577444682,0.028729478943611705,0.708779443254818,0.1771948608137045,0.69593147751606,0.22802560734005722,0.719129193433262,0.238739233464958,0.7221627408993576,0.2414035548461312,0.7387580299785867,0.2785096799235856,0.7517844396859387,0.34337367124299356,0.7512491077801571,0.32350485383481675,0.02623126338329762,0.01337794750607399,0.003033547466095632,0.0026643213811732014,DEFINED,0.009535461059280144,0.18016194331983806
pair2_1,35079,19452,10522,5105,0.7052218357261494,0.5431018628064485,0.7269427680359921,0.7715398731383067,0.1621199729206567,0.04459710510465091,0.10335853900543239,0.021720932328108695,0.0017047524452209473,0.22843801033005293,0.12507947141945458,0.10913985967636108,0.5465746648893609,-4.7584735289127575,0.6350476981085584,0.5210907186760539,0.60082022946702,0.6038453629446844,0.5977950959893557,0.6990548928885643,0.5780486980018377,0.5939579539249998,0.9280793748714785,0.2598365329785212,0.6873221024167102,0.559131983689188,0.6239326877875573,0.8593460826650215,0.38851929291009313,0.6248361198336023,0.5154093792111603,0.5873893063789302,0.5100760847213655,0.664702528036495,0.6887594177595953,0.5545475101763394,0.6099705344027572,0.8727637260950031,0.3471773427105113,0.6699012332512633,0.5383178180970642,0.6275016911776519,0.7313386798272671,0.5236647025280365,0.2999515379571824,0.0749878844892956,0.5545197981698452,0.1386299495424613,0.5556030673622395,0.17959726537097462,0.5655235325978506,0.18123049332804828,0.5687163260070127,0.18148717247159374,0.6225091935345933,0.2791855480334989,0.6391858376806636,0.3220512707854321,0.6401550785370165,0.308640993361115,0.013113258644773196,0.0018899071006191204,0.00319279340916212,0.00025667914354546295,DEFINED,0.05968851507824557,0.43310479921645445
pair2_3,3995,1503,583,1909,0.7328104740612498,0.41445030688234746,0.37750111494740196,0.5569547390376447,0.3183601671599029,0.1794536240053863,0.24890689568521832,-0.35530935903365385,-0.3875744640827179,0.1425044322099644,-0.1064024631050561,-0.11585044860839844,0.44107089910064085,0.7005357235739595,0.5899099456889537,0.0,0.5212599386704008,0.0665335994677312,0.9759862778730704,0.8557407768796312,0.0,0.7568613487718674,0.8516300731869594,0.6620926243567753,0.8125076319630608,0.0,0.7274524707018211,0.5269461077844312,0.9279588336192109,0.5984543206326056,0.0,0.5228348334776987,0.06453759148369927,0.9811320754716981,0.8397076630044656,0.0,0.750727247620254,0.8050565535595475,0.6963979416809606,0.7704727765737821,0.0,0.6601496834803806,0.3992015968063872,0.9210977701543739,0.14593241551939926,0.036483103879849814,0.37622027534418023,0.09405506883604506,0.3797246558197747,0.1308080706986044,0.323153942428035,0.14527057096819088,0.4085106382978723,0.16823883208587348,0.38848560700876095,0.20533156268210354,0.5909887359198999,0.37495869924874414,0.5992490613266583,0.3907404178281375,0.028785982478097605,0.037430761387269085,0.0853566958698373,0.022968261117682603,DEFINED,0.0067976743275917515,0.6254583551597696
pair3_0,1273,666,194,413,0.7539702249575299,0.5455842947313754,0.7511202727868065,0.6935141137497498,0.20838593021444887,-0.05760615902535108,0.07538988564137108,-0.0028499521941344566,0.009314000606536865,0.14792981894814117,0.0725399336754948,0.07039731740951538,0.5223683072934446,-24.452945946016463,0.799557289248011,0.5174679487179488,0.7451317296678122,0.7222222222222222,0.7680412371134021,0.8536655211912944,0.626018772893773,0.7451162502708895,0.9129129129129129,0.5773195876288659,0.8577985201696542,0.6368589743589743,0.768884864245689,0.8573573573573574,0.6804123711340206,0.7816785858022971,0.5518887362637364,0.7258598804990557,0.6321321321321322,0.8195876288659794,0.8455852759976471,0.6535828754578754,0.7640785115011919,0.8168168168168168,0.711340206185567,0.8392077644654964,0.47453067765567764,0.7684282220364695,0.7327327327327328,0.8041237113402062,0.15239591516103693,0.03809897879025923,0.5231736056559309,0.1307934014139827,0.5106048703849175,0.14549878576707848,0.5121759622937941,0.14587796631592254,0.5137470542026709,0.14557501013299878,0.6072270227808326,0.2784636241481908,0.6402199528672428,0.36067349868577425,0.6300078554595444,0.3413657926157216,0.00314218381775333,7.622436592030768e-05,0.0015710919088767206,-0.0003029561829237526,DEFINED,0.0021660674390548934,0.32929782082324455
