group,score,targets,winner_targets,mean_score,auroc,auprc,positive,negative,prevalence,image_auroc,image_auprc,auc_images,accuracy,balanced_accuracy,macro_f1,deep_win_recall,shallow_win_recall,zero_ties
all,old,2479143,497629,-0.12428558690376834,0.638179880685981,0.7650992606483913,314730,182899,0.6324591211525051,0.7348502223175151,0.8225452506474318,3180,0.5059351444550056,0.5939727493091467,0.49033270372997595,0.261652845295968,0.9262926533223255,0
all,dsrc,2479143,497629,0.06104788681359389,0.8248006396068805,0.8751856621897853,314730,182899,0.6324591211525051,0.7925693954480826,0.8258901492382315,3180,0.7659923356556793,0.7248869201739061,0.7339168835903738,0.8800495662949195,0.5697242740528926,0
hard_disagreement,old,587701,497629,-0.2221340212534023,0.638179880685981,0.7650992606483913,314730,182899,0.6324591211525051,0.7348502223175151,0.8225452506474318,3180,0.5059351444550056,0.5939727493091467,0.49033270372997595,0.261652845295968,0.9262926533223255,0
hard_disagreement,dsrc,587701,497629,0.16256792683728907,0.8248006396068805,0.8751856621897853,314730,182899,0.6324591211525051,0.7925693954480826,0.8258901492382315,3180,0.7659923356556793,0.7248869201739061,0.7339168835903738,0.8800495662949195,0.5697242740528926,0
adjudication,old,497629,497629,-0.213590389170993,0.638179880685981,0.7650992606483913,314730,182899,0.6324591211525051,0.7348502223175151,0.8225452506474318,3180,0.5059351444550056,0.5939727493091467,0.49033270372997595,0.261652845295968,0.9262926533223255,0
adjudication,dsrc,497629,497629,0.18006264369600747,0.8248006396068805,0.8751856621897853,314730,182899,0.6324591211525051,0.7925693954480826,0.8258901492382315,3180,0.7659923356556793,0.7248869201739061,0.7339168835903738,0.8800495662949195,0.5697242740528926,0
Deep_Win,old,314730,314730,-0.1700069029558259,nan,1.0,314730,0,1.0,nan,1.0,0,0.261652845295968,nan,0.20738893925657298,0.261652845295968,nan,0
Deep_Win,dsrc,314730,314730,0.30176269851592535,nan,1.0,314730,0,1.0,nan,1.0,0,0.8800495662949195,nan,0.46809912997627207,0.8800495662949195,nan,0
Shallow_Win,old,182899,182899,-0.2885882328798134,nan,nan,0,182899,0.0,nan,nan,0,0.9262926533223255,nan,0.4808680818694528,nan,0.9262926533223255,0
Shallow_Win,dsrc,182899,182899,-0.029357081143782555,nan,nan,0,182899,0.0,nan,nan,0,0.5697242740528926,nan,0.36294544428615716,nan,0.5697242740528926,0
Both_Wrong,old,393677,0,-0.18674134131292489,nan,nan,0,0,nan,nan,nan,0,nan,nan,nan,nan,nan,0
