group,score,targets,winner_targets,mean_score,auroc,auprc,positive,negative,prevalence,image_auroc,image_auprc,auc_images,accuracy,balanced_accuracy,macro_f1,deep_win_recall,shallow_win_recall,zero_ties
all,old,2479143,497629,-0.12428558690376834,0.638179880685981,0.7650992606483913,314730,182899,0.6324591211525051,0.7348502223175151,0.8225452506474318,3180,0.5059351444550056,0.5939727493091467,0.49033270372997595,0.261652845295968,0.9262926533223255,0
all,sym,2479143,497629,-0.03161885002188026,0.7882824527758562,0.8472397633735124,314730,182899,0.6324591211525051,0.7848415501407355,0.836047689913525,3180,0.6956748903299446,0.7156265907137409,0.6916485597412247,0.6403139198678233,0.7909392615596587,0
hard_disagreement,old,587701,497629,-0.2221340212534023,0.638179880685981,0.7650992606483913,314730,182899,0.6324591211525051,0.7348502223175151,0.8225452506474318,3180,0.5059351444550056,0.5939727493091467,0.49033270372997595,0.261652845295968,0.9262926533223255,0
hard_disagreement,sym,587701,497629,-0.029783047227614823,0.7882824527758562,0.8472397633735124,314730,182899,0.6324591211525051,0.7848415501407355,0.836047689913525,3180,0.6956748903299446,0.7156265907137409,0.6916485597412247,0.6403139198678233,0.7909392615596587,0
adjudication,old,497629,497629,-0.213590389170993,0.638179880685981,0.7650992606483913,314730,182899,0.6324591211525051,0.7348502223175151,0.8225452506474318,3180,0.5059351444550056,0.5939727493091467,0.49033270372997595,0.261652845295968,0.9262926533223255,0
adjudication,sym,497629,497629,-0.016763872753977116,0.7882824527758562,0.8472397633735124,314730,182899,0.6324591211525051,0.7848415501407355,0.836047689913525,3180,0.6956748903299446,0.7156265907137409,0.6916485597412247,0.6403139198678233,0.7909392615596587,0
Deep_Win,old,314730,314730,-0.1700069029558259,nan,1.0,314730,0,1.0,nan,1.0,0,0.261652845295968,nan,0.20738893925657298,0.261652845295968,nan,0
Deep_Win,sym,314730,314730,0.06587789778654793,nan,1.0,314730,0,1.0,nan,1.0,0,0.6403139198678233,nan,0.3903605962933118,0.6403139198678233,nan,0
Shallow_Win,old,182899,182899,-0.2885882328798134,nan,nan,0,182899,0.0,nan,nan,0,0.9262926533223255,nan,0.4808680818694528,nan,0.9262926533223255,0
Shallow_Win,sym,182899,182899,-0.1589726570678304,nan,nan,0,182899,0.0,nan,nan,0,0.7909392615596587,nan,0.4416337720302478,nan,0.7909392615596587,0
Both_Wrong,old,393677,0,-0.18674134131292489,nan,nan,0,0,nan,nan,nan,0,nan,nan,nan,nan,nan,0
Both_Wrong,sym,393677,0,-0.09602692750080477,nan,nan,0,0,nan,nan,nan,0,nan,nan,nan,nan,nan,0
Both_Correct,old,1587837,0,-0.08081257709484573,nan,nan,0,0,nan,nan,nan,0,nan,nan,nan,nan,nan,0
Both_Correct,sym,1587837,0,-0.020305528040580424,nan,nan,0,0,nan,nan,nan,0,nan,nan,nan,nan,nan,0
