metric,estimate,ci_low,ci_high,resamples,seed
teacher-fixed_miou,0.01965065579621461,0.018105434455128196,0.02129967145576579,10000,42
teacher-fixed_accuracy,0.01129664565537365,0.010715578775861972,0.011901761534709773,10000,42
teacher-vs-rect_NetRepair,-0.032404746317578295,-0.03484685093941433,-0.029959010180147242,10000,42
fixed-vs-rect_NetRepair,-0.04370139197295194,-0.04638116535335284,-0.04099326388442657,10000,42
CCA:all:mean_dm,-0.00028949124476224304,-0.00029918185062763857,-0.000279800314410341,10000,42
CCA:Top20:mean_dm,-0.000680943484421882,-0.000717666661716072,-0.0006445952475499138,10000,42
CCA:class0:mean_dm,-0.0003602749513608061,-0.000374168005590811,-0.0003463570242920847,10000,42
CCA:class1:mean_dm,-0.00025572494177686584,-0.00027212327728374,-0.00023939867541078347,10000,42
CCA:class2:mean_dm,-0.00026686024840313476,-0.0002961827525534927,-0.00023687997623898208,10000,42
CCA:class3:mean_dm,-0.00011309681038796111,-0.00016691291214084126,-5.4766731378317423e-05,10000,42
CCA:all:benefit_rate,0.17961085746163089,0.1731218863566258,0.18613653438406408,10000,42
CCA-U:all:benefit_rate,0.0,0.0,0.0,10000,42
CCA-U:all:mean_dm,-9.472194337747564e-05,-9.942879450603462e-05,-9.006505170511245e-05,10000,42
CCA-U:Top20:mean_dm,-0.00040303916237843785,-0.000427896726163718,-0.0003789360136557692,10000,42
CCA-FA:all:benefit_rate,0.001133859563566926,0.0009817807858561664,0.001289869189872425,10000,42
CCA-FA:all:mean_dm,4.3108582265502735e-05,4.1468081262357876e-05,4.4765812803333525e-05,10000,42
CCA-FA:Top20:mean_dm,0.00017321348610114563,0.00016425728507601651,0.00018247655884345577,10000,42
