draw,teacher-fixed_miou,teacher-fixed_accuracy,teacher-vs-rect_NetRepair,fixed-vs-rect_NetRepair,CCA:all:mean_dm,CCA:Top20:mean_dm,CCA:class0:mean_dm,CCA:class1:mean_dm,CCA:class2:mean_dm,CCA:class3:mean_dm,CCA:all:benefit_rate,CCA-U:all:benefit_rate,CCA-U:all:mean_dm,CCA-U:Top20:mean_dm,CCA-FA:all:benefit_rate,CCA-FA:all:mean_dm,CCA-FA:Top20:mean_dm
0,0.019845890228411323,0.011098703968717876,-0.0313067139660976,-0.04240541793481547,-0.00029059777005409495,-0.000686847135806914,-0.0003614671733413981,-0.0002583923816236442,-0.0002641551513777938,-0.00013502021645116582,0.1784330719771028,0.0,-9.566382785530751e-05,-0.00040184490580516617,0.0011287364198899483,4.3411365009231006e-05,0.00017499445113269306
1,0.019519054269536373,0.011175724084753659,-0.03335689386515879,-0.04453261794991245,-0.00029517338581279044,-0.0007006579631865098,-0.0003682721040644413,-0.0002585031790010538,-0.0002688218232545294,-0.00011839360140127381,0.1755148511670495,0.0,-9.912895645638503e-05,-0.00041939288552258016,0.0012433535204253747,4.41611503385077e-05,0.00017911215992725407
2,0.019186090869329764,0.010966276785926437,-0.03392739704566973,-0.04489367383159617,-0.0002937434642874333,-0.0007033008036093574,-0.00036438329539710367,-0.00026107392379098177,-0.00028843830825326077,-6.188164901802922e-05,0.17811118266240902,0.0,-9.704882774905106e-05,-0.00041914989227202754,0.0012283196546851133,4.295059598112703e-05,0.00017514453139232057
3,0.01965535545768815,0.011329535889945792,-0.03432230287529339,-0.045651838765239185,-0.0002910244391845852,-0.0006860043301372645,-0.0003603750799791442,-0.00026145725488257505,-0.00026685381012440143,-0.00010756387969392114,0.18056976141799128,0.0,-9.324455617336771e-05,-0.00040247719468500704,0.001172159756680244,4.2169059059345104e-05,0.00016721858177093742
4,0.02077945752673227,0.011854541765988741,-0.03252137749150479,-0.04437591925749353,-0.0002895767791100457,-0.0006747789998879954,-0.00035908318334361026,-0.00026173272826652123,-0.00024282412160039627,-0.00012074662772705203,0.1792321347060912,0.0,-9.552005966494382e-05,-0.0004031692687774823,0.0012220926104376934,4.4517555091689445e-05,0.0001791181770885822
5,0.01963881669891454,0.011200286407381441,-0.03283525165266816,-0.044035538060049596,-0.00028571810816728374,-0.0006525346052360391,-0.0003507447964901835,-0.00025852533735522775,-0.00026335260550848657,-0.00011265478851309567,0.18157760313628984,0.0,-9.087754112762969e-05,-0.00038376144288363795,0.0011151503618594385,4.295634492791909e-05,0.00017100920010298558
6,0.020563635875648023,0.011571017655547342,-0.03155699071219424,-0.04312800836774158,-0.0002881876970103774,-0.000687388816032343,-0.0003543185305972223,-0.00025587498826148985,-0.0002710206495720474,-0.00012519117976408825,0.17920348268503783,0.0,-9.598616396739467e-05,-0.000411620924770682,0.0011448342431745766,4.34714564306106e-05,0.00017720298031525186
7,0.021625362784484237,0.011479947461301059,-0.02962513799466555,-0.041105085455966604,-0.0002875355284302302,-0.0006796323729422598,-0.0003478751378214815,-0.0002557631824881847,-0.0002544792137883636,-0.000187744204794396,0.1767008597974198,0.0,-9.487276944336171e-05,-0.00039975353942732245,0.0012075036865728168,4.4037873701089245e-05,0.00017743272954377095
8,0.020911856229980263,0.011566079564707968,-0.03088030559620218,-0.04244638516091015,-0.0002842435434541309,-0.0006744404044813534,-0.0003485528447166136,-0.00025044848491365856,-0.00025930294705956927,-0.0001327782994481509,0.18153377273423058,0.0,-9.411459511394688e-05,-0.0004005329456956883,0.0011656146112982225,4.3603636302588814e-05,0.00017739032624305726
9,0.019369302850491543,0.010782863385833579,-0.033179742403119696,-0.04396260578895327,-0.0002853036517052943,-0.0006664546737058007,-0.00035272096505341505,-0.00024767601000835927,-0.0002715687704692993,-0.00013622158677423528,0.18240916736398477,0.0,-9.086586416316703e-05,-0.000390540674428113,0.001173746204625903,4.2520682235888564e-05,0.0001718192187846805
