stratum,targets,rms,mean_pixel_L2,max_abs,finite
all,2479143,5.060990968200217e-05,0.0005970105998972161,0.008300781,True
Top20,485451,9.768156272671572e-05,0.0017309246930026947,0.008300781,True
Bottom80,1993692,2.935471694316704e-05,0.0003209099131250637,0.006011963,True
Q1,495830,6.37888520688034e-07,3.595559883640355e-06,0.00017547607,True
Q2,495828,5.194333820606388e-06,6.15217219726421e-05,0.0007972717,True
Q3,495829,1.6889579745493864e-05,0.0002651957736111688,0.0015029907,True
Q4,495828,4.353513793439725e-05,0.0007659916835743601,0.003112793,True
Q5,495828,0.00010295084053120798,0.0018887513232904729,0.008300781,True
boundary,201144,5.922881295057574e-05,0.0007818572405082353,0.008300781,True
interior,2277999,4.977722036084025e-05,0.0005806889102568512,0.007873535,True
class0,965133,5.197881023814179e-05,0.0005429061851445915,0.008300781,True
class1,1044692,4.92211610482872e-05,0.0005815167878211329,0.008239746,True
class2,323515,4.940760856617664e-05,0.0006884783180963826,0.004699707,True
class3,145803,5.377695564241584e-05,0.0008632125216384018,0.0055236816,True
Deep-Wrong,576576,8.078200905251999e-05,0.0011795110289543706,0.008300781,True
Shallow-Wrong,708407,7.078701130744093e-05,0.0010923652947541637,0.008300781,True
Both-Wrong,393677,6.0965261830978316e-05,0.0007729276012562125,0.008300781,True
Rect_Correct,2027414,4.724520239724605e-05,0.0005354885669341465,0.0070495605,True
Rect_Wrong,451729,6.355386369369215e-05,0.0008731288719979452,0.008300781,True
