loss,stratum,targets,images,benefit_rate,harm_rate,zero_rate,mean_dm,median_dm,gradient_norm,power
U,class0,965133,2018,0.11782832003464808,0.882171679965352,0.0,-0.00021714741681861977,-0.00010951948934234679,0.00025102863559245403,SUFFICIENT
U,class1,1044692,2676,0.1783444307030206,0.8216555692969794,0.0,-0.00016474018607857464,-0.0001385549403494224,0.00029602642738526185,SUFFICIENT
U,class2,323515,935,0.27926680370307405,0.720733196296926,0.0,-0.0002279604913226574,-0.00012165582302259281,0.00038112498975326247,SUFFICIENT
U,class3,145803,384,0.37652860366384777,0.6234713963361522,0.0,-0.0001881540124790595,-0.00034529584809206426,0.0004976055205023263,SUFFICIENT
FA,class0,965133,2018,0.11691549247616649,0.8830845075238335,0.0,-0.0004015191119530092,-4.0911683754529804e-05,0.0004496204533352346,SUFFICIENT
FA,class1,1044692,2676,0.17635437047474278,0.8236456295252572,0.0,-0.0003183564297305003,-6.0901176766492426e-05,0.0005070209375787762,SUFFICIENT
FA,class2,323515,935,0.2796346382702502,0.7203653617297497,0.0,-0.0002838791299629912,-3.599257252062671e-05,0.0005943899368890694,SUFFICIENT
FA,class3,145803,384,0.37673436074703537,0.6232656392529646,0.0,-8.655251183110809e-05,-0.00021257222397252917,0.0006693017356366051,SUFFICIENT
CCA,class0,965133,2018,0.11782832003464808,0.882171679965352,0.0,-0.0003602749513608065,-4.1307393985334784e-05,0.0004121041337974087,SUFFICIENT
CCA,class1,1044692,2676,0.1783444307030206,0.8216555692969794,0.0,-0.0002557249417768656,-6.079203376430087e-05,0.00045943867050513774,SUFFICIENT
CCA,class2,323515,935,0.27926680370307405,0.720733196296926,0.0,-0.00026686024840313454,-3.7997870094841346e-05,0.0005570011019116919,SUFFICIENT
CCA,class3,145803,384,0.37652860366384777,0.6234713963361522,0.0,-0.00011309681038796113,-0.00023019610671326518,0.0006529906923012359,SUFFICIENT
