stratum,teacher,targets,net_repair_rate,teacher_advantage,mean_kl
Q1,fixed,495830,-0.004376500010084101,-0.018945860278968614,0.15182187629818897
Q1,teacher,495830,-0.0043744831898029565,-0.019005767495451006,0.15241008885520424
Q2,fixed,495828,-0.020567616189485063,-0.0748784293811581,0.5725458439714152
Q2,teacher,495828,-0.020367950176270803,-0.07529817474745942,0.5762143051085061
Q3,fixed,495829,-0.037573437616597656,-0.12897715551928438,0.9571783120819725
Q3,teacher,495829,-0.036417797264782815,-0.129326528515689,0.9582630702591158
Q4,fixed,495828,-0.06086788160410465,-0.17794204663176963,1.2737830462628403
Q4,teacher,495828,-0.0557854739950144,-0.17482942142876387,1.2428559322990251
Q5,fixed,495828,-0.09512169542663988,-0.21492756355890522,1.5617828610934723
Q5,teacher,495828,-0.04507813193284768,-0.19026562001578903,1.3758408285688328
