stratum,teacher,targets,images,repair,harm,net_repair,repair_rate,harm_rate,net_repair_rate,accuracy_difference
all,fixed,2479143,3416,90259,198601,-108342,0.03640733914905272,0.08010873112200466,-0.04370139197295194,-0.043701391972951864
all,teacher,2479143,3416,88290,168626,-80336,0.035613113079802174,0.06801785939738046,-0.032404746317578295,-0.03240474631757828
Top20,fixed,485451,3405,50280,94855,-44575,0.10357379014565837,0.1953956218032304,-0.09182183165757203,-0.09182183165757207
Top20,teacher,485451,3405,48666,72297,-23631,0.10024904676270108,0.14892749216707762,-0.04867844540437655,-0.0486784454043766
Bottom80,fixed,1993692,3415,39979,103746,-63767,0.02005274636202583,0.05203712509254188,-0.031984378730516044,-0.03198437873051596
Bottom80,teacher,1993692,3415,39624,96329,-56705,0.01987468475571954,0.048316891475714406,-0.028442206719994863,-0.028442206719994756
Q1,fixed,495830,3403,679,2849,-2170,0.0013694209708972832,0.0057459209809813845,-0.004376500010084101,-0.004376500010084161
Q1,teacher,495830,3403,678,2847,-2169,0.0013674041506161385,0.005741887340419095,-0.0043744831898029565,-0.004374483189803047
Q2,fixed,495828,3411,4425,14623,-10198,0.008924465742152521,0.029492081931637583,-0.020567616189485063,-0.020567616189485105
Q2,teacher,495828,3411,4419,14518,-10099,0.008912364771654687,0.02928031494792549,-0.020367950176270803,-0.0203679501762708
Q3,fixed,495829,3415,10680,29310,-18630,0.02153968404429753,0.05911312166089519,-0.037573437616597656,-0.037573437616597594
Q3,teacher,495829,3415,10626,28683,-18057,0.021430775529466813,0.05784857279424963,-0.036417797264782815,-0.03641779726478278
Q4,fixed,495828,3413,21286,51466,-30180,0.04293020966948216,0.10379809127358681,-0.06086788160410465,-0.06086788160410461
Q4,teacher,495828,3413,21094,48754,-27660,0.042542978613551476,0.09832845260856587,-0.0557854739950144,-0.055785473995014434
Q5,fixed,495828,3410,53189,100353,-47164,0.10727308663488146,0.20239478206152134,-0.09512169542663988,-0.09512169542663984
Q5,teacher,495828,3410,51473,73824,-22351,0.10381220907250095,0.14889034100534862,-0.04507813193284768,-0.04507813193284771
boundary,fixed,201144,2151,17799,20338,-2539,0.08848884381338742,0.10111164141112834,-0.012622797597740923,-0.012622797597740876
boundary,teacher,201144,2151,17055,18303,-1248,0.08479000119317504,0.09099451139482162,-0.006204510201646581,-0.006204510201646585
interior,fixed,2277999,3416,72460,178263,-105803,0.031808618002027216,0.07825420467699942,-0.0464455866749722,-0.04644558667497223
interior,teacher,2277999,3416,71235,150323,-79088,0.031270865351565126,0.06598905442890889,-0.03471818907734376,-0.03471818907734381
class0,fixed,965133,2018,15844,83627,-67783,0.016416390279888886,0.08664816144510654,-0.07023177116521764,-0.07023177116521762
class0,teacher,965133,2018,15861,72985,-57124,0.01643400443254971,0.07562170187943008,-0.05918769744688038,-0.05918769744688035
class1,fixed,1044692,2676,46618,76031,-29413,0.04462367855789075,0.07277838827137567,-0.02815470971348493,-0.028154709713484882
class1,teacher,1044692,2676,47261,58098,-10837,0.0452391709709656,0.055612563320098174,-0.010373392349132567,-0.010373392349132593
class2,fixed,323515,935,13806,32076,-18270,0.0426749918860022,0.09914841661128541,-0.05647342472528322,-0.05647342472528316
class2,teacher,323515,935,12741,30816,-18075,0.039383027062114585,0.09525369766471416,-0.05587067060259957,-0.05587067060259954
class3,fixed,145803,384,13991,6867,7124,0.09595824502925179,0.04709779634163906,0.04886044868761274,0.048860448687612745
class3,teacher,145803,384,12427,6727,5700,0.08523144242573884,0.04613759662009698,0.03909384580564186,0.03909384580564179
Deep-Wrong,fixed,576576,3318,3484,186962,-183478,0.006042568542568543,0.32426254301254304,-0.31821997446997446,-0.31821997446997446
Deep-Wrong,teacher,576576,3318,3913,160399,-156486,0.006786616161616162,0.2781922938172938,-0.27140567765567764,-0.27140567765567764
Shallow-Wrong,fixed,708407,3407,62241,97962,-35721,0.08786050956582868,0.13828491248674843,-0.05042440292091975,-0.05042440292091971
Shallow-Wrong,teacher,708407,3407,59873,94457,-34584,0.08451779838426215,0.13333719175558684,-0.048819393371324675,-0.04881939337132468
Both-Wrong,fixed,393677,3218,399,86323,-85924,0.0010135212369531367,0.21927366851505167,-0.21826014727809853,-0.21826014727809856
Both-Wrong,teacher,393677,3218,429,86230,-85801,0.0010897258412353274,0.21903743424177688,-0.21794770840054156,-0.21794770840054156
Rect_Correct,fixed,2027414,3414,0,198601,-198601,0.0,0.09795779253768594,-0.09795779253768594,-0.09795779253768588
Rect_Correct,teacher,2027414,3414,0,168626,-168626,0.0,0.08317294839633148,-0.08317294839633148,-0.08317294839633149
Rect_Wrong,fixed,451729,2934,90259,0,90259,0.19980784939643015,0.0,0.19980784939643015,0.19980784939643015
Rect_Wrong,teacher,451729,2934,88290,0,88290,0.19544904135001295,0.0,0.19544904135001295,0.19544904135001295
