stratum,targets,images,accepted,rejected,acceptance_rate,zero_delta
all,2479143,3416,2078128,401015,0.8382445062668834,4
Top20,485451,3405,360148,125303,0.7418833208706955,0
Bottom80,1993692,3415,1717980,275712,0.8617078264847329,4
Q1,495830,3403,481157,14673,0.9704071960147631,4
Q2,495828,3411,451060,44768,0.9097106254588284,0
Q3,495829,3415,412841,82988,0.8326277809486738,0
Q4,495828,3413,371135,124693,0.748515614285599,0
Q5,495828,3410,361935,133893,0.729960792855587,0
Rect_Correct,2027414,3414,1730614,296800,0.8536066141399833,4
Rect_Wrong,451729,2934,347514,104215,0.7692975213014883,0
Teacher-Win,88290,2593,61727,26563,0.6991392003624419,0
Rect-Win,168626,3204,88431,80195,0.5244209078078114,0
class0,965133,2018,804977,160156,0.8340581039089949,0
class1,1044692,2676,873889,170803,0.8365039648049377,4
class2,323515,935,269513,54002,0.8330772916248087,0
class3,145803,384,129749,16054,0.8898925262168816,0
boundary,201144,2151,162471,38673,0.8077347571888797,1
interior,2277999,3416,1915657,362342,0.8409384727561338,3
Corrected_by_CH,305318,3373,192815,112503,0.631521888653797,0
Still_Wrong,378130,2881,301990,76140,0.7986406791315156,0
Harmed_by_CH,69617,2248,43676,25941,0.6273754973641495,0
Stable_Correct,1726078,3414,1539647,186431,0.8919915554221768,4
