stratum,positive,negative,prevalence,auroc,auprc,image_auroc,eligible_images,nonempty_images,excluded_no_dual_label_images,TP,FN,FP,TN,balanced_accuracy,macro_f1,teacher_win_recall,rect_win_recall,correction_precision
all,88290,168626,0.34365317847078425,0.6218126394519216,0.45285350086634923,0.6194651862662568,2547,3250,871,61727,26563,88431,80195,0.5873591462773153,0.5500814030245718,0.6991392003624419,0.47557909219218863,0.4110803287204145
Top20,48666,72297,0.4023213709977431,0.6342224408087195,0.5233603174418139,0.6264327035817867,2366,3107,1052,39169,9497,44812,27485,0.5925107047956147,0.5467996767756742,0.8048534911437143,0.38016791844751513,0.4664031149902954
Bottom80,39624,96329,0.29145366413392865,0.583976585600751,0.35126216786238434,0.5837925255598566,2260,3185,1158,22558,17066,43619,52710,0.5582443385957536,0.5305409954318049,0.5693014334746618,0.5471872437168454,0.3408737174547048
Q1,678,2847,0.19234042553191488,0.5742996043032411,0.22670912728006332,0.5200275187775187,156,1462,3262,233,445,783,2064,0.5343157367948252,0.5229064845128393,0.34365781710914456,0.7249736564805058,0.22933070866141733
Q2,4419,14518,0.2333526957807467,0.5599566983371315,0.2626735573219707,0.5551200776000542,997,2745,2421,1738,2681,4743,9775,0.5333018798428968,0.5218355426190222,0.3933016519574564,0.6733021077283372,0.2681684925165869
Q3,10626,28683,0.27031977409753494,0.5626574980301396,0.3104195991239917,0.5441576389071541,1554,3012,1864,5079,5547,11488,17195,0.5387312790588326,0.5211464509234401,0.4779785431959345,0.5994840149217306,0.30657330838413716
Q4,21094,48754,0.30199862558698887,0.578506938075567,0.35510510531516726,0.5459692698557955,1945,3097,1473,12295,8799,23159,25595,0.5539248657759288,0.5252505055717283,0.5828671660187731,0.5249825655330844,0.3467873864726124
Q5,51473,73824,0.4108079203811743,0.6256453043269427,0.5232555471005604,0.6188386381639497,2372,3110,1046,42382,9091,48258,25566,0.5848466379737712,0.5339000731377994,0.8233831329046296,0.34631014304291285,0.46758605472197706
Rect_Correct,0,168626,0.0,nan,nan,nan,0,3204,3418,0,0,88431,80195,nan,0.3222999666426869,nan,0.47557909219218863,0.0
Rect_Wrong,88290,0,1.0,nan,1.0,nan,0,2593,3418,61727,26563,0,0,nan,0.41146670044061673,0.6991392003624419,nan,1.0
Teacher-Win,88290,0,1.0,nan,1.0,nan,0,2593,3418,61727,26563,0,0,nan,0.41146670044061673,0.6991392003624419,nan,1.0
Rect-Win,0,168626,0.0,nan,nan,nan,0,3204,3418,0,0,88431,80195,nan,0.3222999666426869,nan,0.47557909219218863,0.0
class0,15861,72985,0.17852238705175247,0.5459647863002752,0.20566380365214157,0.5516669348725792,1011,1814,2407,9373,6488,38626,34359,0.530857156202314,0.4486137465738984,0.5909463463842128,0.47076796602041515,0.1952749015604492
class1,47261,58098,0.4485710760352699,0.7231760778143489,0.6841376449023301,0.708263979402462,1589,2402,1829,35101,12160,24752,33346,0.658333319912688,0.6495577530578286,0.7427054019170141,0.5739612379083617,0.5864534776869998
class2,12741,30816,0.29251325848887666,0.3987590860361758,0.23689298926144584,0.40395333916810977,645,860,2773,6813,5928,20568,10248,0.43364245753095276,0.38788676151629253,0.5347303979279492,0.3325545171339564,0.2488221759614331
class3,12427,6727,0.6487939855904772,0.6070076091408163,0.7117677190028946,0.6654745985209054,215,332,3203,10440,1987,4485,2242,0.5866950010508224,0.5863272815263287,0.840106220326708,0.33328378177493684,0.699497487437186
boundary,17055,18303,0.4823519429832004,0.4948441599215576,0.4773501585106267,0.47857266381087027,1626,1910,1792,10364,6691,11294,7009,0.495311859473321,0.4867244056536659,0.6076810319554383,0.38294268699120365,0.4785298734878567
interior,71235,150323,0.32151851885285115,0.6441896456929195,0.45335339177886497,0.6370113117150744,2487,3245,931,51363,19872,77137,73186,0.6039471530222588,0.5578612095859643,0.7210360075805433,0.4868582984639742,0.39971206225680933
Corrected_by_CH,6360,78805,0.07467856513826102,0.790416171355216,0.1787278731415612,0.7966210590417844,1701,3106,1717,5594,766,28370,50435,0.7597786052588209,0.526669950204415,0.8795597484276729,0.6399974620899689,0.16470380402779414
Still_Wrong,53428,7939,0.8706307950527157,0.8067495105181878,0.9649496098447774,0.7770341539103023,1749,2669,1669,43392,10036,3124,4815,0.7093289889725244,0.6454400071762872,0.8121584188066182,0.6064995591384306,0.932840313010577
Harmed_by_CH,23112,3112,0.8813300793166565,0.2910768610503808,0.8349309239474372,0.2779517080223501,958,2006,2460,10025,13087,2619,493,0.2960881893112871,0.30990763152883777,0.43375735548632743,0.15841902313624678,0.7928661815881051
Stable_Correct,5390,78770,0.06404467680608365,0.3476258678480336,0.04436278240744912,0.3424237821203394,1473,3024,1945,2716,2674,54318,24452,0.40715942683696904,0.27441470119498806,0.5038961038961038,0.3104227497778342,0.0476207174667742
