stratum,region,targets,teacher_accuracy,rect_accuracy,accuracy_delta,repair,harm,net_repair,net_repair_rate
all,Accepted,2078128,0.8199254328896006,0.8327754594519683,-0.012850026562367669,61727,88431,-26704,-0.012850026562367669
all,Rejected,401015,0.6063813074323903,0.740121940575789,-0.13374063314339862,26563,80195,-53632,-0.13374063314339862
Top20,Accepted,360148,0.663965925119673,0.6796344836011862,-0.015668558481513155,39169,44812,-5643,-0.015668558481513155
Top20,Rejected,125303,0.5825239619163148,0.726079982123333,-0.1435560202070182,9497,27485,-17988,-0.1435560202070182
Bottom80,Accepted,1717980,0.8526199373683047,0.8648791022014226,-0.012259164833117965,22558,43619,-21061,-0.012259164833117965
Bottom80,Rejected,275712,0.6172237697307336,0.7465035979572887,-0.12927982822655523,17066,52710,-35644,-0.12927982822655523
Q1,Accepted,481157,0.9343831639153125,0.9355262419542894,-0.0011430780389768828,233,783,-550,-0.0011430780389768828
Q1,Rejected,14673,0.42629319157636475,0.5366319089484086,-0.11033871737204388,445,2064,-1619,-0.11033871737204388
Q2,Accepted,451060,0.8831818383363632,0.8898439232031216,-0.006662084866758303,1738,4743,-3005,-0.006662084866758303
Q2,Rejected,44768,0.5233425661186561,0.681803967119371,-0.1584614010007148,2681,9775,-7094,-0.1584614010007148
Q3,Accepted,412841,0.8267420144801509,0.842266150891021,-0.015524136410870044,5079,11488,-6409,-0.015524136410870044
Q3,Rejected,82988,0.6097387574107099,0.7500963994794428,-0.14035764206873283,5547,17195,-11648,-0.14035764206873283
Q4,Accepted,371135,0.7401403801851079,0.7694127473830278,-0.029272367197919893,12295,23159,-10864,-0.029272367197919893
Q4,Rejected,124693,0.6298749729335248,0.7645737932361881,-0.13469882030266334,8799,25595,-16796,-0.13469882030266334
Q5,Accepted,361935,0.6629698702805752,0.6792048295964745,-0.016234959315899265,42382,48258,-5876,-0.016234959315899265
Q5,Rejected,133893,0.6299209069928973,0.7529669213476433,-0.12304601435474595,9091,25566,-16475,-0.12304601435474595
Rect_Correct,Accepted,1730614,0.9489019504060409,1.0,-0.05109804959395914,0,88431,-88431,-0.05109804959395914
Rect_Correct,Rejected,296800,0.7298012129380054,1.0,-0.2701987870619946,0,80195,-80195,-0.2701987870619946
Rect_Wrong,Accepted,347514,0.17762449858135212,0.0,0.17762449858135212,61727,0,61727,0.17762449858135212
Rect_Wrong,Rejected,104215,0.2548865326488509,0.0,0.2548865326488509,26563,0,26563,0.2548865326488509
Teacher-Win,Accepted,61727,1.0,0.0,1.0,61727,0,61727,1.0
Teacher-Win,Rejected,26563,1.0,0.0,1.0,26563,0,26563,1.0
Rect-Win,Accepted,88431,0.0,1.0,-1.0,0,88431,-88431,-1.0
Rect-Win,Rejected,80195,0.0,1.0,-1.0,0,80195,-80195,-1.0
class0,Accepted,804977,0.8554828274596665,0.8918229961849842,-0.03634016872531762,9373,38626,-29253,-0.03634016872531762
class0,Rejected,160156,0.645682959114863,0.8197070356402507,-0.17402407652538773,6488,34359,-27871,-0.17402407652538773
class1,Accepted,873889,0.848114577480664,0.8362721123620963,0.01184246511856769,35101,24752,10349,0.01184246511856769
class1,Rejected,170803,0.6717329320913568,0.7957705660907596,-0.12403763399940282,12160,33346,-21186,-0.12403763399940282
class2,Accepted,269513,0.6812509971689678,0.7322874963359838,-0.05103649916701606,6813,20568,-13755,-0.05103649916701606
class2,Rejected,54002,0.39880004444279843,0.47879708158957074,-0.07999703714677234,5928,10248,-4320,-0.07999703714677234
class3,Accepted,129749,0.6975159731481553,0.6516196656621631,0.04589630748599219,10440,4485,5955,0.04589630748599219
class3,Rejected,16054,0.21726672480378723,0.23315061666874298,-0.015883891864955774,1987,2242,-255,-0.015883891864955774
boundary,Accepted,162471,0.52336724707794,0.5290913455324335,-0.005724098454493417,10364,11294,-930,-0.005724098454493417
boundary,Rejected,38673,0.4471853748092985,0.4554081659038606,-0.008222791094562098,6691,7009,-318,-0.008222791094562098
interior,Accepted,1915657,0.8450771719571928,0.8585315638446758,-0.01345439188748299,51363,77137,-25774,-0.01345439188748299
interior,Rejected,362342,0.6233723940365732,0.7705096290245127,-0.14713723498793957,19872,73186,-53314,-0.14713723498793957
Corrected_by_CH,Accepted,192815,0.8387314264969011,0.9568550164665612,-0.11812358996966003,5594,28370,-22776,-0.11812358996966003
Corrected_by_CH,Rejected,112503,0.4731607157142476,0.914651164857826,-0.4414904491435784,766,50435,-49669,-0.4414904491435784
Still_Wrong,Accepted,301990,0.16435974701149045,0.03101758336368754,0.1333421636478029,43392,3124,40268,0.1333421636478029
Still_Wrong,Rejected,76140,0.16958234830575256,0.10101129498292619,0.06857105332282637,10036,4815,5221,0.06857105332282637
Harmed_by_CH,Accepted,43676,0.2662789632750252,0.09671215312757578,0.1695668101474494,10025,2619,7406,0.1695668101474494
Harmed_by_CH,Rejected,25941,0.6803901160325354,0.1949038202073937,0.4854862958251417,13087,493,12594,0.4854862958251417
Stable_Correct,Accepted,1539647,0.9618600887086456,0.9953755633596533,-0.03351547465100767,2716,54318,-51602,-0.03351547465100767
Stable_Correct,Rejected,186431,0.8548685572678364,0.9716838937730313,-0.11681533650519495,2674,24452,-21778,-0.11681533650519495
