stratum,loss,targets,benefit_rate,harm_rate,zero_rate,mean_dm,median_dm,active_fraction,mean_gradient_norm,accepted_conditional_benefit,accepted_conditional_harm,denominator
all,U,2479143,0.17961085746163089,0.8203891425383691,0.0,-0.0001947693013847676,-0.0001265398459509015,1.0,0.00030146889041860196,0.16959349953419617,0.8304065004658039,"all valid foreground in stratum, including rejected zero gradients"
all,CCA,2479143,0.17961085746163089,0.8203891425383691,0.0,-0.0002894912447622434,-5.164161484572105e-05,1.0,0.0004651258180452705,0.16959349953419617,0.8304065004658039,"all valid foreground in stratum, including rejected zero gradients"
all,HA,2479143,0.14216081928311516,0.6960836869837682,0.16175549373311665,-0.0002345114530127722,-1.2457005141186528e-05,0.8382445062668834,0.0004170846881820066,0.16959349953419617,0.8304065004658039,"all valid foreground in stratum, including rejected zero gradients"
all,SA,2479143,0.14216081928311516,0.6960836869837682,0.16175549373311665,-0.00017945585072907486,-4.7910716602928005e-06,0.8382445062668834,0.000518772918696003,0.16959349953419617,0.8304065004658039,"all valid foreground in stratum, including rejected zero gradients"
Top20,U,485451,0.31244966021287424,0.6875503397871258,0.0,-0.0002779043220434438,-0.0004999082302674651,1.0,0.0005667473836114064,0.3315636904828015,0.6684363095171985,"all valid foreground in stratum, including rejected zero gradients"
Top20,CCA,485451,0.31244966021287424,0.6875503397871258,0.0,-0.0006809434844218814,-0.0007766085909679532,1.0,0.0013461074275563014,0.3315636904828015,0.6684363095171985,"all valid foreground in stratum, including rejected zero gradients"
Top20,HA,485451,0.2459815717755242,0.4959017490951713,0.2581166791293045,-0.0004777687534691819,0.0,0.7418833208706955,0.001191763917203727,0.3315636904828015,0.6684363095171985,"all valid foreground in stratum, including rejected zero gradients"
Top20,SA,485451,0.2459815717755242,0.4959017490951713,0.2581166791293045,-0.0002497189951737137,0.0,0.7418833208706955,0.00164428731650226,0.3315636904828015,0.6684363095171985,"all valid foreground in stratum, including rejected zero gradients"
Bottom80,U,1993692,0.14726547530912498,0.8527345246908751,0.0,-0.00017452646602515587,-0.00010099461360368878,1.0,0.00023687530735815891,0.1356389480669158,0.8643610519330842,"all valid foreground in stratum, including rejected zero gradients"
Bottom80,CCA,1993692,0.14726547530912498,0.8527345246908751,0.0,-0.00019417517728792386,-3.277584619354457e-05,1.0,0.00025061254151171404,0.1356389480669158,0.8643610519330842,"all valid foreground in stratum, including rejected zero gradients"
Bottom80,HA,1993692,0.11688114312541757,0.7448266833593152,0.13829217351526715,-0.00017527988677091294,-1.2770897228620015e-05,0.8617078264847329,0.00022845534803928502,0.1356389480669158,0.8643610519330842,"all valid foreground in stratum, including rejected zero gradients"
Bottom80,SA,1993692,0.11688114312541757,0.7448266833593152,0.13829217351526715,-0.0001623472332827519,-5.010996574128512e-06,0.8617078264847329,0.000244717502950017,0.1356389480669158,0.8643610519330842,"all valid foreground in stratum, including rejected zero gradients"
Q1,U,495830,0.0716273722848557,0.9283726277151443,0.0,-3.2240493500681316e-05,-7.602170626341831e-06,1.0,3.537033074686995e-05,0.0642950222068888,0.9357049777931112,"all valid foreground in stratum, including rejected zero gradients"
Q1,CCA,495830,0.0716273722848557,0.9283726277151443,0.0,-2.7955870297087686e-06,-2.8052292577740445e-07,1.0,2.7947866525315947e-06,0.0642950222068888,0.9357049777931112,"all valid foreground in stratum, including rejected zero gradients"
Q1,HA,495830,0.062392352217493896,0.9080148437972693,0.029592803985236876,-3.529608714844347e-06,-3.823882082087948e-07,0.9704071960147631,3.1950735400508074e-06,0.0642950222068888,0.9357049777931112,"all valid foreground in stratum, including rejected zero gradients"
Q1,SA,495830,0.062392352217493896,0.9080148437972693,0.029592803985236876,-3.1408822218023867e-06,-5.90538817846209e-08,0.9704071960147631,2.923651330407331e-06,0.0642950222068888,0.9357049777931112,"all valid foreground in stratum, including rejected zero gradients"
Q2,U,495828,0.12304871850722428,0.8769512814927757,0.0,-0.00013353214073546856,-8.22508882265538e-05,1.0,0.0001596780648292253,0.10994102780117944,0.8900589721988206,"all valid foreground in stratum, including rejected zero gradients"
Q2,CCA,495828,0.12304871850722428,0.8769512814927757,0.0,-4.4582961206922434e-05,-2.3279095330508426e-05,1.0,4.78917984182337e-05,0.10994102780117944,0.8900589721988206,"all valid foreground in stratum, including rejected zero gradients"
