draw,winner:all:image_auroc,gradient:all:image_auroc,winner:class0:image_auroc,winner:class1:image_auroc,winner:class2:image_auroc,winner:class3:image_auroc,delta-minus-q:image_auroc,HA:all:mean_dm,HA:Top20:mean_dm,HA:class0:mean_dm,HA:class1:mean_dm,HA:class2:mean_dm,HA:class3:mean_dm,HA:Rect_Correct:harm_rate,HA:Rect_Wrong:benefit_rate,HA:all:active_fraction,HA-CCA:all:mean_dm,HA-CCA:all:harm_rate,HA-CCA:Top20:mean_dm,HA-CCA:Top20:harm_rate,HA-CCA:Rect_Correct:mean_dm,HA-CCA:Rect_Correct:harm_rate,HA-CCA:Rect_Wrong:mean_dm,HA-CCA:Rect_Wrong:harm_rate,Accepted:teacher-rect_accuracy_delta,Accepted:NetRepair_rate,Accepted:NetRepair_count,winner:Teacher-Win_recall,winner:Rect-Win_recall,winner:zero-sign_BA
0,0.6242952792152853,0.5255694082023318,0.5631808307886109,0.7070483685845866,0.42871083826544537,0.6598709852950785,0.0021164240188596205,-0.00023434930776758335,-0.00048271466759812416,-0.0002819156969446898,-0.00018192242369320836,-0.0002922890366628837,-0.0001710129982797766,0.8417053846036443,0.7338239448996345,0.8372736984258158,5.624846228651166e-05,-0.12583153608933142,0.00020413246820878995,-0.19155600953353763,6.210812509807381e-05,-0.13208868110221683,2.9770981174838715e-05,-0.09755799131048015,-0.012312570685460593,-0.012312570685460593,-25573.000000000015,0.6956571052661427,0.47592083363485055,0.5857889694504966
1,0.6200513783069991,0.5281019980536644,0.5450332524292307,0.7104140166462128,0.41122126755380034,0.6614011506241331,0.003281071243652215,-0.0002376910460750985,-0.0004926455533851229,-0.0002887338351189288,-0.0001802043255321289,-0.00030775724426585676,-0.0001615865301775883,0.8417452656156618,0.7346967753859192,0.8372042216189298,5.748233973769187e-05,-0.1264051983100673,0.0002080124098013869,-0.19602496263514835,6.423940310952499e-05,-0.13295076768054873,2.631720658003802e-05,-0.09621552421672327,-0.013286502624873362,-0.013286502624873362,-27698.000000000015,0.7006199866895513,0.48014012459471156,0.5903800556421315
2,0.6161553860770795,0.523292231181402,0.5636645640258758,0.701352868912406,0.40647701754372234,0.6257689854109567,0.0028086376162796923,-0.00023868753603374955,-0.000498525096144607,-0.0002862274515123112,-0.00018348575109617543,-0.0003267076713366439,-0.00010853758224990543,0.8430813110078434,0.7311291897748027,0.8376709126253943,5.505592825368375e-05,-0.12483956333034912,0.0002047757074647501,-0.19573745096569473,6.160074625666765e-05,-0.13101767844410023,2.544811664707502e-05,-0.09689066264457184,-0.014287548083094511,-0.014287548083094511,-29718.00000000002,0.6901775836972344,0.4769132195698305,0.5835454016335324
3,0.6207416273855152,0.5200619731822452,0.5455864555129687,0.7147846362337299,0.42306715940977363,0.651819280378768,0.002987802504378959,-0.00023883049738521048,-0.0004949105079875666,-0.00028964371390718014,-0.00018636556517206247,-0.0002979130993996608,-0.00014815803744526695,0.8450961511927242,0.7362411785520407,0.8404429733410136,5.2193941799374815e-05,-0.1224210573347937,0.00019109382214969772,-0.18704066708339148,5.783666299416221e-05,-0.12869732676819245,2.7027300352982913e-05,-0.09442877896434937,-0.01482818984489311,-0.01482818984489311,-30960.00000000002,0.7048017606075464,0.46365139566615016,0.5842265781368483
4,0.6258838776572492,0.5293138156689492,0.5591122365117892,0.707455411796629,0.3904465228952545,0.6542100967427777,0.010364960945103188,-0.000232919787889096,-0.0004700918711563708,-0.0002810181787135319,-0.00018469448838276305,-0.00028042343879118093,-0.0001603691254248873,0.8427717453009564,0.7365861612966637,0.838441547902825,5.6656991220949695e-05,-0.12455403966120607,0.00020468712873162456,-0.1933536690599613,6.312516949072982e-05,-0.13136151412551508,2.751509365807369e-05,-0.09388346825354277,-0.012255836596588148,-0.012255836596588148,-25326.00000000001,0.7033296879726365,0.48358588138970665,0.5934577846811716
5,0.6190114347006384,0.5172422327399584,0.5414503362397336,0.7073236756866187,0.3979342198328742,0.6855053317434217,-0.0029933437176220996,-0.0002323204275763982,-0.0004595229294783577,-0.00027575841710560523,-0.00018144948554840818,-0.0003024732260686084,-0.00015598052720750314,0.8425351495955121,0.7294992997198879,0.8372481185365325,5.339768059088549e-05,-0.12436305199640539,0.0001930116757576813,-0.19023221608583785,6.0357011135213416e-05,-0.13049569961397098,2.258170219453649e-05,-0.09720763305322129,-0.012765951299564308,-0.012765951299564308,-26511.00000000002,0.700568878973787,0.47796532900043254,0.5892671039871098
6,0.6228619203504341,0.5258122712286882,0.5488261726715493,0.7039619962750204,0.3970404194518514,0.6328510348003198,0.013310117957191796,-0.00023126566816523278,-0.00047574990298517185,-0.00027348426053747034,-0.00018022233096788153,-0.0003040006054424045,-0.00016724787728599128,0.8430305926352214,0.7344924008377623,0.8385694939001359,5.692202884514461e-05,-0.12429300331545934,0.00021163891304717115,-0.19452604563096415,6.344545654281663e-05,-0.13063351613859273,2.7541546252534575e-05,-0.0957363402754488,-0.012181137210912737,-0.012181137210912737,-25313.000000000022,0.7010087362744313,0.4772378547523831,0.5891232955134071
7,0.6325887244805294,0.525718374156867,0.5525151112970536,0.7105488549654835,0.39614282496595116,0.6788891906629291,0.015131960236880649,-0.0002303924478387846,-0.0004680792971157126,-0.00027100817133705754,-0.00017622003290060066,-0.0002897548662172859,-0.0002291759932322688,0.8424923002727007,0.7338446002246133,0.8377291517256384,5.714308059144544e-05,-0.12464322839023682,0.00021155307582654734,-0.1924036285869111,6.362854596043643e-05,-0.13132029493239336,2.7181431207220636e-05,-0.09379641705611709,-0.00973198212604973,-0.00973198212604973,-20235.00000000001,0.7013322351946043,0.4904515907894576,0.5958919129920309
8,0.6235751629229831,0.5242115180884075,0.5524304990681255,0.7052551358783495,0.3953771422496667,0.704491391625762,0.008200495898353553,-0.00022960511018650087,-0.00047180969894907126,-0.00027412438077674926,-0.000172947281206052,-0.00030188938084122835,-0.00017853580619046848,0.8435335012928397,0.7365435228463035,0.8384250551405179,5.463843326763003e-05,-0.12346750556453753,0.0002026307055322822,-0.18921252566305816,6.153224414856276e-05,-0.13019120770074386,2.39713756078639e-05,-0.09355717517406498,-0.011963027049524639,-0.011963027049524639,-24834.000000000015,0.7003170955374604,0.47163810812915125,0.5859776018333058
9,0.6103246633179598,0.5165620287704709,0.5357738927922299,0.7129989006271834,0.37774784429085667,0.6502000125328398,0.0007654141684860819,-0.00023116828835613123,-0.0004631409356281707,-0.00027695701327937964,-0.00017052771926993389,-0.0003147125908575658,-0.00017445969354278667,0.8448274330781391,0.7316200835692728,0.8393073490023157,5.413536334916302e-05,-0.12216932746634476,0.00020331373807763002,-0.18963468047393248,5.993791728171015e-05,-0.1282350746931453,2.8582222907454527e-05,-0.0954571430433904,-0.014057043589243614,-0.014057043589243614,-29341.00000000002,0.693741197679004,0.4691773223565131,0.5814592600177586
