stratum,loss,targets,benefit_rate,harm_rate,zero_rate,mean_dm,median_dm,active_fraction,mean_gradient_norm,accepted_conditional_benefit,accepted_conditional_harm,denominator
all,U,2479143,0.17961085746163089,0.8203891425383691,0.0,-0.0001947693013847676,-0.0001265398459509015,1.0,0.00030146889041860196,0.16959349953419617,0.8304065004658039,"all valid foreground in stratum, including rejected zero gradients"
all,CCA,2479143,0.17961085746163089,0.8203891425383691,0.0,-0.0002894912447622434,-5.164161484572105e-05,1.0,0.0004651258180452705,0.16959349953419617,0.8304065004658039,"all valid foreground in stratum, including rejected zero gradients"
all,HA,2479143,0.14216081928311516,0.6960836869837682,0.16175549373311665,-0.0002345114530127722,-1.2457005141186528e-05,0.8382445062668834,0.0004170846881820066,0.16959349953419617,0.8304065004658039,"all valid foreground in stratum, including rejected zero gradients"
all,SA,2479143,0.14216081928311516,0.6960836869837682,0.16175549373311665,-0.00017945585072907486,-4.7910716602928005e-06,0.8382445062668834,0.000518772918696003,0.16959349953419617,0.8304065004658039,"all valid foreground in stratum, including rejected zero gradients"
Top20,U,485451,0.31244966021287424,0.6875503397871258,0.0,-0.0002779043220434438,-0.0004999082302674651,1.0,0.0005667473836114064,0.3315636904828015,0.6684363095171985,"all valid foreground in stratum, including rejected zero gradients"
Top20,CCA,485451,0.31244966021287424,0.6875503397871258,0.0,-0.0006809434844218814,-0.0007766085909679532,1.0,0.0013461074275563014,0.3315636904828015,0.6684363095171985,"all valid foreground in stratum, including rejected zero gradients"
Top20,HA,485451,0.2459815717755242,0.4959017490951713,0.2581166791293045,-0.0004777687534691819,0.0,0.7418833208706955,0.001191763917203727,0.3315636904828015,0.6684363095171985,"all valid foreground in stratum, including rejected zero gradients"
Top20,SA,485451,0.2459815717755242,0.4959017490951713,0.2581166791293045,-0.0002497189951737137,0.0,0.7418833208706955,0.00164428731650226,0.3315636904828015,0.6684363095171985,"all valid foreground in stratum, including rejected zero gradients"
Rect_Correct,U,2027414,0.02610073719526451,0.9738992628047355,0.0,-0.00033599673971437404,-0.00020236271666362882,1.0,0.00027233493788375747,0.012125754212088889,0.9878742457879112,"all valid foreground in stratum, including rejected zero gradients"
Rect_Correct,CCA,2027414,0.02610073719526451,0.9738992628047355,0.0,-0.0005191883939572721,-0.00011968411126872525,1.0,0.0004169018289386873,0.012125754212088889,0.9878742457879112,"all valid foreground in stratum, including rejected zero gradients"
Rect_Correct,HA,2027414,0.010350623996874836,0.8432559901431084,0.14639338586001674,-0.00045783034860944697,-5.356927795219235e-05,0.8536066141399833,0.00036449686708738433,0.012125754212088889,0.9878742457879112,"all valid foreground in stratum, including rejected zero gradients"
Rect_Correct,SA,2027414,0.010350623996874836,0.8432559901431084,0.14639338586001674,-0.0005141575208183848,-2.8192298486828804e-05,0.8536066141399833,0.00039978530002643403,0.012125754212088889,0.9878742457879112,"all valid foreground in stratum, including rejected zero gradients"
Rect_Wrong,U,451729,0.868582712201342,0.13141728779865805,0.0,0.000439076401799178,0.00034743716241791844,1.0,0.0004322255680825956,0.9537802793556519,0.04621972064434814,"all valid foreground in stratum, including rejected zero gradients"
Rect_Wrong,CCA,451729,0.868582712201342,0.13141728779865805,0.0,0.000741417145086737,0.00029649323550984263,1.0,0.0006815608723599903,0.9537802793556519,0.04621972064434814,"all valid foreground in stratum, including rejected zero gradients"
Rect_Wrong,HA,451729,0.7337408047745441,0.035556716526944254,0.2307024786985117,0.000767770568724235,0.00014637944696005434,0.7692975213014883,0.0006531051445103202,0.9537802793556519,0.04621972064434814,"all valid foreground in stratum, including rejected zero gradients"
Rect_Wrong,SA,451729,0.7337408047745441,0.035556716526944254,0.2307024786985117,0.0013227254388548306,7.6209609687794e-05,0.7692975213014883,0.0010528036404724322,0.9537802793556519,0.04621972064434814,"all valid foreground in stratum, including rejected zero gradients"
class0,U,965133,0.11782832003464808,0.882171679965352,0.0,-0.00021714741681861977,-0.00010951948934234679,1.0,0.00025102863559245403,0.10787140502150994,0.8921285949784901,"all valid foreground in stratum, including rejected zero gradients"
class0,CCA,965133,0.11782832003464808,0.882171679965352,0.0,-0.0003602749513608065,-4.1307393985334784e-05,1.0,0.0004121041337974087,0.10787140502150994,0.8921285949784901,"all valid foreground in stratum, including rejected zero gradients"
