stratum,positive,negative,prevalence,auroc,auprc,image_auroc,eligible_images,nonempty_images,excluded_no_dual_label_images,zero_dm
all,445281,2033862,0.17961085746163089,0.5852182054306015,0.2777972279151705,0.52368436400221,2889,3416,529,0
Top20,151679,333772,0.31244966021287424,0.5558877937476981,0.39354427494024613,0.5741199574852758,2794,3405,624,0
Bottom80,293602,1700090,0.14726547530912498,0.5823326828262693,0.22678611848554167,0.4916829079532234,2706,3415,712,0
Q1,35515,460315,0.0716273722848557,0.5929162947685459,0.1241935069580137,0.527528105477483,2315,3403,1103,0
Q2,61011,434817,0.12304871850722428,0.5877456563945164,0.19110131801218166,0.48108301505250883,2477,3411,941,0
Q3,83403,412426,0.1682092011560437,0.5558638132706293,0.23024401871507175,0.46945773185808237,2506,3415,912,0
Q4,113019,382809,0.22793993078244876,0.5439335049598337,0.2808818396574385,0.480064694920857,2554,3413,864,0
Q5,152333,343495,0.30722952314108926,0.5699592780402061,0.39707058485212926,0.58326590021648,2808,3410,610,0
Rect_Correct,52917,1974497,0.02610073719526451,0.23237312523864223,0.015360808342195227,0.23844145777678774,2651,3414,767,0
Rect_Wrong,392364,59365,0.868582712201342,0.860926462978564,0.9763871438707805,0.869707720145725,2594,2934,824,0
Teacher-Win,88290,0,1.0,nan,1.0,nan,0,2593,3418,0
Rect-Win,672,167954,0.003985150569900253,0.4435627339430241,0.003197629136670146,0.34341608709828975,374,3204,3044,0
class0,113720,851413,0.11782832003464808,0.5852110058413793,0.18203082995136963,0.501800485470185,1483,2018,1935,0
class1,186315,858377,0.1783444307030206,0.6476916039547472,0.4238729636439145,0.5693764874546571,2080,2676,1338,0
class2,90347,233168,0.27926680370307405,0.40589002608686015,0.23163280515128282,0.39151589449101243,829,935,2589,0
class3,54899,90904,0.37652860366384777,0.35354699411792717,0.340681709791132,0.4779208846855341,333,384,3085,0
boundary,98149,102995,0.4879539036710019,0.4921991486464163,0.4936638771098057,0.48488090055456423,2102,2151,1316,0
interior,347132,1930867,0.15238461474302667,0.5942516397674303,0.2570157962103843,0.5187671575343504,2860,3416,558,0
Corrected_by_CH,18705,286613,0.06126399360666584,0.5322649702926938,0.0670723272608817,0.6080060189562811,2384,3373,1034,0
Still_Wrong,325575,52555,0.8610134080871658,0.8642831243301436,0.9725777420411009,0.8772849674175993,2524,2881,894,0
Harmed_by_CH,62083,7534,0.8917793067785167,0.4461381981675447,0.8949308778451142,0.440575004999106,1509,2248,1909,0
Stable_Correct,38918,1687160,0.022547069135925493,0.20204854542940537,0.013019328771226127,0.16819198510102407,2180,3414,1238,0
