stratum,loss,targets,benefit_rate,harm_rate,zero_rate,mean_dm,median_dm,active_fraction,mean_gradient_norm,accepted_conditional_benefit,accepted_conditional_harm,denominator
all,HA,2479143,0.14216081928311516,0.6960836869837682,0.16175549373311665,-0.0002345114530127722,-1.2457005141186528e-05,0.8382445062668834,0.0004170846881820066,0.16959349953419617,0.8304065004658039,"all valid foreground in stratum, including rejected zero gradients"
Top20,HA,485451,0.2459815717755242,0.4959017490951713,0.2581166791293045,-0.0004777687534691819,0.0,0.7418833208706955,0.001191763917203727,0.3315636904828015,0.6684363095171985,"all valid foreground in stratum, including rejected zero gradients"
Bottom80,HA,1993692,0.11688114312541757,0.7448266833593152,0.13829217351526715,-0.00017527988677091294,-1.2770897228620015e-05,0.8617078264847329,0.00022845534803928502,0.1356389480669158,0.8643610519330842,"all valid foreground in stratum, including rejected zero gradients"
Q1,HA,495830,0.062392352217493896,0.9080148437972693,0.029592803985236876,-3.529608714844347e-06,-3.823882082087948e-07,0.9704071960147631,3.1950735400508074e-06,0.0642950222068888,0.9357049777931112,"all valid foreground in stratum, including rejected zero gradients"
Q2,HA,495828,0.1000145211645974,0.8096961042942311,0.09028937454117153,-5.484996731056676e-05,-2.9134655051166192e-05,0.9097106254588284,5.305351830460029e-05,0.10994102780117944,0.8900589721988206,"all valid foreground in stratum, including rejected zero gradients"
Q3,HA,495829,0.1315675363885533,0.7010602445601205,0.16737221905132615,-0.00019441782483007754,-0.00015042372979223728,0.8326277809486738,0.00020944461926138372,0.15801482895351965,0.8419851710464804,"all valid foreground in stratum, including rejected zero gradients"
Q4,HA,495828,0.17395951822002792,0.5745560960655711,0.25148438571440096,-0.0003872430672728143,-0.0003186551039107144,0.748515614285599,0.0005232248832765251,0.23240599781750576,0.7675940021824943,"all valid foreground in stratum, including rejected zero gradients"
Q5,HA,495828,0.2428705115483595,0.4870902813072275,0.270039207144413,-0.0005325178094990216,0.0,0.729960792855587,0.0012965074347905366,0.3327172006023181,0.6672827993976819,"all valid foreground in stratum, including rejected zero gradients"
Rect_Correct,HA,2027414,0.010350623996874836,0.8432559901431084,0.14639338586001674,-0.00045783034860944697,-5.356927795219235e-05,0.8536066141399833,0.00036449686708738433,0.012125754212088889,0.9878742457879112,"all valid foreground in stratum, including rejected zero gradients"
Rect_Wrong,HA,451729,0.7337408047745441,0.035556716526944254,0.2307024786985117,0.000767770568724235,0.00014637944696005434,0.7692975213014883,0.0006531051445103202,0.9537802793556519,0.04621972064434814,"all valid foreground in stratum, including rejected zero gradients"
Teacher-Win,HA,88290,0.6991392003624419,0.0,0.3008607996375581,0.0019954531297618106,0.0013947931583970785,0.6991392003624419,0.0014424590097627127,1.0,0.0,"all valid foreground in stratum, including rejected zero gradients"
Rect-Win,HA,168626,0.0016011765682634944,0.5228197312395478,0.47557909219218863,-0.0014212650070811413,-0.0002485478180460632,0.5244209078078114,0.0010682095527015712,0.0030532279404281303,0.9969467720595718,"all valid foreground in stratum, including rejected zero gradients"
class0,HA,965133,0.08997101953823981,0.7440870843707551,0.16594189609100507,-0.00028442744639912287,-1.1388015991542488e-05,0.8340581039089949,0.0003522705714689784,0.10787140502150994,0.8921285949784901,"all valid foreground in stratum, including rejected zero gradients"
class1,HA,1044692,0.14391035826827428,0.6925936065366635,0.16349603519506228,-0.00017822393302175792,-1.4457147699431516e-05,0.8365039648049377,0.00040961630745185875,0.17203786750948918,0.8279621324905108,"all valid foreground in stratum, including rejected zero gradients"
class2,HA,323515,0.2144320974297946,0.6186451941950142,0.16692270837519127,-0.00030343972656369806,-4.453890142031014e-06,0.8330772916248087,0.0005355671974678885,0.25739760234200204,0.742602397657998,"all valid foreground in stratum, including rejected zero gradients"
class3,HA,145803,0.3147328930131753,0.5751596332037063,0.11010747378311832,-0.00015445973234636752,-0.00017722888151183724,0.8898925262168816,0.0006367340199221824,0.353675172833702,0.646324827166298,"all valid foreground in stratum, including rejected zero gradients"
boundary,HA,201144,0.3807322117487969,0.4270025454400827,0.1922652428111204,1.84266668432488e-06,0.0,0.8077347571888797,0.0005819706921100939,0.47135796542152136,0.5286420345784786,"all valid foreground in stratum, including rejected zero gradients"
interior,HA,2277999,0.12109531215773141,0.7198431605984024,0.1590615272438662,-0.0002553811781761078,-1.6159734514076263e-05,0.8409384727561338,0.0004025254937424519,0.14400020462953442,0.8559997953704656,"all valid foreground in stratum, including rejected zero gradients"
Corrected_by_CH,HA,305318,0.048398718712948464,0.5831231699408486,0.36847811134620295,-0.0007651089039090578,-0.0004890216514468193,0.631521888653797,0.0007115642063230117,0.07663822835360319,0.9233617716463968,"all valid foreground in stratum, including rejected zero gradients"
Still_Wrong,HA,378130,0.7581678258799883,0.040472853251527253,0.20135932086848438,0.0007159788687465785,0.0001270400534849614,0.7986406791315156,0.0006362082181901635,0.9493228252591145,0.05067717474088546,"all valid foreground in stratum, including rejected zero gradients"
Harmed_by_CH,HA,69617,0.5391930132007987,0.08818248416335091,0.37262450263585045,0.0006816894549046499,0.0001822678605094552,0.6273754973641495,0.0006966160756627583,0.8594422566169063,0.14055774338309368,"all valid foreground in stratum, including rejected zero gradients"
Stable_Correct,HA,1726078,0.0077847003437851595,0.8842068550783916,0.10800844457782326,-0.0003858320256987104,-4.46727717644535e-05,0.8919915554221768,0.000305718217765254,0.008727325159598271,0.9912726748404017,"all valid foreground in stratum, including rejected zero gradients"
