quintile,acceptance,targets,accuracy_delta,net_repair,net_repair_rate,CCA_mean_dm,HA_mean_dm
Q1,Accept,481157,-0.0011430780389768828,-550,-0.0011430780389768828,-2.1934065423000918e-06,-3.63724499296752e-06
Q1,Reject,14673,-0.11033871737204388,-1619,-0.11033871737204388,-2.2542288916173428e-05,0.0
Q2,Accept,451060,-0.006662084866758303,-3005,-0.006662084866758303,-3.720485552098327e-05,-6.0293862438841155e-05
Q2,Reject,44768,-0.1584614010007148,-7094,-0.1584614010007148,-0.00011892106768252362,0.0
Q3,Accept,412841,-0.015524136410870044,-6409,-0.015524136410870044,-0.00015219970539516003,-0.0002334990847994083
Q3,Reject,82988,-0.14035764206873283,-11648,-0.14035764206873283,-0.00030653677577651366,0.0
Q4,Accept,371135,-0.029272367197919893,-10864,-0.029272367197919893,-0.0003634467870555642,-0.0005173480150342731
Q4,Reject,124693,-0.13469882030266334,-16796,-0.13469882030266334,-0.0007086999517922602,0.0
Q5,Accept,361935,-0.016234959315899265,-5876,-0.016234959315899265,-0.0005636062677302113,-0.0007295156324983238
Q5,Reject,133893,-0.12304601435474595,-16475,-0.12304601435474595,-0.0013344898028316505,0.0
