stratum,loss,targets,benefit_rate,harm_rate,zero_rate,mean_dm,median_dm,active_fraction,mean_gradient_norm,accepted_conditional_benefit,accepted_conditional_harm,denominator
all,SA,2479143,0.14216081928311516,0.6960836869837682,0.16175549373311665,-0.00017945585072907486,-4.7910716602928005e-06,0.8382445062668834,0.000518772918696003,0.16959349953419617,0.8304065004658039,"all valid foreground in stratum, including rejected zero gradients"
Top20,SA,485451,0.2459815717755242,0.4959017490951713,0.2581166791293045,-0.0002497189951737137,0.0,0.7418833208706955,0.00164428731650226,0.3315636904828015,0.6684363095171985,"all valid foreground in stratum, including rejected zero gradients"
Bottom80,SA,1993692,0.11688114312541757,0.7448266833593152,0.13829217351526715,-0.0001623472332827519,-5.010996574128512e-06,0.8617078264847329,0.000244717502950017,0.1356389480669158,0.8643610519330842,"all valid foreground in stratum, including rejected zero gradients"
Q1,SA,495830,0.062392352217493896,0.9080148437972693,0.029592803985236876,-3.1408822218023867e-06,-5.90538817846209e-08,0.9704071960147631,2.923651330407331e-06,0.0642950222068888,0.9357049777931112,"all valid foreground in stratum, including rejected zero gradients"
Q2,SA,495828,0.1000145211645974,0.8096961042942311,0.09028937454117153,-5.558991854810426e-05,-1.3995517292642035e-05,0.9097106254588284,5.463945986094229e-05,0.10994102780117944,0.8900589721988206,"all valid foreground in stratum, including rejected zero gradients"
Q3,SA,495829,0.1315675363885533,0.7010602445601205,0.16737221905132615,-0.00019256906693086083,-8.651264943182468e-05,0.8326277809486738,0.00021409995360551542,0.15801482895351965,0.8419851710464804,"all valid foreground in stratum, including rejected zero gradients"
Q4,SA,495828,0.17395951822002792,0.5745560960655711,0.25148438571440096,-0.0003591251672905714,-0.00011912973423022777,0.748515614285599,0.0005180974764215905,0.23240599781750576,0.7675940021824943,"all valid foreground in stratum, including rejected zero gradients"
Q5,SA,495828,0.2428705115483595,0.4870902813072275,0.270039207144413,-0.00028685490340100566,0.0,0.729960792855587,0.0018041067474935737,0.3327172006023181,0.6672827993976819,"all valid foreground in stratum, including rejected zero gradients"
Rect_Correct,SA,2027414,0.010350623996874836,0.8432559901431084,0.14639338586001674,-0.0005141575208183848,-2.8192298486828804e-05,0.8536066141399833,0.00039978530002643403,0.012125754212088889,0.9878742457879112,"all valid foreground in stratum, including rejected zero gradients"
Rect_Wrong,SA,451729,0.7337408047745441,0.035556716526944254,0.2307024786985117,0.0013227254388548306,7.6209609687794e-05,0.7692975213014883,0.0010528036404724322,0.9537802793556519,0.04621972064434814,"all valid foreground in stratum, including rejected zero gradients"
Teacher-Win,SA,88290,0.6991392003624419,0.0,0.3008607996375581,0.004339711051666354,0.0008342696237377822,0.6991392003624419,0.003097445654791852,1.0,0.0,"all valid foreground in stratum, including rejected zero gradients"
Rect-Win,SA,168626,0.0016011765682634944,0.5228197312395478,0.47557909219218863,-0.0020804706191448223,-5.711026460630819e-05,0.5244209078078114,0.0015303661847336915,0.0030532279404281303,0.9969467720595718,"all valid foreground in stratum, including rejected zero gradients"
class0,SA,965133,0.08997101953823981,0.7440870843707551,0.16594189609100507,-0.0003009788918093433,-4.045465175295249e-06,0.8340581039089949,0.00044108019804806856,0.10787140502150994,0.8921285949784901,"all valid foreground in stratum, including rejected zero gradients"
class1,SA,1044692,0.14391035826827428,0.6925936065366635,0.16349603519506228,-1.2799847154523891e-05,-5.8451832956052385e-06,0.8365039648049377,0.0005076282270307375,0.17203786750948918,0.8279621324905108,"all valid foreground in stratum, including rejected zero gradients"
class2,SA,323515,0.2144320974297946,0.6186451941950142,0.16692270837519127,-0.00039430450763192033,-1.7355436057187035e-06,0.8330772916248087,0.0006825223107090295,0.25739760234200204,0.742602397657998,"all valid foreground in stratum, including rejected zero gradients"
class3,SA,145803,0.3147328930131753,0.5751596332037063,0.11010747378311832,-9.243112038373332e-05,-9.540355677017942e-05,0.8898925262168816,0.0007495719710143901,0.353675172833702,0.646324827166298,"all valid foreground in stratum, including rejected zero gradients"
boundary,SA,201144,0.3807322117487969,0.4270025454400827,0.1922652428111204,-2.3784819836521484e-05,0.0,0.8077347571888797,0.0007830054778004698,0.47135796542152136,0.5286420345784786,"all valid foreground in stratum, including rejected zero gradients"
interior,SA,2277999,0.12109531215773141,0.7198431605984024,0.1590615272438662,-0.00019320137644609746,-6.594106707780156e-06,0.8409384727561338,0.0004954415678619992,0.14400020462953442,0.8559997953704656,"all valid foreground in stratum, including rejected zero gradients"
Corrected_by_CH,SA,305318,0.048398718712948464,0.5831231699408486,0.36847811134620295,-0.0005937939580542205,-0.00017128609761130065,0.631521888653797,0.0006959715332393638,0.07663822835360319,0.9233617716463968,"all valid foreground in stratum, including rejected zero gradients"
Still_Wrong,SA,378130,0.7581678258799883,0.040472853251527253,0.20135932086848438,0.0013040894573665555,6.917232531122863e-05,0.7986406791315156,0.0010640619707493217,0.9493228252591145,0.05067717474088546,"all valid foreground in stratum, including rejected zero gradients"
Harmed_by_CH,SA,69617,0.5391930132007987,0.08818248416335091,0.37262450263585045,0.0006453705720018292,3.3255993912462145e-05,0.6273754973641495,0.0007329528548644175,0.8594422566169063,0.14055774338309368,"all valid foreground in stratum, including rejected zero gradients"
Stable_Correct,SA,1726078,0.0077847003437851595,0.8842068550783916,0.10800844457782326,-0.0004644314116070649,-2.3465319827664644e-05,0.8919915554221768,0.00035933479338283165,0.008727325159598271,0.9912726748404017,"all valid foreground in stratum, including rejected zero gradients"
