stratum,Teacher_Win,Rect_Win,accepted_Teacher_Win,accepted_Rect_Win,correction_precision,correction_recall,rect_protection_rate
all,88290,168626,61727,88431,0.4110803287204145,0.6991392003624419,0.47557909219218863
Top20,48666,72297,39169,44812,0.4664031149902954,0.8048534911437143,0.38016791844751513
Bottom80,39624,96329,22558,43619,0.3408737174547048,0.5693014334746618,0.5471872437168454
Q1,678,2847,233,783,0.22933070866141733,0.34365781710914456,0.7249736564805058
Q2,4419,14518,1738,4743,0.2681684925165869,0.3933016519574564,0.6733021077283372
Q3,10626,28683,5079,11488,0.30657330838413716,0.4779785431959345,0.5994840149217306
Q4,21094,48754,12295,23159,0.3467873864726124,0.5828671660187731,0.5249825655330844
Q5,51473,73824,42382,48258,0.46758605472197706,0.8233831329046296,0.34631014304291285
Rect_Correct,0,168626,0,88431,0.0,nan,0.47557909219218863
Rect_Wrong,88290,0,61727,0,1.0,0.6991392003624419,nan
Teacher-Win,88290,0,61727,0,1.0,0.6991392003624419,nan
Rect-Win,0,168626,0,88431,0.0,nan,0.47557909219218863
class0,15861,72985,9373,38626,0.1952749015604492,0.5909463463842128,0.47076796602041515
class1,47261,58098,35101,24752,0.5864534776869998,0.7427054019170141,0.5739612379083617
class2,12741,30816,6813,20568,0.2488221759614331,0.5347303979279492,0.3325545171339564
class3,12427,6727,10440,4485,0.699497487437186,0.840106220326708,0.33328378177493684
boundary,17055,18303,10364,11294,0.4785298734878567,0.6076810319554383,0.38294268699120365
interior,71235,150323,51363,77137,0.39971206225680933,0.7210360075805433,0.4868582984639742
Corrected_by_CH,6360,78805,5594,28370,0.16470380402779414,0.8795597484276729,0.6399974620899689
Still_Wrong,53428,7939,43392,3124,0.932840313010577,0.8121584188066182,0.6064995591384306
Harmed_by_CH,23112,3112,10025,2619,0.7928661815881051,0.43375735548632743,0.15841902313624678
Stable_Correct,5390,78770,2716,54318,0.0476207174667742,0.5038961038961038,0.3104227497778342
