stratum,loss,targets,dQ_mean,dQ_median,dQ_positive_fraction,dQ_negative_fraction,dQ_zero_fraction,CosCollapse_mean,CosCollapse_median,CosCollapse_positive_fraction,CosCollapse_negative_fraction,CosCollapse_zero_fraction
all,Uraw,2479143,-4.506064766042228e-05,-2.124175269245102e-05,1.3311051439953242e-05,0.99998668894856,0.0,-0.9385463946593495,-0.9987818911062588,1.3311051439953242e-05,0.99998668894856,0.0
all,FAraw,2479143,-9.167458207034119e-05,-1.4426983880866992e-05,1.3311051439953242e-05,0.99998668894856,0.0,-0.8707915812804489,-0.997987609009031,1.3311051439953242e-05,0.99998668894856,0.0
all,PRG,2479143,-8.88723487406106e-05,-1.3896910546030814e-05,1.3311051439953242e-05,0.99998668894856,0.0,-0.8704542957773083,-0.9979349524608693,1.3311051439953242e-05,0.99998668894856,0.0
Top20,Uraw,485451,-0.00011946192433692238,-0.00011947628197576758,2.471928165767503e-05,0.9999752807183423,0.0,-0.9951958108975563,-0.9998963090172357,2.471928165767503e-05,0.9999752807183423,0.0
Top20,FAraw,485451,-0.0003011299402079513,-0.00025861264978498284,2.471928165767503e-05,0.9999752807183423,0.0,-0.9947981542073344,-0.9999430950277628,2.471928165767503e-05,0.9999752807183423,0.0
Top20,PRG,485451,-0.0002904593008227734,-0.0002300188547723756,2.471928165767503e-05,0.9999752807183423,0.0,-0.9947918227106968,-0.9999383168876982,2.471928165767503e-05,0.9999752807183423,0.0
Bottom80,Uraw,1993692,-2.694442200275619e-05,-1.0529673229383738e-05,1.0533221781498847e-05,0.9999894667782185,0.0,-0.9247526312484251,-0.9979067057397374,1.0533221781498847e-05,0.9999894667782185,0.0
Bottom80,FAraw,1993692,-4.0673568341409744e-05,-4.897275296840004e-06,1.0533221781498847e-05,0.9999894667782185,0.0,-0.8405967894901792,-0.9955599442261989,1.0533221781498847e-05,0.9999894667782185,0.0
Bottom80,PRG,1993692,-3.978724057182728e-05,-4.746140990483352e-06,1.0533221781498847e-05,0.9999894667782185,0.0,-0.8401789188447928,-0.9954515089104905,1.0533221781498847e-05,0.9999894667782185,0.0
Q1,Uraw,495830,-2.9714606185270345e-07,-9.40775088094245e-08,4.033640562289494e-06,0.9999959663594377,0.0,-0.7145570634435597,-0.9011762917722612,4.033640562289494e-06,0.9999959663594377,0.0
