stratum,loss,targets,benefit_rate,harm_rate,zero_rate,mean_dm,median_dm,mean_gradient_norm,active_fraction
all,Uraw,2479143,0.7892796018624177,0.21071757458121618,2.8235563660506876e-06,0.00015930120470789152,0.00010033665239461698,0.00023664387053681964,1.0
all,FAraw,2479143,0.7892804085928081,0.21071757458121618,2.0168259757504913e-06,0.00024316087282431347,3.636663677752949e-05,0.0004419268740191984,1.0
all,PRG,2479143,0.7892796018624177,0.21071757458121618,2.8235563660506876e-06,0.0002836482570285138,3.537180236889981e-05,0.00042861920926330036,1.0
Top20,Uraw,485451,0.7196771661815508,0.2803125341177585,1.0299700690697928e-05,0.0003645282297995788,0.0005396332562668249,0.0005462564211249593,1.0
Top20,FAraw,485451,0.719681286061827,0.2803125341177585,6.179820414418757e-06,0.0007180434858925114,0.0008369377464987338,0.001413690527780336,1.0
Top20,PRG,485451,0.7196771661815508,0.2803125341177585,1.0299700690697928e-05,0.0008769221800709902,0.0007884535589255393,0.001367337631551031,1.0
Bottom80,Uraw,1993692,0.80622734103362,0.19377165580240077,1.0031639791903665e-06,0.00010932976250027627,7.759971413179301e-05,0.00016125523362822843,1.0
Bottom80,FAraw,1993692,0.80622734103362,0.19377165580240077,1.0031639791903665e-06,0.00012753005352194886,2.0543981918308418e-05,0.00020530876175210938,1.0
Bottom80,PRG,1993692,0.80622734103362,0.19377165580240077,1.0031639791903665e-06,0.0001391899258445129,2.0101383825021912e-05,0.00020004739535322733,1.0
Q1,Uraw,495830,0.8918802815481113,0.10811971845188875,0.0,1.2629131842722416e-05,1.0743564189397148e-05,1.4776469386209077e-05,1.0
Q1,FAraw,495830,0.8918802815481113,0.10811971845188875,0.0,1.3132358558162434e-06,3.9719547828553914e-07,1.4121472068443167e-06,1.0
Q1,PRG,495830,0.8918802815481113,0.10811971845188875,0.0,1.3038903736088585e-06,3.94443958384727e-07,1.3984102699443478e-06,1.0
Q2,Uraw,495828,0.8200242826141323,0.17997370055745138,2.0168284163056544e-06,5.9222958950833356e-05,7.704191557422746e-05,7.85226685554624e-05,1.0
Q2,FAraw,495828,0.8200242826141323,0.17997370055745138,2.0168284163056544e-06,2.2488033187970715e-05,1.9774715383391595e-05,2.6879318690531245e-05,1.0
Q2,PRG,495828,0.8200242826141323,0.17997370055745138,2.0168284163056544e-06,2.237663789653722e-05,1.9344765632922645e-05,2.6406637213405215e-05,1.0
Q3,Uraw,495829,0.777574526701746,0.22242547329825405,0.0,0.00012794734828069825,0.00019431212422205135,0.00018153997125069457,1.0
Q3,FAraw,495829,0.777574526701746,0.22242547329825405,0.0,0.00010755273001697195,0.00012209525448270142,0.0001402382873456453,1.0
Q3,PRG,495829,0.777574526701746,0.22242547329825405,0.0,0.00010893025119951772,0.00011846072084154002,0.00013708798072595507,1.0
Q4,Uraw,495828,0.7292145663415539,0.2707854336584461,0.0,0.00020917390686208637,0.00036559049476636574,0.0003297559467710616,1.0
Q4,FAraw,495828,0.7292145663415539,0.2707854336584461,0.0,0.0003036948577977138,0.0004079285281477496,0.00047992375400278305,1.0
Q4,PRG,495828,0.7292145663415539,0.2707854336584461,0.0,0.0003249461814519608,0.00039488245238317177,0.00046686407560461187,1.0
Q5,Uraw,495828,0.727703961857741,0.2722839371717612,1.2100970497833926e-05,0.0003875333324632748,0.0006130557012511417,0.0005786253027927385,1.0
Q5,FAraw,495828,0.7277079955145735,0.2722839371717612,8.067313665222618e-06,0.0007807567562918234,0.0010395355493528768,0.0015611832481895417,1.0
