stratum,Deep_Win_targets,Shallow_Win_targets,BRR,HHCR
all,314730,182899,0.9999936453468052,0.962257858162155
Top20,220561,103341,0.999990932213764,0.9783048354476926
Bottom80,94169,79558,1.0,0.9414138113074738
Q1,348,378,1.0,0.9814814814814815
Q2,4105,4422,1.0,0.9735413839891451
Q3,14695,16896,1.0,0.9567945075757576
Q4,43330,40660,1.0,0.9074028529267093
Q5,252252,120543,0.9999920714206428,0.9810524045361406
Raw_Correct,0,182899,nan,0.962257858162155
Raw_Wrong,314730,0,0.9999936453468052,nan
Deep-Win,314730,0,0.9999936453468052,nan
Shallow-Win,0,182899,nan,0.962257858162155
Both-Wrong,0,0,nan,nan
Stable-Correct,0,0,nan,nan
class0,43802,88423,1.0,0.9894258281216426
class1,121742,82309,1.0,0.9328263008905466
class2,74850,11749,1.0,0.9676568218571794
class3,74336,418,0.9999730951356005,0.8588516746411483
boundary,25404,26392,0.9999606361202961,0.9644210366777811
interior,289326,156507,0.9999965436911995,0.9618930782648699
