stratum,targets,mean,median,positive_fraction,negative_fraction,zero_fraction
all,2479143,0.07416417539680037,0.04132652282714844,0.7615401773919456,0.23844731828700483,1.2504321049653045e-05
Top20,485451,0.14989277711174132,0.24834081530570984,0.6124655217519379,0.3875344782480621,0.0
Bottom80,1993692,0.055724754748515785,0.03545016050338745,0.7978388838396302,0.20214556711869236,1.5549041677450678e-05
Q1,495830,0.006525695974838218,0.005211293697357178,0.8947623177298671,0.10517516084141743,6.252142871548716e-05
Q2,495828,0.03174839532362435,0.037640392780303955,0.8248908895826779,0.17510911041732213,0.0
Q3,495829,0.06816625663469779,0.09400808811187744,0.7728007034683329,0.22719929653166718,0.0
Q4,495828,0.10795869906583253,0.17400643229484558,0.704286567116016,0.29571343288398394,0.0
Q5,495828,0.1564221149121966,0.2884959429502487,0.6109598489798882,0.3890401510201118,0.0
Raw_Correct,1770736,0.048876977893902177,0.042583197355270386,0.8589304108574062,0.1410520822979823,1.7506844611506177e-05
Raw_Wrong,708407,0.13737212076929373,0.019705094397068024,0.5181032937280405,0.48189670627195946,0.0
Deep-Win,314730,0.3621682071382162,0.35502056777477264,0.9996790900136625,0.00032090998633749565,0.0
Shallow-Win,182899,-0.21645193704108953,-0.20275576412677765,0.007856795280455334,0.9921432047195446,0.0
Both-Wrong,393677,-0.04234392122170642,-0.03774438425898552,0.1331015019927504,0.8668984980072496,0.0
Stable-Correct,1587837,0.07943955655449206,0.055146992206573486,0.9569634666530633,0.04301700993237971,1.9523414557035766e-05
class0,965133,0.03612432812181343,0.02549666166305542,0.766766860111508,0.23323313988849206,0.0
class1,1044692,0.07631458819533328,0.05265665054321289,0.7807258024374648,0.2192445237447975,2.9673817737668136e-05
class2,323515,0.11027878600065318,0.049704134464263916,0.6974576140209882,0.3025423859790118,0.0
class3,145803,0.23042553231826016,0.2731299102306366,0.731665329245626,0.26833467075437406,0.0
boundary,201144,0.023408262950523687,0.0016553401947021484,0.5141888398361373,0.48580121703853957,9.943125323151573e-06
interior,2277999,0.0786458486780853,0.044153690338134766,0.7833809409047151,0.21660632862437604,1.2730470908898556e-05
