stratum,targets,images,raw_accuracy,teacher_accuracy,repair,harm,net_repair,net_repair_rate
all,2479143,3416,0.7142532721993043,0.7853834974424629,291045,114703,176342,0.07113022524315862
Top20,485451,3405,0.35385239704934174,0.6429443960358512,212024,71684,140340,0.28909199898650945
Bottom80,1993692,3415,0.8020085349191349,0.8200664897085408,79021,43019,36002,0.018057954789405785
Q1,495830,3403,0.9193372728556158,0.9193473569570215,182,177,5,1.0084101405723737e-05
Q2,495828,3411,0.8501254467274942,0.8506921755124761,2305,2024,281,0.0005667287849818889
Q3,495829,3415,0.7867188082988288,0.7904216978030733,9491,7655,1836,0.0037028895042444067
Q4,495828,3413,0.6854735916487169,0.7124103519768952,35260,21904,13356,0.02693676032817832
Q5,495828,3410,0.3296102680768331,0.6540453544374258,243807,82943,160864,0.32443508636059276
Raw_Correct,1770736,3416,1.0,0.9352229807266583,0,114703,-114703,-0.0647770192733417
Raw_Wrong,708407,3407,0.0,0.410844331013104,291045,0,291045,0.410844331013104
Deep-Win,314730,3396,0.0,0.9201792012200934,289608,0,289608,0.9201792012200934
Shallow-Win,182899,3194,1.0,0.37286152466661926,0,114703,-114703,-0.6271384753333807
Both-Wrong,393677,3218,0.0,0.003650200545116936,1437,0,1437,0.003650200545116936
Stable-Correct,1587837,3412,1.0,1.0,0,0,0,0.0
class0,965133,2018,0.8387413962635202,0.8206682395068866,41476,58919,-17443,-0.01807315675663354
class1,1044692,2676,0.755598779353149,0.8192768777783308,112837,46313,66524,0.06367809842518178
class2,323515,935,0.4546775265443643,0.6341035191567624,67147,9100,58047,0.1794259926123982
class3,145803,384,0.16992791643518995,0.6446369416267155,69585,371,69214,0.4747090251915255
boundary,201144,2151,0.5014467247345186,0.5087201209084039,21881,20418,1463,0.007273396173885375
interior,2277999,3416,0.7330437809674192,0.8098124713838768,269164,94285,174879,0.0767686904164576
