stratum,DeepSelectionPrecision,DeepCaptureRate,ShallowProtectionRate,Deep_Win_count,Shallow_Win_count
all,0.8405216818274713,0.6403139198678233,0.7909392615596587,314730,182899
Top20,0.866414705808493,0.6257044536432098,0.7940991474826061,220561,103341
Bottom80,0.7892742206041328,0.6745319585001434,0.7868347620603836,94169,79558
Q1,0.7366863905325444,0.7155172413793104,0.7645502645502645,348,378
Q2,0.7460519612837494,0.7135200974421437,0.774536408864767,4105,4422
Q3,0.7124346917450366,0.6959510037427696,0.7556818181818182,14695,16896
Q4,0.7627655859679282,0.6553657973690283,0.7827840629611412,43330,40660
Q5,0.8684664111138297,0.6331922046207761,0.7993164265034054,252252,120543
Raw_Correct,0.0,nan,0.7909392615596587,0,182899
Raw_Wrong,1.0,0.6403139198678233,nan,314730,0
Deep-Win,1.0,0.6403139198678233,nan,314730,0
Shallow-Win,0.0,nan,0.7909392615596587,0,182899
Both-Wrong,nan,nan,nan,0,0
Stable-Correct,nan,nan,nan,0,0
class0,0.6419108079334411,0.7433222227295557,0.7945896429661966,43802,88423
class1,0.8697241904084274,0.7229222454042155,0.8398352549538932,121742,82309
class2,0.874805483512412,0.6308884435537743,0.42480211081794195,74850,11749
class3,0.9960729892523916,0.4538178002582867,0.6818181818181818,74336,418
boundary,0.5384171302613624,0.403834041883168,0.6667550772961504,25404,26392
interior,0.8666026306131603,0.6610778153363334,0.8118806187582664,289326,156507
