stratum,targets,Deep_Win_count,Shallow_Win_count,dual_label_images,image_auroc,pooled_auroc,DeepCaptureRate,ShallowProtectionRate,BA,DeepSelectionPrecision,zero_ties,power
all,2479143,314730,182899,3180,0.7848415501407355,0.7882824527758562,0.6403139198678233,0.7909392615596587,0.7156265907137409,0.8405216818274713,0,POWERED
Top20,485451,220561,103341,2915,0.7814364625311788,0.797646208980202,0.6257044536432098,0.7940991474826061,0.709901800562908,0.866414705808493,0,POWERED
Bottom80,1993692,94169,79558,3121,0.7795786701591906,0.7922176591923603,0.6745319585001434,0.7868347620603836,0.7306833602802635,0.7892742206041328,0,POWERED
Q1,495830,348,378,84,0.8273148148148147,0.8157574651827525,0.7155172413793104,0.7645502645502645,0.7400337529647875,0.7366863905325444,0,UNDERPOWERED
Q2,495828,4105,4422,1089,0.7716208632966258,0.8179720377186154,0.7135200974421437,0.774536408864767,0.7440282531534554,0.7460519612837494,0,POWERED
Q3,495829,14695,16896,2293,0.7593542291132652,0.7971601924581387,0.6959510037427696,0.7556818181818182,0.725816410962294,0.7124346917450366,0,POWERED
Q4,495828,43330,40660,2879,0.7685353801851111,0.7878534525925733,0.6553657973690283,0.7827840629611412,0.7190749301650847,0.7627655859679282,0,POWERED
Q5,495828,252252,120543,3033,0.7907389523142158,0.8040803717318381,0.6331922046207761,0.7993164265034054,0.7162543155620907,0.8684664111138297,0,POWERED
Raw_Correct,1770736,0,182899,0,nan,nan,nan,0.7909392615596587,nan,0.0,0,UNDERPOWERED
Raw_Wrong,708407,314730,0,0,nan,nan,0.6403139198678233,nan,nan,1.0,0,UNDERPOWERED
Deep-Win,314730,314730,0,0,nan,nan,0.6403139198678233,nan,nan,1.0,0,UNDERPOWERED
Shallow-Win,182899,0,182899,0,nan,nan,nan,0.7909392615596587,nan,0.0,0,UNDERPOWERED
Both-Wrong,393677,0,0,0,nan,nan,nan,nan,nan,nan,0,UNDERPOWERED
Stable-Correct,1587837,0,0,0,nan,nan,nan,nan,nan,nan,0,UNDERPOWERED
class0,965133,43802,88423,1654,0.7902943396694886,0.8387099641985727,0.7433222227295557,0.7945896429661966,0.7689559328478761,0.6419108079334411,0,POWERED
class1,1044692,121742,82309,2204,0.7969253775500648,0.8635758825217744,0.7229222454042155,0.8398352549538932,0.7813787501790543,0.8697241904084274,0,POWERED
class2,323515,74850,11749,723,0.45143658967003714,0.5371673713131145,0.6308884435537743,0.42480211081794195,0.5278452771858582,0.874805483512412,0,POWERED
class3,145803,74336,418,107,0.3408509823356585,0.5847058944309763,0.4538178002582867,0.6818181818181818,0.5678179910382343,0.9960729892523916,0,UNDERPOWERED
boundary,201144,25404,26392,1838,0.5528591669053194,0.5610801104649024,0.403834041883168,0.6667550772961504,0.5352945595896592,0.5384171302613624,0,POWERED
interior,2277999,289326,156507,3155,0.8015919659265556,0.8129784207610078,0.6610778153363334,0.8118806187582664,0.7364792170472999,0.8666026306131603,0,POWERED
