stratum,loss,Deep_Win_targets,Shallow_Win_targets,DBR,DCR,BRR,HHCR
all,UDT,314730,182899,1.0,0.9622687931590659,0.9999936453468052,0.962257858162155
all,RG,314730,182899,0.30047977631620754,0.21688472873006415,0.30047977631620754,0.21688472873006415
all,ADT,314730,182899,0.6403139198678233,0.201608538045588,0.6403107425412258,0.20159760304867713
all,SDT,314730,182899,0.6403139198678233,0.201608538045588,0.6403107425412258,0.20159760304867713
all,PRG_previous,314730,182899,1.0,0.9622687931590659,0.9999936453468052,0.962257858162155
Top20,UDT,220561,103341,1.0,0.9783241888505047,0.999990932213764,0.9783048354476926
Top20,RG,220561,103341,0.31042206011035495,0.22022237059831046,0.31042206011035495,0.22022237059831046
Top20,ADT,220561,103341,0.6257044536432098,0.20209790886482615,0.6256999197500918,0.20207855546201411
Top20,SDT,220561,103341,0.6257044536432098,0.20209790886482615,0.6256999197500918,0.20207855546201411
Top20,PRG_previous,220561,103341,1.0,0.9783241888505047,0.999990932213764,0.9783048354476926
Bottom80,UDT,94169,79558,1.0,0.9414138113074738,1.0,0.9414138113074738
Bottom80,RG,94169,79558,0.2771931314976266,0.21254933507629653,0.2771931314976266,0.21254933507629653
Bottom80,ADT,94169,79558,0.6745319585001434,0.20097287513512155,0.6745319585001434,0.20097287513512155
Bottom80,SDT,94169,79558,0.6745319585001434,0.20097287513512155,0.6745319585001434,0.20097287513512155
Bottom80,PRG_previous,94169,79558,1.0,0.9414138113074738,1.0,0.9414138113074738
Q1,UDT,348,378,1.0,0.9814814814814815,1.0,0.9814814814814815
Q1,RG,348,378,0.25862068965517243,0.20899470899470898,0.25862068965517243,0.20899470899470898
Q1,ADT,348,378,0.7155172413793104,0.23544973544973544,0.7155172413793104,0.23544973544973544
Q1,SDT,348,378,0.7155172413793104,0.23544973544973544,0.7155172413793104,0.23544973544973544
Q1,PRG_previous,348,378,1.0,0.9814814814814815,1.0,0.9814814814814815
Q2,UDT,4105,4422,1.0,0.9735413839891451,1.0,0.9735413839891451
Q2,RG,4105,4422,0.25724725943970767,0.22953414744459522,0.25724725943970767,0.22953414744459522
Q2,ADT,4105,4422,0.7135200974421437,0.21845318860244234,0.7135200974421437,0.21845318860244234
Q2,SDT,4105,4422,0.7135200974421437,0.21845318860244234,0.7135200974421437,0.21845318860244234
Q2,PRG_previous,4105,4422,1.0,0.9735413839891451,1.0,0.9735413839891451
Q3,UDT,14695,16896,1.0,0.9567945075757576,1.0,0.9567945075757576
Q3,RG,14695,16896,0.25178632187818983,0.21318655303030304,0.25178632187818983,0.21318655303030304
Q3,ADT,14695,16896,0.6959510037427696,0.23455255681818182,0.6959510037427696,0.23455255681818182
Q3,SDT,14695,16896,0.6959510037427696,0.23455255681818182,0.6959510037427696,0.23455255681818182
Q3,PRG_previous,14695,16896,1.0,0.9567945075757576,1.0,0.9567945075757576
Q4,UDT,43330,40660,1.0,0.9074028529267093,1.0,0.9074028529267093
Q4,RG,43330,40660,0.2707131317793676,0.20184456468273487,0.2707131317793676,0.20184456468273487
Q4,ADT,43330,40660,0.6553657973690283,0.19751598622725036,0.6553657973690283,0.19751598622725036
Q4,SDT,43330,40660,0.6553657973690283,0.19751598622725036,0.6553657973690283,0.19751598622725036
Q4,PRG_previous,43330,40660,1.0,0.9074028529267093,1.0,0.9074028529267093
Q5,UDT,252252,120543,1.0,0.9810689961258638,0.9999920714206428,0.9810524045361406
Q5,RG,252252,120543,0.3091908091908092,0.2220369494703135,0.3091908091908092,0.2220369494703135
Q5,ADT,252252,120543,0.6331922046207761,0.1976473125772546,0.6331882403310974,0.19763072098753143
Q5,SDT,252252,120543,0.6331922046207761,0.1976473125772546,0.6331882403310974,0.19763072098753143
Q5,PRG_previous,252252,120543,1.0,0.9810689961258638,0.9999920714206428,0.9810524045361406
Raw_Correct,UDT,0,182899,nan,0.9622687931590659,nan,0.962257858162155
Raw_Correct,RG,0,182899,nan,0.21688472873006415,nan,0.21688472873006415
Raw_Correct,ADT,0,182899,nan,0.201608538045588,nan,0.20159760304867713
Raw_Correct,SDT,0,182899,nan,0.201608538045588,nan,0.20159760304867713
Raw_Correct,PRG_previous,0,182899,nan,0.9622687931590659,nan,0.962257858162155
Raw_Wrong,UDT,314730,0,1.0,nan,0.9999936453468052,nan
Raw_Wrong,RG,314730,0,0.30047977631620754,nan,0.30047977631620754,nan
Raw_Wrong,ADT,314730,0,0.6403139198678233,nan,0.6403107425412258,nan
Raw_Wrong,SDT,314730,0,0.6403139198678233,nan,0.6403107425412258,nan
Raw_Wrong,PRG_previous,314730,0,1.0,nan,0.9999936453468052,nan
Deep-Win,UDT,314730,0,1.0,nan,0.9999936453468052,nan
Deep-Win,RG,314730,0,0.30047977631620754,nan,0.30047977631620754,nan
Deep-Win,ADT,314730,0,0.6403139198678233,nan,0.6403107425412258,nan
Deep-Win,SDT,314730,0,0.6403139198678233,nan,0.6403107425412258,nan
Deep-Win,PRG_previous,314730,0,1.0,nan,0.9999936453468052,nan
Shallow-Win,UDT,0,182899,nan,0.9622687931590659,nan,0.962257858162155
Shallow-Win,RG,0,182899,nan,0.21688472873006415,nan,0.21688472873006415
Shallow-Win,ADT,0,182899,nan,0.201608538045588,nan,0.20159760304867713
Shallow-Win,SDT,0,182899,nan,0.201608538045588,nan,0.20159760304867713
Shallow-Win,PRG_previous,0,182899,nan,0.9622687931590659,nan,0.962257858162155
Both-Wrong,UDT,0,0,nan,nan,nan,nan
Both-Wrong,RG,0,0,nan,nan,nan,nan
Both-Wrong,ADT,0,0,nan,nan,nan,nan
Both-Wrong,SDT,0,0,nan,nan,nan,nan
Both-Wrong,PRG_previous,0,0,nan,nan,nan,nan
Stable-Correct,UDT,0,0,nan,nan,nan,nan
Stable-Correct,RG,0,0,nan,nan,nan,nan
Stable-Correct,ADT,0,0,nan,nan,nan,nan
Stable-Correct,SDT,0,0,nan,nan,nan,nan
Stable-Correct,PRG_previous,0,0,nan,nan,nan,nan
class0,UDT,43802,88423,1.0,0.9894258281216426,1.0,0.9894258281216426
class0,RG,43802,88423,0.25113008538422904,0.20271874964658518,0.25113008538422904,0.20271874964658518
class0,ADT,43802,88423,0.7433222227295557,0.20426812028544608,0.7433222227295557,0.20426812028544608
class0,SDT,43802,88423,0.7433222227295557,0.20426812028544608,0.7433222227295557,0.20426812028544608
class0,PRG_previous,43802,88423,1.0,0.9894258281216426,1.0,0.9894258281216426
class1,UDT,121742,82309,1.0,0.9328505995699133,1.0,0.9328263008905466
class1,RG,121742,82309,0.27854807708104024,0.22407027178072872,0.27854807708104024,0.22407027178072872
class1,ADT,121742,82309,0.7229222454042155,0.1469219647912136,0.7229222454042155,0.14689766611184682
class1,SDT,121742,82309,0.7229222454042155,0.1469219647912136,0.7229222454042155,0.14689766611184682
class1,PRG_previous,121742,82309,1.0,0.9328505995699133,1.0,0.9328263008905466
class2,UDT,74850,11749,1.0,0.9676568218571794,1.0,0.9676568218571794
class2,RG,74850,11749,0.324315297261189,0.27466167333390074,0.324315297261189,0.27466167333390074
class2,ADT,74850,11749,0.6308884435537743,0.5622606179249298,0.6308884435537743,0.5622606179249298
class2,SDT,74850,11749,0.6308884435537743,0.5622606179249298,0.6308884435537743,0.5622606179249298
class2,PRG_previous,74850,11749,1.0,0.9676568218571794,1.0,0.9676568218571794
class3,UDT,74336,418,1.0,0.8588516746411483,0.9999730951356005,0.8588516746411483
class3,RG,74336,418,0.34147653895824365,0.17464114832535885,0.34147653895824365,0.17464114832535885
class3,ADT,74336,418,0.4538178002582867,0.2703349282296651,0.453804347826087,0.2703349282296651
class3,SDT,74336,418,0.4538178002582867,0.2703349282296651,0.453804347826087,0.2703349282296651
class3,PRG_previous,74336,418,1.0,0.8588516746411483,0.9999730951356005,0.8588516746411483
boundary,UDT,25404,26392,1.0,0.9644210366777811,0.9999606361202961,0.9644210366777811
boundary,RG,25404,26392,0.24346559596913872,0.21949833282812975,0.24346559596913872,0.21949833282812975
boundary,ADT,25404,26392,0.403834041883168,0.32187784177023343,0.403834041883168,0.32187784177023343
boundary,SDT,25404,26392,0.403834041883168,0.32187784177023343,0.403834041883168,0.32187784177023343
boundary,PRG_previous,25404,26392,1.0,0.9644210366777811,0.9999606361202961,0.9644210366777811
interior,UDT,289326,156507,1.0,0.9619058572460017,0.9999965436911995,0.9618930782648699
interior,RG,289326,156507,0.30548585332807976,0.21644399292044444,0.30548585332807976,0.21644399292044444
interior,ADT,289326,156507,0.6610778153363334,0.18132735277016362,0.661074359027533,0.1813145737890318
interior,SDT,289326,156507,0.6610778153363334,0.18132735277016362,0.661074359027533,0.1813145737890318
interior,PRG_previous,289326,156507,1.0,0.9619058572460017,0.9999965436911995,0.9618930782648699
