stratum,targets,channels,rms,mean_pixel_l2,max_abs,finite
all,2479143,512,0.0001798648143994878,0.0012550658531485174,0.05908203125,True
Top20,485451,512,0.0003634284469482475,0.004076096218310988,0.05908203125,True
Bottom80,1993692,512,8.982214899207024e-05,0.0005681633567757139,0.05859375,True
Q1,495830,512,4.186000364688004e-07,1.2978724634812552e-06,0.00015926361083984375,True
Q2,495828,512,6.264634086944254e-06,4.421510174227622e-05,0.00177001953125,True
Q3,495829,512,3.2071229695969586e-05,0.0003268118521983315,0.00628662109375,True
Q4,495828,512,0.00011048150047692672,0.001319856929206025,0.01483154296875,True
Q5,495828,512,0.00038533466541820993,0.004583154439531298,0.05908203125,True
Raw_Correct,1770736,512,0.00011180074822148941,0.0006182698353253365,0.05908203125,True
Raw_Wrong,708407,512,0.00028630983789141364,0.0028468028537938336,0.05859375,True
Deep-Win,314730,512,0.0003910900013107624,0.005343514728743693,0.055419921875,True
Shallow-Win,182899,512,0.00030172212248862225,0.002201132311377097,0.05908203125,True
Both-Wrong,393677,512,0.0001588364600844772,0.0008507753276671616,0.05859375,True
Stable-Correct,1587837,512,5.876176235007322e-05,0.00043594383838270923,0.014892578125,True
class0,965133,512,0.0001751928819424786,0.0010657113537633246,0.058837890625,True
class1,1044692,512,0.0001743673497021484,0.0012211511163797242,0.05908203125,True
class2,323515,512,0.00019172495357529536,0.0016469051561202482,0.05029296875,True
class3,145803,512,0.00021795903950922905,0.0018820545854701528,0.040283203125,True
boundary,201144,512,0.0002089617096772586,0.0013456604484240956,0.05908203125,True
interior,2277999,512,0.0001770660133500202,0.0012470664820899205,0.058837890625,True
active,697038,512,0.0003392101004520156,0.004463871014739762,0.05908203125,True
rejected,1782105,512,0.0,0.0,0.0,True
all784,2679712,512,0.0001802781028059017,0.0012548539569848735,0.05908203125,True
