parameter,numel,images,total_squared_energy,rms,max_abs,nonzero_images,finite
b4.bn_branch2a.weight,256,3418,34869.39978760847,0.19962559522289242,6.3771867752075195,3418,True
b4.bn_branch2a.bias,256,3418,12462.10885827711,0.11934102357787399,2.5316929817199707,3418,True
b4.conv_branch2a.weight,1179648,3418,349471.0387643826,0.009309864248678522,0.8125,3418,True
b4.bn_branch2b1.weight,512,3418,25355.23348528426,0.12036848583323782,3.9478278160095215,3418,True
b4.bn_branch2b1.bias,512,3418,6030.464644794613,0.05870220005427859,1.4847780466079712,3418,True
b4.conv_branch2b1.weight,2359296,3418,372499.1316611952,0.006796501036382463,1.921875,3418,True
b4.conv_branch1.weight,131072,3418,105917.64372145604,0.015375992661075488,2.21875,3418,True
b4_1.bn_branch2a.weight,512,3418,17433.436331758956,0.0998091806306939,4.938493251800537,3418,True
b4_1.bn_branch2a.bias,512,3418,3479.496451150161,0.04458997093455007,1.1429052352905273,3418,True
b4_1.conv_branch2a.weight,2359296,3418,308711.17123804125,0.00618726800071825,2.328125,3418,True
b4_1.bn_branch2b1.weight,512,3418,16878.834386181457,0.09820875744139797,3.3033859729766846,3418,True
b4_1.bn_branch2b1.bias,512,3418,2197.344240234594,0.03543464124605259,0.9861736297607422,3418,True
b4_1.conv_branch2b1.weight,2359296,3418,242124.21156947146,0.005479511779401918,3.0625,3418,True
b4_2.bn_branch2a.weight,512,3418,6870.972874395663,0.0626596705779795,3.6288857460021973,3418,True
b4_2.bn_branch2a.bias,512,3418,2024.5443515333777,0.03401281978131041,1.2766497135162354,3418,True
b4_2.conv_branch2a.weight,2359296,3418,94610.74565491258,0.0034252556215127287,0.98046875,3418,True
b4_2.bn_branch2b1.weight,512,3418,5605.241269712906,0.05659474999508737,1.991761326789856,3418,True
b4_2.bn_branch2b1.bias,512,3418,1515.7305856518137,0.029429982065625367,0.7451755404472351,3418,True
b4_2.conv_branch2b1.weight,2359296,3418,64290.15929515654,0.002823546900847984,1.4921875,3418,True
b4_3.bn_branch2a.weight,512,3418,14054.885980639934,0.08961746475197509,5.033437728881836,3418,True
b4_3.bn_branch2a.bias,512,3418,2851.676132925887,0.040367243160738,1.2992849349975586,3418,True
b4_3.conv_branch2a.weight,2359296,3418,215408.30577635416,0.005168374529881243,1.3984375,3418,True
b4_3.bn_branch2b1.weight,512,3418,10175.83691928642,0.07625425096876808,3.650503635406494,3418,True
b4_3.bn_branch2b1.bias,512,3418,1126.7025553485341,0.0253736900200887,0.7145462036132812,3418,True
b4_3.conv_branch2b1.weight,2359296,3418,114094.58324496628,0.0037614497839511345,1.703125,3418,True
b4_4.bn_branch2a.weight,512,3418,9095.844778861887,0.07209423047101149,3.1290769577026367,3418,True
b4_4.bn_branch2a.bias,512,3418,2266.677045662177,0.03598933430851212,0.7216005325317383,3418,True
b4_4.conv_branch2a.weight,2359296,3418,171306.66877062165,0.004609033768678754,2.140625,3418,True
b4_4.bn_branch2b1.weight,512,3418,7125.885321948149,0.0638114193613485,3.1745569705963135,3418,True
b4_4.bn_branch2b1.bias,512,3418,1070.7875523095518,0.024736066927712068,1.0878336429595947,3418,True
b4_4.conv_branch2b1.weight,2359296,3418,79408.55027893042,0.0031380249249536086,1.1875,3418,True
b4_5.bn_branch2a.weight,512,3418,25407.604054520474,0.12049273068423223,7.675104141235352,3418,True
b4_5.bn_branch2a.bias,512,3418,3082.4758234558612,0.041969020146344196,1.214855670928955,3418,True
b4_5.conv_branch2a.weight,2359296,3418,197296.72538906254,0.0049463255154592696,2.15625,3418,True
b4_5.bn_branch2b1.weight,512,3418,8468.450999036602,0.06956342870834516,3.0081517696380615,3418,True
b4_5.bn_branch2b1.bias,512,3418,574.0427330266903,0.018111361622457137,0.40015506744384766,3418,True
b4_5.conv_branch2b1.weight,2359296,3418,91827.4944003159,0.003374497589778915,1.1484375,3418,True
bn45.weight,512,3418,517.2974600251006,0.017192901034880057,0.7836874723434448,3418,True
bn45.bias,512,3418,958.1221261916473,0.02339857585773743,0.638519287109375,3418,True
ic1.weight,2048,3418,0.0,0.0,0.0,0,True
ic1.bias,4,3418,0.0,0.0,0.0,0,True
