quintile,gate,targets,raw_accuracy,deep_accuracy,deep_raw_delta,benefit_rate,harm_rate,mean_dm,mean_dQ
1,0,471814,0.9243833375016426,0.92398063643724,-0.00040270106440254416,0.0,0.0,0.0,0.0
1,1,24016,0.8202031978680879,0.8268654230512992,0.006662225183211246,0.5353930712858095,0.4646069287141905,5.210347017709594e-06,-6.85305994585561e-07
2,0,411242,0.8542074982613643,0.8487386988683062,-0.00546879939305811,0.0,0.0,0.0,0.0
2,1,84586,0.8302792424278249,0.853119901638569,0.022840659210744074,0.81791312983236,0.18208687016764002,0.0001452535899477367,-1.4751898142209583e-05
3,0,339381,0.7623113845501074,0.7378550950112116,-0.02445628953889578,0.0,0.0,0.0,0.0
3,1,156448,0.8396655757823686,0.8786497750051135,0.038984199222744986,0.8950577827776641,0.10494221722233586,0.0007586652642756031,-0.00010665054868535124
4,0,290794,0.6283795401555741,0.5702799920218437,-0.058099548133730416,0.0,0.0,0.0,0.0
4,1,205034,0.7664484914697075,0.8618716895734366,0.09542319810372912,0.9020699006018514,0.0979300993981486,0.002458599459076217,-0.0005188442965232697
5,0,268874,0.4390681136889398,0.42484583857122665,-0.014222275117713123,0.0,0.0,0.0,0.0
5,1,226954,0.19993478854745897,0.7971174775505169,0.5971826890030579,0.8847167267375767,0.11527886708319747,0.006774975635974973,-0.0016809773875896205
