stratum,targets,ADT_rate,RG_rate,rate_difference,per_image_exact_parity,seed,mask_sha256,RG_mean_dm,RG_benefit,RG_harm
ALL784_GT_BLIND,2679712,0.28128470522205373,0.28128470522205373,0.0,True,42,6f5e9e2a667fc96f6246fbd5990249b9f0cbffba4fffa626075c976171876d2a,,,
all,2479143,0.2811608688970342,0.2824459904087824,0.0012851215117481996,,,,0.00048704112978509274,0.2337017267660639,0.048743860277523324
Top20,485451,0.4306469653991855,0.2761061363556775,-0.15454082904350802,,,,0.001431944750190353,0.21304518890681037,0.063058887508729
Bottom80,1993692,0.2447619792826575,0.2839897035249176,0.03922772424226009,,,,0.0002569632604705979,0.2387314590217546,0.04525824450316297
Q1,495830,0.04843595587197225,0.29755964745981484,0.2491236915878426,,,,2.648630136588927e-06,0.2703628259685779,0.027196821491236915
Q2,495828,0.17059544842163007,0.286093161338206,0.11549771291657593,,,,4.5603730953119935e-05,0.2431589180118912,0.04293424332631477
Q3,495829,0.31552813570807675,0.2787231081683403,-0.03680502753973647,,,,0.0002152371637207523,0.22732433964128762,0.05139876852705268
Q4,495828,0.41351839750881353,0.27335083940398686,-0.14016755810482667,,,,0.0006125604791596385,0.21259388336277904,0.06075695604120784
Q5,495828,0.4577272763942335,0.2765031422186726,-0.18122413417556088,,,,0.0015591581470104433,0.21506853182958607,0.06143259356067023
Raw_Correct,1770736,0.23934454373774522,0.2907203558294404,0.05137581209169517,,,,5.795915870581886e-05,0.2583722248827606,0.032347566209756845
Raw_Wrong,708407,0.38568506522380497,0.2617633648453502,-0.12392170037845479,,,,0.0015595755529924152,0.17203528480096894,0.08972808004438126
Deep-Win,314730,0.6403139198678233,0.30047977631620754,-0.33983414355161573,,,,0.003645587940991008,0.30047977631620754,0.0
Shallow-Win,182899,0.2090607384403414,0.2267480959436629,0.01768735750332151,,,,-0.0028209479341888715,0.00985789971514333,0.21688472873006415
Both-Wrong,393677,0.18211884362053155,0.23081104560337534,0.0486922019828438,,,,-0.00010811313309998328,0.06934873005026963,0.16146231555310572
Stable-Correct,1587837,0.24283286004797722,0.29808916154491927,0.05525630149694205,,,,0.00038957331581599173,0.2869979727138239,0.011091188831095384
class0,965133,0.25995277334833644,0.26153183032804805,0.0015790569797116127,,,,0.0001397166696305186,0.2157640449554621,0.045766749245958846
class1,1044692,0.2834490931298411,0.28914455169561937,0.005695458565778244,,,,0.0005204558024166159,0.2430764282678531,0.04606812342776627
class2,323515,0.32403134321437954,0.3123657326553637,-0.011665610559015827,,,,0.0009473063850033041,0.24313864890345116,0.06922708375191258
class3,145803,0.3100279143776191,0.3065026096856718,-0.0035253046919473396,,,,0.0015254528427105759,0.26432926620165564,0.04217334348401611
boundary,201144,0.20920832836177067,0.23611442548621883,0.026906097124448164,,,,0.00014816780764610374,0.13565405878375691,0.10046036670246192
interior,2277999,0.28751417362343,0.2865370002357332,-0.000977173387696817,,,,0.0005169631514841036,0.24235919330956687,0.044177367944410864
