stratum,selection,targets,raw_accuracy,deep_accuracy,deep_raw_delta,repair,harm,net_repair
all,selected,697038,0.6080242397114648,0.84228549949931,0.23426125978784515,201526,38237,163289
all,rejected,1782105,0.7558028286773226,0.7381506701344758,-0.017652158542846803,113204,144662,-31458
Top20,selected,209058,0.22922346908513427,0.7875756966966105,0.5583522276114763,138006,21278,116728
Top20,rejected,276393,0.44811916365465115,0.44989923767968076,0.0017800740250295773,82555,82063,492
Bottom80,selected,487980,0.7703082093528423,0.8657240050821755,0.09541579572933317,63520,16959,46561
Bottom80,rejected,1505712,0.8122821628571733,0.7910629655604791,-0.02121919729669419,30649,62599,-31950
Q1,selected,24016,0.8202031978680879,0.8268654230512992,0.006662225183211193,249,89,160
Q1,rejected,471814,0.9243833375016426,0.92398063643724,-0.0004027010644024976,99,289,-190
Q2,selected,84586,0.8302792424278249,0.853119901638569,0.022840659210744095,2929,997,1932
Q2,rejected,411242,0.8542074982613643,0.8487386988683062,-0.0054687993930581024,1176,3425,-2249
Q3,selected,156448,0.8396655757823686,0.8786497750051135,0.03898419922274494,10227,4128,6099
Q3,rejected,339381,0.7623113845501074,0.7378550950112116,-0.024456289538895813,4468,12768,-8300
Q4,selected,205034,0.7664484914697075,0.8618716895734366,0.09542319810372914,28397,8832,19565
Q4,rejected,290794,0.6283795401555741,0.5702799920218437,-0.05809954813373041,14933,31828,-16895
Q5,selected,226954,0.19993478854745897,0.7971174775505169,0.5971826890030579,159724,24191,135533
Q5,rejected,268874,0.4390681136889398,0.42484583857122665,-0.01422227511771313,92528,96352,-3824
Raw_Correct,selected,423816,1.0,0.9097792438227911,-0.09022075617720898,0,38237,-38237
Raw_Correct,rejected,1346920,1.0,0.8925979271226205,-0.1074020728773795,0,144662,-144662
Raw_Wrong,selected,273222,0.0,0.7375906771782653,0.7375906771782653,201526,0,201526
Raw_Wrong,rejected,435185,0.0,0.2601284511184898,0.2601284511184898,113204,0,113204
Deep-Win,selected,201526,0.0,1.0,1.0,201526,0,201526
Deep-Win,rejected,113204,0.0,1.0,1.0,113204,0,113204
Shallow-Win,selected,38237,1.0,0.0,-1.0,0,38237,-38237
Shallow-Win,rejected,144662,1.0,0.0,-1.0,0,144662,-144662
Both-Wrong,selected,71696,0.0,0.0,0.0,0,0,0
Both-Wrong,rejected,321981,0.0,0.0,0.0,0,0,0
Stable-Correct,selected,385579,1.0,1.0,0.0,0,0,0
Stable-Correct,rejected,1202258,1.0,1.0,0.0,0,0,0
class0,selected,250889,0.8207693442119822,0.8781493010853405,0.05737995687335834,32559,18163,14396
class0,rejected,714244,0.8450543511741085,0.7624257256623787,-0.08262862551172989,11243,70260,-59017
class1,selected,296117,0.6336752027070381,0.8863692391858623,0.25269403647882427,88010,13183,74827
class1,rejected,748575,0.8038286076879404,0.7565467722005144,-0.04728183548742611,33732,69126,-35394
class2,selected,104829,0.2692766314664835,0.6552766887025537,0.38600005723607017,47222,6758,40464
class2,rejected,218686,0.5435510275006173,0.6470647412271476,0.10351371372653027,27628,4991,22637
class3,selected,45203,0.04477578921752981,0.7881335309603344,0.7433577417428047,33735,133,33602
class3,rejected,100600,0.22616302186878728,0.6269184890656063,0.4007554671968191,40601,285,40316
boundary,selected,42081,0.43373493975903615,0.46852498752406074,0.0347900477650246,10259,8795,1464
boundary,rejected,159063,0.5193602534844685,0.5039449777761013,-0.015415275708367124,15145,17597,-2452
interior,selected,654957,0.6192223306262854,0.8662996196696883,0.24707728904340284,191267,29442,161825
interior,rejected,1623042,0.7789749125407722,0.7611035327489984,-0.01787137979177372,98059,127065,-29006
