stratum,loss,targets,benefit_rate,harm_rate,zero_rate,mean_dm,median_dm,active_gradient_fraction,mean_gradient_norm,active_transfer_fraction,mean_dQ,dQ_negative_fraction,dQ_zero_fraction,Deep_Win_targets,Shallow_Win_targets,DBR,DCR,BRR,HHCR
all,SDT,2479143,0.24517222282054726,0.035988242711291765,0.718839534468161,0.0011427066465794762,0.0,0.2811608688970342,0.0011815448899062237,0.2811608688970342,-0.00023972413183534692,0.2811515914975457,0.7188391311029658,314730,182899,0.6403139198678233,0.201608538045588,0.6403107425412258,0.20159760304867713
Top20,SDT,485451,0.3784254229572089,0.0522194825018385,0.5693550945409527,0.00429719627718645,0.0,0.4306469653991855,0.004466944415143835,0.4306469653991855,-0.0008870157780726999,0.4306325458182185,0.5693530346008145,220561,103341,0.6257044536432098,0.20209790886482615,0.6256999197500918,0.20207855546201411
Bottom80,SDT,1993692,0.21272593760721314,0.032036041675444354,0.7552380207173425,0.00037460899374855444,0.0,0.2447619792826575,0.00038157153147065604,0.2447619792826575,-8.21128373337041e-05,0.24475395397082397,0.7552380207173425,94169,79558,0.6745319585001434,0.20097287513512155,0.6745319585001434,0.20097287513512155
Q1,SDT,495830,0.02593227517495916,0.022503680697013088,0.9515640441280278,2.6857396064903368e-08,0.0,0.04843595587197225,1.802233058010318e-07,0.04843595587197225,-6.464277166535614e-09,0.048431922231409956,0.9515640441280278,348,378,0.7155172413793104,0.23544973544973544,0.7155172413793104,0.23544973544973544
Q2,SDT,495828,0.1395322571536904,0.031063191267939688,0.8294045515783699,5.176016379216643e-06,0.0,0.17059544842163007,9.581966294285136e-06,0.17059544842163007,-7.416798108556461e-07,0.17057931379429964,0.8294045515783699,4105,4422,0.7135200974421437,0.21845318860244234,0.7135200974421437,0.21845318860244234
Q3,SDT,495829,0.2824159135508411,0.03311222215723566,0.6844718642919232,9.394357406631668e-05,0.0,0.31552813570807675,0.00010967833518011254,0.31552813570807675,-1.4667467692316463e-05,0.3155220852350306,0.6844718642919232,14695,16896,0.6959510037427696,0.23455255681818182,0.6959510037427696,0.23455255681818182
Q4,SDT,495828,0.3730224997378123,0.04049589777100123,0.5864816024911864,0.0007720640234111329,0.0,0.41351839750881353,0.0007492311408491891,0.41351839750881353,-0.00015603330597392767,0.413508313366732,0.5864816024911864,43330,40660,0.6553657973690283,0.19751598622725036,0.6553657973690283,0.19751598622725036
Q5,SDT,495828,0.4049589777100123,0.052766281855804835,0.5422747404341828,0.004842329485997955,0.0,0.4577272763942335,0.005039059710892315,0.4577272763942335,-0.0010271731622619514,0.45771719225215196,0.5422727236057665,252252,120543,0.6331922046207761,0.1976473125772546,0.6331882403310974,0.19763072098753143
Raw_Correct,SDT,1770736,0.20088821823241862,0.038455760768403645,0.7606560209991777,-1.967048952724689e-05,0.0,0.23934454373774522,0.00039513619183098375,0.23934454373774522,-7.893135311455141e-05,0.23934002584236158,0.7606554562622548,0,182899,nan,0.201608538045588,nan,0.20159760304867713
Raw_Wrong,SDT,708407,0.3558646371365613,0.029820428087243632,0.614314934776195,0.0040481875925343766,0.0,0.38568506522380497,0.0031472541395253803,0.38568506522380497,-0.0006416421843403991,0.38566389095534065,0.614314934776195,314730,0,0.6403139198678233,nan,0.6403107425412258,nan
Deep-Win,SDT,314730,0.6403139198678233,0.0,0.3596860801321768,0.008613092985267388,0.0018485627952031791,0.6403139198678233,0.006209748999473943,0.6403139198678233,-0.0012862948631945632,0.6403107425412258,0.3596860801321768,314730,0,0.6403139198678233,nan,0.6403107425412258,nan
Shallow-Win,SDT,182899,0.007446732896297957,0.201608538045588,0.7909447290581141,-0.0025093201908668885,0.0,0.2090607384403414,0.0019679331204656807,0.2090607384403414,-0.00035705402712480516,0.20904980344343052,0.7909392615596587,0,182899,nan,0.201608538045588,nan,0.20159760304867713
Both-Wrong,SDT,393677,0.1284581014384889,0.05366074218204264,0.8178811563794685,0.0003987168989077249,0.0,0.18211884362053155,0.0006989043317601051,0.18211884362053155,-0.00012626653979989729,0.18208328147186653,0.8178811563794685,0,0,nan,nan,nan,nan
Stable-Correct,SDT,1587837,0.22317026243877677,0.01966259760920044,0.7571671399520228,0.00026710607552654577,0.0,0.24283286004797722,0.00021396962029350381,0.24283286004797722,-4.6895093124513835e-05,0.24282908132257908,0.7571671399520228,0,0,nan,nan,nan,nan
