stratum,targets,selected,rejected,ActiveTransferFraction
all,2479143,697038,1782105,0.2811608688970342
Top20,485451,209058,276393,0.4306469653991855
Bottom80,1993692,487980,1505712,0.2447619792826575
Q1,495830,24016,471814,0.04843595587197225
Q2,495828,84586,411242,0.17059544842163007
Q3,495829,156448,339381,0.31552813570807675
Q4,495828,205034,290794,0.41351839750881353
Q5,495828,226954,268874,0.4577272763942335
Raw_Correct,1770736,423816,1346920,0.23934454373774522
Raw_Wrong,708407,273222,435185,0.38568506522380497
Deep-Win,314730,201526,113204,0.6403139198678233
Shallow-Win,182899,38237,144662,0.2090607384403414
Both-Wrong,393677,71696,321981,0.18211884362053155
Stable-Correct,1587837,385579,1202258,0.24283286004797722
class0,965133,250889,714244,0.25995277334833644
class1,1044692,296117,748575,0.2834490931298411
class2,323515,104829,218686,0.32403134321437954
class3,145803,45203,100600,0.3100279143776191
boundary,201144,42081,159063,0.20920832836177067
interior,2277999,654957,1623042,0.28751417362343
