probe,fold,images,official_mIoU,router_mIoU,delta_mIoU,override_rate,override_precision
Linear-A,0,687,64.83750812078733,64.5159837189781,-0.3215244018092256,0.6637554585152838,0.20394736842105263
Linear-A,1,686,59.807739333497246,59.64863329893093,-0.15910603456631423,0.6632653061224489,0.21318681318681318
Linear-A,2,673,61.995794274678694,61.72654807901491,-0.26924619566378594,0.725111441307578,0.19262295081967212
Linear-A,3,681,82.18340184795744,81.89647253354691,-0.2869293144105223,0.7606461086637298,0.1640926640926641
Linear-A,4,691,63.23014470624375,62.84578534556604,-0.3843593606777107,0.6208393632416788,0.32167832167832167
Linear-B,0,687,64.83750812078733,64.51083198921876,-0.32667613156857067,0.6783114992721979,0.20815450643776823
Linear-B,1,686,59.807739333497246,59.60889507162243,-0.19884426187481985,0.6720116618075802,0.20607375271149675
Linear-B,2,673,61.995794274678694,61.72510503588292,-0.2706892387957738,0.7280832095096582,0.19183673469387755
Linear-B,3,681,82.18340184795744,81.89484112928629,-0.2885607186711492,0.7591776798825257,0.16634429400386846
Linear-B,4,691,63.23014470624375,62.83083373064289,-0.3993109756008639,0.6309696092619392,0.3211009174311927
Linear-C,0,687,64.83750812078733,64.56848545571383,-0.2690226650735039,0.6986899563318777,0.23125
Linear-C,1,686,59.807739333497246,59.70014717493958,-0.1075921585576678,0.6603498542274052,0.2163355408388521
Linear-C,2,673,61.995794274678694,61.81307876818411,-0.18271550649457957,0.6924219910846954,0.16738197424892703
Linear-C,3,681,82.18340184795744,81.96035399994645,-0.2230478480109821,0.7121879588839941,0.18556701030927836
Linear-C,4,691,63.23014470624375,62.83902350246577,-0.39112120377797766,0.6237337192474675,0.3225058004640371
MLP-A,0,687,64.83750812078733,64.07376418510484,-0.7637439356824927,0.5807860262008734,0.23809523809523808
MLP-A,1,686,59.807739333497246,58.40521986483169,-1.4025194686655529,0.7696793002915452,0.20265151515151514
MLP-A,2,673,61.995794274678694,61.04921761311759,-0.9465766615611049,0.7147102526002972,0.2494802494802495
MLP-A,3,681,82.18340184795744,81.78384695816774,-0.39955488978969944,0.8458149779735683,0.203125
MLP-A,4,691,63.23014470624375,63.209057452404004,-0.021087253839746634,0.6193921852387844,0.3808411214953271
MLP-B,0,687,64.83750812078733,63.31826577886801,-1.5192423419193246,0.7234352256186317,0.22937625754527163
MLP-B,1,686,59.807739333497246,58.646221774665996,-1.1615175588312487,0.8002915451895044,0.18032786885245902
MLP-B,2,673,61.995794274678694,60.07113553999767,-1.9246587346810284,0.711738484398217,0.22964509394572025
MLP-B,3,681,82.18340184795744,81.69688875239575,-0.4865130955616803,0.8135095447870778,0.21299638989169675
MLP-B,4,691,63.23014470624375,62.797433923763,-0.4327107824807497,0.7076700434153401,0.3476482617586912
MLP-C,0,687,64.83750812078733,64.1708655987621,-0.6666425220252292,0.75254730713246,0.19729206963249515
MLP-C,1,686,59.807739333497246,58.567224637417716,-1.240514696079531,0.8790087463556852,0.21393034825870647
MLP-C,2,673,61.995794274678694,61.23795352410928,-0.7578407505694162,0.7072808320950966,0.23529411764705882
MLP-C,3,681,82.18340184795744,81.7792637575322,-0.4041380904252323,0.8105726872246696,0.20652173913043478
MLP-C,4,691,63.23014470624375,62.469707931482496,-0.7604367747612528,0.7510853835021708,0.35067437379576105
