replicate,sampling_unit,sampled_slides,delta_mIoU
0,source_slide,22,-0.7588870515954249
1,source_slide,22,-0.6913770961080701
2,source_slide,22,-0.7929783486157693
3,source_slide,22,-0.6714884094781048
4,source_slide,22,-0.6642520971746446
5,source_slide,22,-1.0194463216945837
6,source_slide,22,-0.8804893131985403
7,source_slide,22,-0.6147748209062387
8,source_slide,22,-0.817192052766047
9,source_slide,22,-0.808580107730783
10,source_slide,22,-0.5436346158076977
11,source_slide,22,-0.7559332975738853
12,source_slide,22,-0.9584982815088794
13,source_slide,22,-0.6671438345545955
14,source_slide,22,-0.4744122403824491
15,source_slide,22,-0.915524141817825
16,source_slide,22,-0.5158815888915202
17,source_slide,22,-0.665259117414807
18,source_slide,22,-0.6308743601921463
19,source_slide,22,-0.7718856823604514
20,source_slide,22,-0.6420981641985679
21,source_slide,22,-0.6303348820733912
22,source_slide,22,-0.8017376362530859
23,source_slide,22,-0.752670582301207
24,source_slide,22,-0.9300306553280513
25,source_slide,22,-0.607528163721216
26,source_slide,22,-0.5907459908768065
27,source_slide,22,-0.4610352758862568
28,source_slide,22,-0.642071748858497
29,source_slide,22,-0.9228668306776266
30,source_slide,22,-0.7871010714913806
31,source_slide,22,-1.0369830336656616
32,source_slide,22,-0.6816229656466111
33,source_slide,22,-0.7592832441142949
34,source_slide,22,-0.7086251107287778
35,source_slide,22,-0.8580071339517881
36,source_slide,22,-0.6741616877244616
37,source_slide,22,-0.7162423493623615
38,source_slide,22,-0.8265029204141738
39,source_slide,22,-0.8048898450251363
40,source_slide,22,-0.8409617325467744
41,source_slide,22,-0.7355457657869935
42,source_slide,22,-0.953494480937711
43,source_slide,22,-0.6745424339717809
44,source_slide,22,-0.6243580585582498
45,source_slide,22,-0.6356885454276817
46,source_slide,22,-1.1066323889681762
47,source_slide,22,-0.8282956891077387
48,source_slide,22,-0.8157425574103705
49,source_slide,22,-0.8887104071439778
50,source_slide,22,-0.5086472416768961
51,source_slide,22,-0.7677457320559022
52,source_slide,22,-0.5257589536443064
53,source_slide,22,-0.8553775539110409
54,source_slide,22,-0.7355288896035317
55,source_slide,22,-0.7986519905884171
56,source_slide,22,-1.0380659909414613
57,source_slide,22,-0.7255641041989058
58,source_slide,22,-0.828753383463543
59,source_slide,22,-0.7117394806892108
60,source_slide,22,-0.8627241683949349
61,source_slide,22,-0.7149518656775267
62,source_slide,22,-0.8816541175960868
63,source_slide,22,-0.5072352467919039
64,source_slide,22,-0.7758664390719705
65,source_slide,22,-0.8929492548136797
66,source_slide,22,-0.7120585530922652
67,source_slide,22,-0.7549414151346912
68,source_slide,22,-0.6154488282840487
69,source_slide,22,-0.7302443537959169
70,source_slide,22,-0.6251141860822207
71,source_slide,22,-0.7834923976797414
72,source_slide,22,-0.9371263039911537
73,source_slide,22,-0.5770652974673607
74,source_slide,22,-0.6917901650995595
75,source_slide,22,-0.6368555295104161
76,source_slide,22,-0.7290253737516239
77,source_slide,22,-0.8411888622671948
78,source_slide,22,-0.48570672563570394
79,source_slide,22,-0.8036467507485989
80,source_slide,22,-0.8127741022411761
81,source_slide,22,-0.9488623083763637
82,source_slide,22,-0.6890925748430088
83,source_slide,22,-0.8402028921480675
84,source_slide,22,-0.9670488329259097
85,source_slide,22,-0.46441124286077384
86,source_slide,22,-0.8759115253266669
87,source_slide,22,-0.8497162503871669
88,source_slide,22,-0.764333087709701
89,source_slide,22,-0.5555111830064963
90,source_slide,22,-0.5520768720319813
91,source_slide,22,-0.6950130220738204
92,source_slide,22,-0.5206133798490442
93,source_slide,22,-0.5462301277084358
94,source_slide,22,-0.39605457141694833
95,source_slide,22,-0.716490174091744
96,source_slide,22,-0.8333681184049091
97,source_slide,22,-0.6471236264046443
98,source_slide,22,-0.7085484444125489
99,source_slide,22,-0.9430387667311968
100,source_slide,22,-0.906713294073469
101,source_slide,22,-0.862126465869717
102,source_slide,22,-0.6604455635901174
103,source_slide,22,-0.7400996737985555
104,source_slide,22,-0.7789406708587077
105,source_slide,22,-0.8249094901930265
106,source_slide,22,-0.7823035128031397
107,source_slide,22,-0.7482301428466842
108,source_slide,22,-0.9251814842867079
109,source_slide,22,-0.9481779020822478
110,source_slide,22,-0.7192952364484917
111,source_slide,22,-0.6987348516276026
112,source_slide,22,-0.8671894162918137
113,source_slide,22,-0.5830067441533249
114,source_slide,22,-0.4784149727318443
115,source_slide,22,-0.421440874158896
116,source_slide,22,-0.7773413940920681
117,source_slide,22,-0.6469460660377679
118,source_slide,22,-0.734521670216759
119,source_slide,22,-0.6189213778971303
120,source_slide,22,-0.4591128483220519
121,source_slide,22,-0.9017320575517185
122,source_slide,22,-0.9679083794712828
123,source_slide,22,-0.6212364820375016
124,source_slide,22,-0.6116818744840935
125,source_slide,22,-0.6952770664948815
126,source_slide,22,-0.6847749729605446
127,source_slide,22,-0.8199131525356451
128,source_slide,22,-0.7588317762520114
129,source_slide,22,-0.5725381614085201
130,source_slide,22,-0.855902382246887
131,source_slide,22,-0.6122928289506557
132,source_slide,22,-0.687847482450954
133,source_slide,22,-0.8980660068293123
134,source_slide,22,-0.8709297533078142
135,source_slide,22,-0.6743653379406189
136,source_slide,22,-0.9122297083885789
137,source_slide,22,-0.547201868734748
138,source_slide,22,-0.6887840814599366
139,source_slide,22,-0.6282062841780012
140,source_slide,22,-0.3393157065447516
141,source_slide,22,-0.796775923608084
142,source_slide,22,-0.6300225555192496
143,source_slide,22,-0.9033480374222469
144,source_slide,22,-0.7518022385209044
145,source_slide,22,-0.6713248915493297
146,source_slide,22,-0.5183939312340735
147,source_slide,22,-0.6675991587743346
148,source_slide,22,-0.5179240610517
149,source_slide,22,-0.6190774065371718
150,source_slide,22,-0.5304747029795331
151,source_slide,22,-0.5781630643056701
