index,image_name,source_group,fold
10,TCGA-S3-AA10-DX1_xmin43039_ymin23986_MPP-0.2500+45,TCGA-S3-AA10-DX1,0
25,TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+436,TCGA-GM-A2DB-DX1,0
27,TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+223,TCGA-GM-A2DB-DX1,0
29,TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+43,TCGA-GM-A2DB-DX1,0
36,TCGA-S3-AA10-DX1_xmin43039_ymin23986_MPP-0.2500+27,TCGA-S3-AA10-DX1,0
46,TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+38,TCGA-GM-A2DB-DX1,0
56,TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+233,TCGA-GM-A2DB-DX1,0
67,TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+142,TCGA-GM-A2DB-DX1,0
71,TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+190,TCGA-GM-A2DB-DX1,0
72,TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+30,TCGA-GM-A2DB-DX1,0
83,TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+499,TCGA-GM-A2DB-DX1,0
97,TCGA-HN-A2NL-DX1_xmin11931_ymin5764_MPP-0.2500+4,TCGA-HN-A2NL-DX1,0
105,TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+187,TCGA-GM-A2DB-DX1,0
112,TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+89,TCGA-GM-A2DB-DX1,0
120,TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+293,TCGA-GM-A2DB-DX1,0
129,TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+443,TCGA-GM-A2DB-DX1,0
130,TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+171,TCGA-GM-A2DB-DX1,0
134,TCGA-S3-AA10-DX1_xmin43039_ymin23986_MPP-0.2500+38,TCGA-S3-AA10-DX1,0
138,TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+170,TCGA-GM-A2DB-DX1,0
141,TCGA-HN-A2NL-DX1_xmin11931_ymin5764_MPP-0.2500+11,TCGA-HN-A2NL-DX1,0
142,TCGA-S3-AA10-DX1_xmin43039_ymin23986_MPP-0.2500+5,TCGA-S3-AA10-DX1,0
145,TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+542,TCGA-GM-A2DB-DX1,0
153,TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+541,TCGA-GM-A2DB-DX1,0
165,TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+353,TCGA-GM-A2DB-DX1,0
177,TCGA-HN-A2NL-DX1_xmin11931_ymin5764_MPP-0.2500+28,TCGA-HN-A2NL-DX1,0
184,TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+111,TCGA-GM-A2DB-DX1,0
185,TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+134,TCGA-GM-A2DB-DX1,0
186,TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+68,TCGA-GM-A2DB-DX1,0
191,TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+234,TCGA-GM-A2DB-DX1,0
195,TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+331,TCGA-GM-A2DB-DX1,0
197,TCGA-HN-A2NL-DX1_xmin11931_ymin5764_MPP-0.2500+41,TCGA-HN-A2NL-DX1,0
204,TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+138,TCGA-GM-A2DB-DX1,0
205,TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+39,TCGA-GM-A2DB-DX1,0
210,TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+140,TCGA-GM-A2DB-DX1,0
211,TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+515,TCGA-GM-A2DB-DX1,0
215,TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+382,TCGA-GM-A2DB-DX1,0
221,TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+266,TCGA-GM-A2DB-DX1,0
222,TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+278,TCGA-GM-A2DB-DX1,0
225,TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+301,TCGA-GM-A2DB-DX1,0
232,TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+458,TCGA-GM-A2DB-DX1,0
238,TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+87,TCGA-GM-A2DB-DX1,0
239,TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+426,TCGA-GM-A2DB-DX1,0
247,TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+450,TCGA-GM-A2DB-DX1,0
252,TCGA-HN-A2NL-DX1_xmin11931_ymin5764_MPP-0.2500+12,TCGA-HN-A2NL-DX1,0
255,TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+336,TCGA-GM-A2DB-DX1,0
259,TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+61,TCGA-GM-A2DB-DX1,0
267,TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+360,TCGA-GM-A2DB-DX1,0
269,TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+257,TCGA-GM-A2DB-DX1,0
273,TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+135,TCGA-GM-A2DB-DX1,0
274,TCGA-S3-AA10-DX1_xmin43039_ymin23986_MPP-0.2500+63,TCGA-S3-AA10-DX1,0
277,TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+185,TCGA-GM-A2DB-DX1,0
282,TCGA-HN-A2NL-DX1_xmin11931_ymin5764_MPP-0.2500+43,TCGA-HN-A2NL-DX1,0
283,TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+119,TCGA-GM-A2DB-DX1,0
290,TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+240,TCGA-GM-A2DB-DX1,0
296,TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+98,TCGA-GM-A2DB-DX1,0
299,TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+149,TCGA-GM-A2DB-DX1,0
301,TCGA-S3-AA10-DX1_xmin43039_ymin23986_MPP-0.2500+80,TCGA-S3-AA10-DX1,0
307,TCGA-S3-AA10-DX1_xmin43039_ymin23986_MPP-0.2500+8,TCGA-S3-AA10-DX1,0
309,TCGA-HN-A2NL-DX1_xmin11931_ymin5764_MPP-0.2500+21,TCGA-HN-A2NL-DX1,0
313,TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+325,TCGA-GM-A2DB-DX1,0
326,TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+487,TCGA-GM-A2DB-DX1,0
329,TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+371,TCGA-GM-A2DB-DX1,0
339,TCGA-HN-A2NL-DX1_xmin11931_ymin5764_MPP-0.2500+19,TCGA-HN-A2NL-DX1,0
348,TCGA-S3-AA10-DX1_xmin43039_ymin23986_MPP-0.2500+81,TCGA-S3-AA10-DX1,0
351,TCGA-S3-AA10-DX1_xmin43039_ymin23986_MPP-0.2500+53,TCGA-S3-AA10-DX1,0
353,TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+527,TCGA-GM-A2DB-DX1,0
358,TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+182,TCGA-GM-A2DB-DX1,0
361,TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+8,TCGA-GM-A2DB-DX1,0
366,TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+264,TCGA-GM-A2DB-DX1,0
367,TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+225,TCGA-GM-A2DB-DX1,0
372,TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+330,TCGA-GM-A2DB-DX1,0
373,TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+152,TCGA-GM-A2DB-DX1,0
384,TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+86,TCGA-GM-A2DB-DX1,0
388,TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+305,TCGA-GM-A2DB-DX1,0
402,TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+23,TCGA-GM-A2DB-DX1,0
405,TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+263,TCGA-GM-A2DB-DX1,0
412,TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+11,TCGA-GM-A2DB-DX1,0
417,TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+169,TCGA-GM-A2DB-DX1,0
418,TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+123,TCGA-GM-A2DB-DX1,0
424,TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+12,TCGA-GM-A2DB-DX1,0
426,TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+506,TCGA-GM-A2DB-DX1,0
430,TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+530,TCGA-GM-A2DB-DX1,0
441,TCGA-S3-AA10-DX1_xmin43039_ymin23986_MPP-0.2500+88,TCGA-S3-AA10-DX1,0
452,TCGA-S3-AA10-DX1_xmin43039_ymin23986_MPP-0.2500+15,TCGA-S3-AA10-DX1,0
457,TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+367,TCGA-GM-A2DB-DX1,0
460,TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+474,TCGA-GM-A2DB-DX1,0
464,TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+78,TCGA-GM-A2DB-DX1,0
471,TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+265,TCGA-GM-A2DB-DX1,0
480,TCGA-S3-AA10-DX1_xmin43039_ymin23986_MPP-0.2500+29,TCGA-S3-AA10-DX1,0
489,TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+393,TCGA-GM-A2DB-DX1,0
494,TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+198,TCGA-GM-A2DB-DX1,0
499,TCGA-HN-A2NL-DX1_xmin11931_ymin5764_MPP-0.2500+47,TCGA-HN-A2NL-DX1,0
501,TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+184,TCGA-GM-A2DB-DX1,0
516,TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+378,TCGA-GM-A2DB-DX1,0
517,TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+105,TCGA-GM-A2DB-DX1,0
543,TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+205,TCGA-GM-A2DB-DX1,0
551,TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+248,TCGA-GM-A2DB-DX1,0
554,TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+406,TCGA-GM-A2DB-DX1,0
560,TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+343,TCGA-GM-A2DB-DX1,0
577,TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+536,TCGA-GM-A2DB-DX1,0
578,TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+141,TCGA-GM-A2DB-DX1,0
581,TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+80,TCGA-GM-A2DB-DX1,0
582,TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+410,TCGA-GM-A2DB-DX1,0
584,TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+345,TCGA-GM-A2DB-DX1,0
585,TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+25,TCGA-GM-A2DB-DX1,0
586,TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+97,TCGA-GM-A2DB-DX1,0
592,TCGA-S3-AA10-DX1_xmin43039_ymin23986_MPP-0.2500+66,TCGA-S3-AA10-DX1,0
595,TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+269,TCGA-GM-A2DB-DX1,0
597,TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+471,TCGA-GM-A2DB-DX1,0
599,TCGA-S3-AA10-DX1_xmin43039_ymin23986_MPP-0.2500+13,TCGA-S3-AA10-DX1,0
607,TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+71,TCGA-GM-A2DB-DX1,0
612,TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+504,TCGA-GM-A2DB-DX1,0
613,TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+114,TCGA-GM-A2DB-DX1,0
620,TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+58,TCGA-GM-A2DB-DX1,0
628,TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+387,TCGA-GM-A2DB-DX1,0
629,TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+133,TCGA-GM-A2DB-DX1,0
636,TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+164,TCGA-GM-A2DB-DX1,0
642,TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+407,TCGA-GM-A2DB-DX1,0
643,TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+291,TCGA-GM-A2DB-DX1,0
650,TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+238,TCGA-GM-A2DB-DX1,0
652,TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+459,TCGA-GM-A2DB-DX1,0
662,TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+115,TCGA-GM-A2DB-DX1,0
671,TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+543,TCGA-GM-A2DB-DX1,0
672,TCGA-S3-AA10-DX1_xmin43039_ymin23986_MPP-0.2500+71,TCGA-S3-AA10-DX1,0
673,TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+254,TCGA-GM-A2DB-DX1,0
676,TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+53,TCGA-GM-A2DB-DX1,0
677,TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+222,TCGA-GM-A2DB-DX1,0
684,TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+215,TCGA-GM-A2DB-DX1,0
686,TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+227,TCGA-GM-A2DB-DX1,0
688,TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+401,TCGA-GM-A2DB-DX1,0
691,TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+189,TCGA-GM-A2DB-DX1,0
