probe,fold,feature,coefficient
Linear-A,0,entropy_mean,0.018801860511302948
Linear-A,0,entropy_std,0.006704157218337059
Linear-A,0,entropy_p90,-0.009709821082651615
Linear-A,0,top1_mean,0.03287573531270027
Linear-A,0,top1_std,-0.0032698342110961676
Linear-A,0,margin_mean,-0.020821647718548775
Linear-A,0,margin_std,0.00309152458794415
Linear-A,0,margin_p10,0.0035978679079562426
Linear-A,0,margin_p50,0.0008965648012235761
Linear-A,0,cam_class0_mean,-0.01880454458296299
Linear-A,0,cam_class0_std,-0.008801959455013275
Linear-A,0,cam_class0_max,0.005126792937517166
Linear-A,0,cam_class0_p90,0.012952563352882862
Linear-A,0,cam_class0_p95,0.0118231400847435
Linear-A,0,cam_class0_p99,0.006078588310629129
Linear-A,0,cam_class0_spatial_entropy,-0.014903725124895573
Linear-A,0,cam_class0_top10_mass_ratio,0.0004915522877126932
Linear-A,0,cam_class0_top20_mass_ratio,0.0038364860229194164
Linear-A,0,pred_class0_area_fraction,-0.002426605438813567
Linear-A,0,pred_class0_component_count,0.004208672791719437
Linear-A,0,pred_class0_largest_component_ratio,-7.537323836004362e-05
Linear-A,0,pred_class0_mean_component_size,0.0008535766392014921
Linear-A,0,pred_class0_boundary_density,-0.00832833256572485
Linear-A,0,pred_class0_argmax_presence,0.003218062687665224
Linear-A,0,cam_class1_mean,-0.00994115136563778
Linear-A,0,cam_class1_std,0.0001353463885607198
Linear-A,0,cam_class1_max,0.0007905472884885967
Linear-A,0,cam_class1_p90,0.005035604815930128
Linear-A,0,cam_class1_p95,-0.0007523016538470984
Linear-A,0,cam_class1_p99,-0.0006965997745282948
Linear-A,0,cam_class1_spatial_entropy,-0.0027148639783263206
Linear-A,0,cam_class1_top10_mass_ratio,-0.0005859535303898156
Linear-A,0,cam_class1_top20_mass_ratio,0.0004627564630936831
Linear-A,0,pred_class1_area_fraction,0.006501146126538515
Linear-A,0,pred_class1_component_count,-0.0014572275104001164
Linear-A,0,pred_class1_largest_component_ratio,-0.0030520071741193533
Linear-A,0,pred_class1_mean_component_size,-0.013634155504405499
Linear-A,0,pred_class1_boundary_density,-0.0080326022580266
Linear-A,0,pred_class1_argmax_presence,-0.0004370607784949243
Linear-A,0,cam_class2_mean,-0.004099007695913315
Linear-A,0,cam_class2_std,0.005105147138237953
Linear-A,0,cam_class2_max,-0.009145699441432953
Linear-A,0,cam_class2_p90,0.0018093426479026675
Linear-A,0,cam_class2_p95,-0.0027951267547905445
Linear-A,0,cam_class2_p99,-0.0035282582975924015
Linear-A,0,cam_class2_spatial_entropy,0.004738891031593084
Linear-A,0,cam_class2_top10_mass_ratio,-0.001547634950838983
Linear-A,0,cam_class2_top20_mass_ratio,0.0071577830240130424
Linear-A,0,pred_class2_area_fraction,-0.002193365478888154
Linear-A,0,pred_class2_component_count,-0.0038568368181586266
Linear-A,0,pred_class2_largest_component_ratio,-0.005769162438809872
Linear-A,0,pred_class2_mean_component_size,-0.0006834515370428562
Linear-A,0,pred_class2_boundary_density,-0.0025964200031012297
Linear-A,0,pred_class2_argmax_presence,0.0020730975084006786
Linear-A,0,cam_class3_mean,-0.0025881186593323946
Linear-A,0,cam_class3_std,-0.004083859734237194
Linear-A,0,cam_class3_max,-0.021966546773910522
Linear-A,0,cam_class3_p90,0.004165339283645153
Linear-A,0,cam_class3_p95,0.0005041853873990476
Linear-A,0,cam_class3_p99,0.0007285163155756891
Linear-A,0,cam_class3_spatial_entropy,0.0009117585141211748
Linear-A,0,cam_class3_top10_mass_ratio,0.0019841082394123077
Linear-A,0,cam_class3_top20_mass_ratio,0.02080022357404232
Linear-A,0,pred_class3_area_fraction,-0.007337954360991716
Linear-A,0,pred_class3_component_count,-0.0007205832516774535
Linear-A,0,pred_class3_largest_component_ratio,0.023282287642359734
Linear-A,0,pred_class3_mean_component_size,-0.0008952170028351247
Linear-A,0,pred_class3_boundary_density,-0.007945720106363297
Linear-A,0,pred_class3_argmax_presence,-0.006401823367923498
Linear-A,0,present_cam_mean_mean,0.04247739538550377
Linear-A,0,present_cam_mean_std,0.003975176252424717
Linear-A,0,present_cam_mean_max,-0.0057413624599576
Linear-A,0,present_cam_std_mean,0.007699756883084774
Linear-A,0,present_cam_std_std,-0.0016050402773544192
Linear-A,0,present_cam_std_max,0.00746901473030448
Linear-A,0,present_cam_max_mean,0.0
Linear-A,0,present_cam_max_std,0.0
Linear-A,0,present_cam_max_max,0.0
Linear-A,0,present_cam_p90_mean,-0.03980061784386635
Linear-A,0,present_cam_p90_std,0.004412126261740923
Linear-A,0,present_cam_p90_max,-0.008338932879269123
Linear-A,0,present_cam_p95_mean,0.018434925004839897
Linear-A,0,present_cam_p95_std,0.005658681970089674
Linear-A,0,present_cam_p95_max,-0.015399537049233913
Linear-A,0,present_cam_p99_mean,-0.02866152487695217
Linear-A,0,present_cam_p99_std,-0.01335428562015295
Linear-A,0,present_cam_p99_max,0.025146402418613434
Linear-A,0,present_cam_spatial_entropy_mean,-0.0013934297021478415
Linear-A,0,present_cam_spatial_entropy_std,-0.012851926498115063
Linear-A,0,present_cam_spatial_entropy_max,0.024490242823958397
Linear-A,0,present_cam_top10_mass_ratio_mean,-0.07671083509922028
Linear-A,0,present_cam_top10_mass_ratio_std,0.034401483833789825
Linear-A,0,present_cam_top10_mass_ratio_max,-0.016447190195322037
Linear-A,0,present_cam_top20_mass_ratio_mean,0.08840364217758179
Linear-A,0,present_cam_top20_mass_ratio_std,-0.03822678327560425
