stage,fit_images,heldout_images,requested_components,effective_rank,explained_variance_ratio_sum,fit_scope,fold
h56,2731,687,16,16,0.9911582469940186,train_fold_only,0
h28_1,2731,687,16,16,0.9816007614135742,train_fold_only,0
h28_2,2731,687,16,16,0.9236454963684082,train_fold_only,0
fdeep,2731,687,16,16,0.8875820636749268,train_fold_only,0
h56,2732,686,16,16,0.9898707866668701,train_fold_only,1
h28_1,2732,686,16,16,0.9800792932510376,train_fold_only,1
h28_2,2732,686,16,16,0.9207793474197388,train_fold_only,1
fdeep,2732,686,16,16,0.8902366757392883,train_fold_only,1
h56,2745,673,16,16,0.990568995475769,train_fold_only,2
h28_1,2745,673,16,16,0.9804450869560242,train_fold_only,2
h28_2,2745,673,16,16,0.9193946719169617,train_fold_only,2
fdeep,2745,673,16,16,0.8831274509429932,train_fold_only,2
h56,2737,681,16,16,0.990519106388092,train_fold_only,3
h28_1,2737,681,16,16,0.9813867211341858,train_fold_only,3
h28_2,2737,681,16,16,0.9204105138778687,train_fold_only,3
fdeep,2737,681,16,16,0.8846102952957153,train_fold_only,3
h56,2727,691,16,16,0.9913188219070435,train_fold_only,4
h28_1,2727,691,16,16,0.9817951917648315,train_fold_only,4
h28_2,2727,691,16,16,0.9237555265426636,train_fold_only,4
fdeep,2727,691,16,16,0.8918417692184448,train_fold_only,4
