probe,fold,train_images,heldout_images,scaler_fit_candidates,scaler_fit_scope,ridge_alpha,heldout_used_for_fit,heldout_gt_used_for_fit,stage,fit_images,requested_components,effective_rank,explained_variance_ratio_sum,fit_scope,hidden_dim,epochs,learning_rate,weight_decay,batch_size,seed
Linear-A,0,2731,687,10924,train_fold_only,1.0,False,False,,,,,,,,,,,,
Linear-A,1,2732,686,10928,train_fold_only,1.0,False,False,,,,,,,,,,,,
Linear-A,2,2745,673,10980,train_fold_only,1.0,False,False,,,,,,,,,,,,
Linear-A,3,2737,681,10948,train_fold_only,1.0,False,False,,,,,,,,,,,,
Linear-A,4,2727,691,10908,train_fold_only,1.0,False,False,,,,,,,,,,,,
Linear-B,0,2731,687,10924,train_fold_only,1.0,False,False,,,,,,,,,,,,
Linear-B,1,2732,686,10928,train_fold_only,1.0,False,False,,,,,,,,,,,,
Linear-B,2,2745,673,10980,train_fold_only,1.0,False,False,,,,,,,,,,,,
Linear-B,3,2737,681,10948,train_fold_only,1.0,False,False,,,,,,,,,,,,
Linear-B,4,2727,691,10908,train_fold_only,1.0,False,False,,,,,,,,,,,,
Linear-C,0,2731,687,10924,train_fold_only,1.0,False,False,,,,,,,,,,,,
Linear-C,0,,687,,,,,,h56,2731,16,16,0.9911582469940186,train_fold_only,,,,,,
Linear-C,0,,687,,,,,,h28_1,2731,16,16,0.9816007614135742,train_fold_only,,,,,,
Linear-C,0,,687,,,,,,h28_2,2731,16,16,0.9236454963684082,train_fold_only,,,,,,
Linear-C,0,,687,,,,,,fdeep,2731,16,16,0.8875820636749268,train_fold_only,,,,,,
Linear-C,1,2732,686,10928,train_fold_only,1.0,False,False,,,,,,,,,,,,
Linear-C,1,,686,,,,,,h56,2732,16,16,0.9898707866668701,train_fold_only,,,,,,
Linear-C,1,,686,,,,,,h28_1,2732,16,16,0.9800792932510376,train_fold_only,,,,,,
Linear-C,1,,686,,,,,,h28_2,2732,16,16,0.9207793474197388,train_fold_only,,,,,,
Linear-C,1,,686,,,,,,fdeep,2732,16,16,0.8902366757392883,train_fold_only,,,,,,
Linear-C,2,2745,673,10980,train_fold_only,1.0,False,False,,,,,,,,,,,,
Linear-C,2,,673,,,,,,h56,2745,16,16,0.990568995475769,train_fold_only,,,,,,
Linear-C,2,,673,,,,,,h28_1,2745,16,16,0.9804450869560242,train_fold_only,,,,,,
Linear-C,2,,673,,,,,,h28_2,2745,16,16,0.9193946719169617,train_fold_only,,,,,,
Linear-C,2,,673,,,,,,fdeep,2745,16,16,0.8831274509429932,train_fold_only,,,,,,
Linear-C,3,2737,681,10948,train_fold_only,1.0,False,False,,,,,,,,,,,,
Linear-C,3,,681,,,,,,h56,2737,16,16,0.990519106388092,train_fold_only,,,,,,
Linear-C,3,,681,,,,,,h28_1,2737,16,16,0.9813867211341858,train_fold_only,,,,,,
Linear-C,3,,681,,,,,,h28_2,2737,16,16,0.9204105138778687,train_fold_only,,,,,,
Linear-C,3,,681,,,,,,fdeep,2737,16,16,0.8846102952957153,train_fold_only,,,,,,
Linear-C,4,2727,691,10908,train_fold_only,1.0,False,False,,,,,,,,,,,,
Linear-C,4,,691,,,,,,h56,2727,16,16,0.9913188219070435,train_fold_only,,,,,,
Linear-C,4,,691,,,,,,h28_1,2727,16,16,0.9817951917648315,train_fold_only,,,,,,
Linear-C,4,,691,,,,,,h28_2,2727,16,16,0.9237555265426636,train_fold_only,,,,,,
Linear-C,4,,691,,,,,,fdeep,2727,16,16,0.8918417692184448,train_fold_only,,,,,,
MLP-A,0,2731,687,10924,train_fold_only,,False,False,,,,,,,32,200,0.001,0.0,256,20260817
MLP-A,1,2732,686,10928,train_fold_only,,False,False,,,,,,,32,200,0.001,0.0,256,20260817
MLP-A,2,2745,673,10980,train_fold_only,,False,False,,,,,,,32,200,0.001,0.0,256,20260817
MLP-A,3,2737,681,10948,train_fold_only,,False,False,,,,,,,32,200,0.001,0.0,256,20260817
MLP-A,4,2727,691,10908,train_fold_only,,False,False,,,,,,,32,200,0.001,0.0,256,20260817
MLP-B,0,2731,687,10924,train_fold_only,,False,False,,,,,,,32,200,0.001,0.0,256,20260817
MLP-B,1,2732,686,10928,train_fold_only,,False,False,,,,,,,32,200,0.001,0.0,256,20260817
MLP-B,2,2745,673,10980,train_fold_only,,False,False,,,,,,,32,200,0.001,0.0,256,20260817
MLP-B,3,2737,681,10948,train_fold_only,,False,False,,,,,,,32,200,0.001,0.0,256,20260817
MLP-B,4,2727,691,10908,train_fold_only,,False,False,,,,,,,32,200,0.001,0.0,256,20260817
