probe,fold,epoch,mse
MLP-A,0,1,0.0131305901158747
MLP-A,0,20,0.0020449191066891728
MLP-A,0,40,0.0018000792758778032
MLP-A,0,60,0.0016727041179796457
MLP-A,0,80,0.001563051999519306
MLP-A,0,100,0.0014616990070114835
MLP-A,0,120,0.0014295105294487125
MLP-A,0,140,0.0013560687070466914
MLP-A,0,160,0.0013869973983143666
MLP-A,0,180,0.0012982598382635885
MLP-A,0,200,0.001312173542829864
MLP-A,1,1,0.014125838875770569
MLP-A,1,20,0.0020509676773941055
MLP-A,1,40,0.0018117520697401239
MLP-A,1,60,0.0016961037728452774
MLP-A,1,80,0.0015623277219593264
MLP-A,1,100,0.0015072472552710252
MLP-A,1,120,0.0014792222991220293
MLP-A,1,140,0.0014016432345041658
MLP-A,1,160,0.001366286157933098
MLP-A,1,180,0.0013082177554820371
MLP-A,1,200,0.0012935272052012777
MLP-A,2,1,0.013708381148526794
MLP-A,2,20,0.0019594460817389803
MLP-A,2,40,0.001805246074112278
MLP-A,2,60,0.0016183405515749706
MLP-A,2,80,0.0015436461474831287
MLP-A,2,100,0.0014645213730300765
MLP-A,2,120,0.0014357698501557628
MLP-A,2,140,0.001404231795973275
MLP-A,2,160,0.0013960121561669642
MLP-A,2,180,0.0013256819423403462
MLP-A,2,200,0.0012725879066710264
MLP-A,3,1,0.013159651869678633
MLP-A,3,20,0.002166795570186925
MLP-A,3,40,0.002027829992202079
MLP-A,3,60,0.0018508330221122195
MLP-A,3,80,0.0017545532516333464
MLP-A,3,100,0.0017177337956004687
MLP-A,3,120,0.0016035103887931373
MLP-A,3,140,0.001568303099392097
MLP-A,3,160,0.0015119666952141662
MLP-A,3,180,0.001487446034789578
MLP-A,3,200,0.0014674887347797658
MLP-A,4,1,0.013545008469816962
MLP-A,4,20,0.0017825800330908495
MLP-A,4,40,0.0015500523482948312
MLP-A,4,60,0.0014414867407737588
MLP-A,4,80,0.0013447050835515826
MLP-A,4,100,0.001253332979309461
MLP-A,4,120,0.001209826890067042
MLP-A,4,140,0.001144085560247731
MLP-A,4,160,0.001106773938646941
MLP-A,4,180,0.00108078846891592
MLP-A,4,200,0.0010350831466652507
MLP-B,0,1,0.008141779523760256
MLP-B,0,20,0.0019989577435770016
MLP-B,0,40,0.0017553133398880319
MLP-B,0,60,0.0016211645977952866
MLP-B,0,80,0.00152921468507654
MLP-B,0,100,0.0014358717681436297
MLP-B,0,120,0.0013700082744425692
MLP-B,0,140,0.0012675998641225072
MLP-B,0,160,0.001278767157668273
MLP-B,0,180,0.001266983341494202
MLP-B,0,200,0.0012378546652114357
MLP-B,1,1,0.008089033449082302
MLP-B,1,20,0.0020145366287423437
MLP-B,1,40,0.0017855447484521226
MLP-B,1,60,0.001678176481606736
MLP-B,1,80,0.0015566437883578013
MLP-B,1,100,0.0014761965650257874
MLP-B,1,120,0.001422139942798747
MLP-B,1,140,0.0013644903944941623
MLP-B,1,160,0.0012896187280646988
MLP-B,1,180,0.0012632748405251373
MLP-B,1,200,0.001209854922839611
MLP-B,2,1,0.008238687150550155
MLP-B,2,20,0.001942661273987024
MLP-B,2,40,0.0017787348559611428
MLP-B,2,60,0.0016139725611658805
MLP-B,2,80,0.001526374091353532
MLP-B,2,100,0.001435425198206064
MLP-B,2,120,0.001379872001758446
MLP-B,2,140,0.001336406081200718
MLP-B,2,160,0.0013737464828318315
MLP-B,2,180,0.0012603973811628035
MLP-B,2,200,0.0012149032179897274
MLP-B,3,1,0.008393468671969342
MLP-B,3,20,0.0021308567281370077
MLP-B,3,40,0.0019358750617326907
MLP-B,3,60,0.001816913575018393
MLP-B,3,80,0.0016950423927766032
MLP-B,3,100,0.001669214498110464
MLP-B,3,120,0.0015399575661435713
MLP-B,3,140,0.0014685111727387224
MLP-B,3,160,0.0014291643353477174
MLP-B,3,180,0.001402435496381076
MLP-B,3,200,0.0013609979559701777
MLP-B,4,1,0.007572025449643937
MLP-B,4,20,0.0016692319134749584
MLP-B,4,40,0.0014663268215196132
MLP-B,4,60,0.0013551922314136067
MLP-B,4,80,0.0012710114357344802
MLP-B,4,100,0.0011745557447432307
MLP-B,4,120,0.0011415942599378775
MLP-B,4,140,0.0011204598953021567
MLP-B,4,160,0.0010273620374582717
MLP-B,4,180,0.0010174407129487427
MLP-B,4,200,0.0009747204953897847
MLP-C,0,1,0.01612211996604184
MLP-C,0,20,0.001753169779878223
MLP-C,0,40,0.001397150423262147
MLP-C,0,60,0.0011743012537698237
MLP-C,0,80,0.0011327851734883572
MLP-C,0,100,0.0010006397376273472
MLP-C,0,120,0.0009053123740858563
MLP-C,0,140,0.0008401342622923154
MLP-C,0,160,0.0007922582764653212
MLP-C,0,180,0.000766680173718083
MLP-C,0,200,0.0007128189334293595
MLP-C,1,1,0.016033423686124613
MLP-C,1,20,0.001727901390272344
MLP-C,1,40,0.0013641357448464736
MLP-C,1,60,0.0011948917158586172
MLP-C,1,80,0.0010578531842122447
MLP-C,1,100,0.0009927487710394008
MLP-C,1,120,0.0008869358378641122
MLP-C,1,140,0.0008494246151607817
MLP-C,1,160,0.0007826937476751199
MLP-C,1,180,0.0007661577707189265
MLP-C,1,200,0.0007245853496579069
MLP-C,2,1,0.01487298894771977
MLP-C,2,20,0.0016908282938689835
MLP-C,2,40,0.0014215185143263884
MLP-C,2,60,0.001213269964248987
MLP-C,2,80,0.0010762793258789296
MLP-C,2,100,0.000987602643819631
MLP-C,2,120,0.0009040610753008265
MLP-C,2,140,0.0008336714926923884
MLP-C,2,160,0.0008000285389285215
MLP-C,2,180,0.0007807942982449218
MLP-C,2,200,0.0007374125327541745
MLP-C,3,1,0.014641623241553995
MLP-C,3,20,0.0018099581075517155
MLP-C,3,40,0.0014596569279884558
MLP-C,3,60,0.0012704353620647665
MLP-C,3,80,0.001163492524441077
MLP-C,3,100,0.0010885355916183208
MLP-C,3,120,0.0009953367231981295
MLP-C,3,140,0.0009379384164372782
MLP-C,3,160,0.0008876601355810468
MLP-C,3,180,0.0008727232446449315
MLP-C,3,200,0.0008395266645621327
MLP-C,4,1,0.014834822740386673
MLP-C,4,20,0.0015165731176371277
MLP-C,4,40,0.0011847817539560176
MLP-C,4,60,0.0010133684995269308
MLP-C,4,80,0.0009151644081623182
MLP-C,4,100,0.000829217472732843
MLP-C,4,120,0.0007757599968692
MLP-C,4,140,0.0007015895120646541
MLP-C,4,160,0.0006503561642010696
MLP-C,4,180,0.0006242990109138532
MLP-C,4,200,0.0005831917842029077
