category,rank,index,image_name,absolute_true_utility,router_choice,safe_oracle_choice,figure
type_a_successful_override,1,2211,TCGA-LL-A73Y-DX1_xmin68117_ymin49445_MPP-0.2500+0,0.42098715901374817,cam56,cam56,figures/qualitative/type_a_successful_override_01_TCGA-LL-A73Y-DX1_xmin68117_ymin49445_MPP-0.2500+0.png
type_a_successful_override,2,3058,TCGA-OL-A5D6-DX1_xmin115108_ymin40554_MPP-0.2500+89,0.38612085580825806,cam56,cam56,figures/qualitative/type_a_successful_override_02_TCGA-OL-A5D6-DX1_xmin115108_ymin40554_MPP-0.2500+89.png
type_a_successful_override,3,2908,TCGA-LL-A5YO-DX1_xmin36631_ymin44396_MPP-0.2500+9,0.3186318874359131,cam56,cam56,figures/qualitative/type_a_successful_override_03_TCGA-LL-A5YO-DX1_xmin36631_ymin44396_MPP-0.2500+9.png
type_a_successful_override,4,560,TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+343,0.2626354992389679,cam56,cam56,figures/qualitative/type_a_successful_override_04_TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+343.png
type_a_successful_override,5,2646,TCGA-OL-A97C-DX1_xmin68058_ymin32495_MPP-0.2500+135,0.2584685683250427,cam56,cam56,figures/qualitative/type_a_successful_override_05_TCGA-OL-A97C-DX1_xmin68058_ymin32495_MPP-0.2500+135.png
type_a_successful_override,6,228,TCGA-OL-A97C-DX1_xmin68058_ymin32495_MPP-0.2500+145,0.2383463978767395,cam56,cam56,figures/qualitative/type_a_successful_override_06_TCGA-OL-A97C-DX1_xmin68058_ymin32495_MPP-0.2500+145.png
type_a_successful_override,7,1311,TCGA-LL-A73Y-DX1_xmin68117_ymin49445_MPP-0.2500+47,0.2271898090839386,cam28_1,cam56,figures/qualitative/type_a_successful_override_07_TCGA-LL-A73Y-DX1_xmin68117_ymin49445_MPP-0.2500+47.png
type_a_successful_override,8,1857,TCGA-OL-A66P-DX1_xmin30143_ymin20310_MPP-0.2500+118,0.1885259747505188,cam56,cam56,figures/qualitative/type_a_successful_override_08_TCGA-OL-A66P-DX1_xmin30143_ymin20310_MPP-0.2500+118.png
type_b_harmful_override,1,971,TCGA-LL-A740-DX1_xmin39436_ymin24080_MPP-0.2500+40,0.7020089626312256,cam56,official_fusion,figures/qualitative/type_b_harmful_override_01_TCGA-LL-A740-DX1_xmin39436_ymin24080_MPP-0.2500+40.png
type_b_harmful_override,2,1361,TCGA-LL-A740-DX1_xmin39436_ymin24080_MPP-0.2500+94,0.5242346525192261,cam28_1,official_fusion,figures/qualitative/type_b_harmful_override_02_TCGA-LL-A740-DX1_xmin39436_ymin24080_MPP-0.2500+94.png
type_b_harmful_override,3,442,TCGA-LL-A740-DX1_xmin39436_ymin24080_MPP-0.2500+105,0.45950254797935486,cam28_1,official_fusion,figures/qualitative/type_b_harmful_override_03_TCGA-LL-A740-DX1_xmin39436_ymin24080_MPP-0.2500+105.png
type_b_harmful_override,4,1799,TCGA-OL-A66P-DX1_xmin30143_ymin20310_MPP-0.2500+88,0.31894534826278687,cam56,official_fusion,figures/qualitative/type_b_harmful_override_04_TCGA-OL-A66P-DX1_xmin30143_ymin20310_MPP-0.2500+88.png
type_b_harmful_override,5,360,TCGA-OL-A66I-DX1_xmin38433_ymin22957_MPP-0.2500+22,0.3185217082500458,cam56,official_fusion,figures/qualitative/type_b_harmful_override_05_TCGA-OL-A66I-DX1_xmin38433_ymin22957_MPP-0.2500+22.png
type_b_harmful_override,6,3310,TCGA-EW-A1PH-DX1_xmin3455_ymin52049_MPP-0.2500+89,0.3094308376312256,cam28_2,cam56,figures/qualitative/type_b_harmful_override_06_TCGA-EW-A1PH-DX1_xmin3455_ymin52049_MPP-0.2500+89.png
type_b_harmful_override,7,615,TCGA-EW-A1PH-DX1_xmin3455_ymin52049_MPP-0.2500+162,0.28413981199264526,camdeep,cam28_1,figures/qualitative/type_b_harmful_override_07_TCGA-EW-A1PH-DX1_xmin3455_ymin52049_MPP-0.2500+162.png
