signal_set,signal,scope,scope_id,branch,samples,positive_fraction,auroc_relative_gain_positive
A,entropy_mean,all,-1,all,13672,0.24049151550614395,0.47488931127431677
A,entropy_mean,fold,0,all,2748,0.23071324599708878,0.5033522946020074
A,entropy_mean,fold,1,all,2744,0.20298833819241982,0.41679985946005405
A,entropy_mean,fold,2,all,2692,0.23068350668647847,0.5208892683332672
A,entropy_mean,fold,3,all,2724,0.19823788546255505,0.46884496676163345
A,entropy_mean,fold,4,all,2764,0.3386396526772793,0.44740731779161763
A,entropy_mean,branch,0,cam56,3418,0.22440023405500292,0.5943384627187989
A,entropy_mean,branch,1,cam28_1,3418,0.2864248098303101,0.5122243204045932
A,entropy_mean,branch,2,cam28_2,3418,0.2393212404915155,0.4060151401166071
A,entropy_mean,branch,3,camdeep,3418,0.21181977764774723,0.4165710480010828
A,entropy_std,all,-1,all,13672,0.24049151550614395,0.5313084314161034
A,entropy_std,fold,0,all,2748,0.23071324599708878,0.49715095995153236
A,entropy_std,fold,1,all,2744,0.20298833819241982,0.5570159560451469
A,entropy_std,fold,2,all,2692,0.23068350668647847,0.5300472517108044
A,entropy_std,fold,3,all,2724,0.19823788546255505,0.5600957298873965
A,entropy_std,fold,4,all,2764,0.3386396526772793,0.5291933176232957
A,entropy_std,branch,0,cam56,3418,0.22440023405500292,0.4492963959874432
A,entropy_std,branch,1,cam28_1,3418,0.2864248098303101,0.4981011658941922
A,entropy_std,branch,2,cam28_2,3418,0.2393212404915155,0.5870465017867218
A,entropy_std,branch,3,camdeep,3418,0.21181977764774723,0.608120613846198
A,entropy_p90,all,-1,all,13672,0.24049151550614395,0.46992773717941505
A,entropy_p90,fold,0,all,2748,0.23071324599708878,0.48652031372642646
A,entropy_p90,fold,1,all,2744,0.20298833819241982,0.4069698618981594
A,entropy_p90,fold,2,all,2692,0.23068350668647847,0.5272605126697878
A,entropy_p90,fold,3,all,2724,0.19823788546255505,0.4921173348256681
A,entropy_p90,fold,4,all,2764,0.3386396526772793,0.43689012558678864
A,entropy_p90,branch,0,cam56,3418,0.22440023405500292,0.5787447309002974
A,entropy_p90,branch,1,cam28_1,3418,0.2864248098303101,0.4957378838344053
A,entropy_p90,branch,2,cam28_2,3418,0.2393212404915155,0.42445622531502725
A,entropy_p90,branch,3,camdeep,3418,0.21181977764774723,0.4491908558819066
A,top1_mean,all,-1,all,13672,0.24049151550614395,0.5127668690180289
A,top1_mean,fold,0,all,2748,0.23071324599708878,0.4849792132366767
A,top1_mean,fold,1,all,2744,0.20298833819241982,0.57552995955372
A,top1_mean,fold,2,all,2692,0.23068350668647847,0.4596525440268224
A,top1_mean,fold,3,all,2724,0.19823788546255505,0.5193198005698005
A,top1_mean,fold,4,all,2764,0.3386396526772793,0.546549460902579
A,top1_mean,branch,0,cam56,3418,0.22440023405500292,0.39918222293916783
A,top1_mean,branch,1,cam28_1,3418,0.2864248098303101,0.4646125419374725
A,top1_mean,branch,2,cam28_2,3418,0.2393212404915155,0.5682245627233402
A,top1_mean,branch,3,camdeep,3418,0.21181977764774723,0.5606796564495687
A,top1_std,all,-1,all,13672,0.24049151550614395,0.522721942141944
A,top1_std,fold,0,all,2748,0.23071324599708878,0.4962731556783826
A,top1_std,fold,1,all,2744,0.20298833819241982,0.5038898862956314
A,top1_std,fold,2,all,2692,0.23068350668647847,0.570435917831631
A,top1_std,fold,3,all,2724,0.19823788546255505,0.5622757258173925
A,top1_std,fold,4,all,2764,0.3386396526772793,0.49748160148871307
A,top1_std,branch,0,cam56,3418,0.22440023405500292,0.5004546757834613
A,top1_std,branch,1,cam28_1,3418,0.2864248098303101,0.526214087472846
A,top1_std,branch,2,cam28_2,3418,0.2393212404915155,0.527629772428061
A,top1_std,branch,3,camdeep,3418,0.21181977764774723,0.5782542646437552
A,margin_mean,all,-1,all,13672,0.24049151550614395,0.48592876311206834
A,margin_mean,fold,0,all,2748,0.23071324599708878,0.45563078052580214
A,margin_mean,fold,1,all,2744,0.20298833819241982,0.552440198693274
A,margin_mean,fold,2,all,2692,0.23068350668647847,0.42723726392611405
A,margin_mean,fold,3,all,2724,0.19823788546255505,0.5037265974765974
A,margin_mean,fold,4,all,2764,0.3386396526772793,0.5270296807495932
A,margin_mean,branch,0,cam56,3418,0.22440023405500292,0.39472103956244897
A,margin_mean,branch,1,cam28_1,3418,0.2864248098303101,0.4236674133850633
A,margin_mean,branch,2,cam28_2,3418,0.2393212404915155,0.5101130806845966
