signal_set,signal,scope,scope_id,branch,samples,spearman_relative_utility,spearman_absolute_utility
A,entropy_mean,all,-1,all,13672,-0.08864066100335156,-0.05933091353458012
A,entropy_mean,fold,0,all,2748,-0.06681496461040629,-0.04781760732391776
A,entropy_mean,fold,1,all,2744,-0.09822192972055875,0.03378915001153045
A,entropy_mean,fold,2,all,2692,-0.0297943240194984,-0.127708985750247
A,entropy_mean,fold,3,all,2724,-0.1262444444648416,-0.027464072968529256
A,entropy_mean,fold,4,all,2764,-0.11595321169676841,-0.07989030780347803
A,entropy_mean,branch,0,cam56,3418,-0.18891581912541913,-0.39429042234512257
A,entropy_mean,branch,1,cam28_1,3418,-0.050489045210512444,-0.11072846510141922
A,entropy_mean,branch,2,cam28_2,3418,0.02018598343824164,0.13691394431787454
A,entropy_mean,branch,3,camdeep,3418,-0.002404920649577406,0.1736214048206134
A,entropy_std,all,-1,all,13672,0.0538007120555478,-0.03669601057601879
A,entropy_std,fold,0,all,2748,0.05118608298440125,-0.03253196254972711
A,entropy_std,fold,1,all,2744,0.005415367068558683,-0.0704735207794148
A,entropy_std,fold,2,all,2692,0.05089604752751664,-0.034190332988783045
A,entropy_std,fold,3,all,2724,0.10340807922539691,-0.07949148574344964
A,entropy_std,fold,4,all,2764,0.039059970923168194,0.005567427470886316
A,entropy_std,branch,0,cam56,3418,0.10526191652047931,0.280098578220049
A,entropy_std,branch,1,cam28_1,3418,0.04532223714218982,-0.004705449926569677
A,entropy_std,branch,2,cam28_2,3418,0.01971478394039737,-0.2429005854813013
A,entropy_std,branch,3,camdeep,3418,-0.04898153050043249,-0.2843612586877257
A,entropy_p90,all,-1,all,13672,-0.08148800028795317,-0.061632050950756107
A,entropy_p90,fold,0,all,2748,-0.05800360264885128,-0.05840787187322028
A,entropy_p90,fold,1,all,2744,-0.11378193578824886,0.052511253094277725
A,entropy_p90,fold,2,all,2692,-0.005846681252643264,-0.15162762828085086
A,entropy_p90,fold,3,all,2724,-0.0987194395804897,-0.04453203369614861
A,entropy_p90,fold,4,all,2764,-0.12053018191486137,-0.06940896630913435
A,entropy_p90,branch,0,cam56,3418,-0.19262448779910477,-0.36643486141689097
A,entropy_p90,branch,1,cam28_1,3418,-0.050920062297056805,-0.1042860422177974
A,entropy_p90,branch,2,cam28_2,3418,0.03848840804080189,0.09792616770451996
A,entropy_p90,branch,3,camdeep,3418,-0.06409014206146425,0.003577458524257474
A,top1_mean,all,-1,all,13672,0.10063589091362352,0.11521141105604536
A,top1_mean,fold,0,all,2748,0.0812909851641465,0.08670936423793091
A,top1_mean,fold,1,all,2744,0.11217608832462025,0.032183227480244096
A,top1_mean,fold,2,all,2692,0.03323375492015495,0.19021570693357293
A,top1_mean,fold,3,all,2724,0.14427219711263525,0.07840947350024094
A,top1_mean,fold,4,all,2764,0.12706986080785654,0.13038193345061883
A,top1_mean,branch,0,cam56,3418,0.20679328375898132,0.4312952237108582
