source_group,patches,candidate,candidate_index,mIoU,mDice,selected
TCGA-OL-A6VO-DX1,55,official_fusion,0,50.07001811872185,48.345694307619844,False
TCGA-OL-A6VO-DX1,55,cam56,1,44.910263316341386,43.76970372895354,False
TCGA-OL-A6VO-DX1,55,cam28_1,2,50.389385225028846,48.555414316844946,True
TCGA-OL-A6VO-DX1,55,cam28_2,3,47.181865723983094,46.37625302329277,False
TCGA-OL-A6VO-DX1,55,camdeep,4,48.20270814653322,46.90332062980891,False
TCGA-OL-A66P-DX1,227,official_fusion,0,45.53579937010037,56.33696296994933,True
TCGA-OL-A66P-DX1,227,cam56,1,42.283349426642204,53.03876752643002,False
TCGA-OL-A66P-DX1,227,cam28_1,2,45.53281128871894,56.330448547327315,False
TCGA-OL-A66P-DX1,227,cam28_2,3,44.737898794286004,55.66705846551416,False
TCGA-OL-A66P-DX1,227,camdeep,4,44.646358772926696,55.58535541257681,False
TCGA-LL-A740-DX1,121,official_fusion,0,50.04519865527881,59.50152665860996,False
TCGA-LL-A740-DX1,121,cam56,1,45.498216153695545,55.89663690553801,False
TCGA-LL-A740-DX1,121,cam28_1,2,49.09976474780798,58.71919934535862,False
TCGA-LL-A740-DX1,121,cam28_2,3,50.249627295869395,59.72646145335466,True
TCGA-LL-A740-DX1,121,camdeep,4,48.67224467763969,58.52545881073547,False
TCGA-OL-A5D7-DX1,255,official_fusion,0,50.89809995410377,61.18525271364721,True
TCGA-OL-A5D7-DX1,255,cam56,1,46.13860267072706,57.33143877474702,False
TCGA-OL-A5D7-DX1,255,cam28_1,2,50.55051678173898,61.02350875186529,False
TCGA-OL-A5D7-DX1,255,cam28_2,3,50.62181360067125,60.744663242458905,False
TCGA-OL-A5D7-DX1,255,camdeep,4,48.95575675555134,59.834632621859555,False
TCGA-GM-A3XL-DX1,239,official_fusion,0,79.73590146005846,88.04844320287776,True
TCGA-GM-A3XL-DX1,239,cam56,1,67.79642596050306,80.17792615098087,False
TCGA-GM-A3XL-DX1,239,cam28_1,2,79.30334272790867,87.77792083827988,False
TCGA-GM-A3XL-DX1,239,cam28_2,3,79.01457814714925,87.56066614776209,False
TCGA-GM-A3XL-DX1,239,camdeep,4,77.32371175808028,86.45647836116699,False
TCGA-LL-A441-DX1,85,official_fusion,0,52.372568477315,61.14274730712103,True
TCGA-LL-A441-DX1,85,cam56,1,51.17800395964487,60.09338954441401,False
TCGA-LL-A441-DX1,85,cam28_1,2,52.35281459384444,61.12326219186597,False
TCGA-LL-A441-DX1,85,cam28_2,3,51.6638052049303,60.60230167126534,False
TCGA-LL-A441-DX1,85,camdeep,4,50.9412955794733,60.10397401096205,False
TCGA-EW-A1PB-DX1,185,official_fusion,0,61.64377878270475,57.11024219000939,True
TCGA-EW-A1PB-DX1,185,cam56,1,58.99869940272924,55.57642564442765,False
TCGA-EW-A1PB-DX1,185,cam28_1,2,61.3949435066954,56.957578098627,False
TCGA-EW-A1PB-DX1,185,cam28_2,3,61.13861281590567,56.84378063060813,False
TCGA-EW-A1PB-DX1,185,camdeep,4,59.99007919857501,56.18236747097277,False
TCGA-S3-AA10-DX1,92,official_fusion,0,48.26058372804341,63.801173013002355,True
TCGA-S3-AA10-DX1,92,cam56,1,45.69407288128371,61.52886773712065,False
TCGA-S3-AA10-DX1,92,cam28_1,2,47.80451287797961,63.36604462002144,False
TCGA-S3-AA10-DX1,92,cam28_2,3,48.13034390250834,63.72557986301119,False
TCGA-S3-AA10-DX1,92,camdeep,4,46.15716487447528,62.05901051326129,False
