stage,class,present_images,absent_images,mean_gate_present,mean_gate_absent,mean_gate_difference,mean_vector_cosine,mean_vector_cosine_distance,mean_vector_l2_distance
56,0,2046,1372,0.5020778775215149,0.5022807121276855,-0.0002028346061706543,0.9978191543958308,0.0021808456041692015,0.5311042666435242
56,1,2713,705,0.5024014115333557,0.5012279152870178,0.0011734962463378906,0.9985785102021328,0.0014214897978671592,0.4286131262779236
56,2,952,2466,0.5024265646934509,0.5020561814308167,0.00037038326263427734,0.9991617309276517,0.0008382690723482966,0.3292715847492218
56,3,391,3027,0.4993619918823242,0.5025206208229065,-0.0031586289405822754,0.9989950599738187,0.0010049400261813446,0.36236295104026794
28_1,0,2046,1372,0.5007107257843018,0.5004785656929016,0.00023216009140014648,0.9999703905873859,2.9609412614095554e-05,0.0873584970831871
28_1,1,2713,705,0.5005966424942017,0.5006980895996094,-0.00010144710540771484,0.9999789567343247,2.104326567531345e-05,0.07323110848665237
28_1,2,952,2466,0.500515341758728,0.5006570219993591,-0.00014168024063110352,0.999978951499252,2.1048500748022114e-05,0.07374491542577744
28_1,3,391,3027,0.5003196001052856,0.5006559491157532,-0.0003363490104675293,0.9999763259237363,2.3674076263691113e-05,0.07843904942274094
28_2,0,2046,1372,0.5001370310783386,0.5000744462013245,6.258487701416016e-05,0.9999909444972709,9.05550272911615e-06,0.06815404444932938
28_2,1,2713,705,0.5001017451286316,0.5001510977745056,-4.935264587402344e-05,0.9999926132199732,7.3867800267635175e-06,0.06093456223607063
28_2,2,952,2466,0.49998044967651367,0.5001624822616577,-0.00018203258514404297,0.999992730740301,7.2692596989609726e-06,0.062143612653017044
28_2,3,391,3027,0.5002112984657288,0.5000991225242615,0.00011217594146728516,0.9999924949448052,7.505055194756416e-06,0.06239691376686096
